question,offer,experience,interview,difficulty,source
 Can you tell me about your previous internship experiences and how they relate to the role you've applied for?   ,No Offer,Neutral Experience,,Difficult Interview,Shopee
 Please share your previous work experience.   ,No Offer,Negative Experience,,Average Interview,Shopee
 When will you available to relocate?   ,No Offer,Negative Experience,,Easy Interview,Shopee
,Declined Offer,Positive Experience,"An intern called me and asked me a few questions. It was really quick. If I proceed, I'll be interviewed by a manager in the department I preferred or was fit for based on experience.",Easy Interview,Shopee
,Accepted Offer,Positive Experience,"I was interviewed online by Zoom Meeting for business development - seller incubation role. The interview was really chill, HR & user both were really friendly. I was interviewed with 13 others candidates (HR) & 5 other candidates (User).",Easy Interview,Shopee
,Accepted Offer,Positive Experience,"The process quite quick. At first, you have to follow the math test, you will have 20 minutes to finish the test. If you pass the math test, they will send you an email for the next step which is The user Interview. The interview will be attended by the other candidates (around 4 people)",Average Interview,Shopee
,No Offer,Positive Experience,"I was contacted through the employee referral program around 3 months after I applied. The first stage is a math test which is quite difficult, similar to GMAT, and after you passed the math test, the next stage is a phone interview with HR on the next day. After you passed the HR interview, the next step is the user interview, which is the category assistant manager. Unfortunately, I do not pass this stage :(",Difficult Interview,Shopee
,Declined Offer,Positive Experience,,Average Interview,Shopee
,No Offer,Negative Experience,,Easy Interview,Shopee
 What if customers complain a lot about their deliveries?   ,No Offer,Negative Experience,"It was a good but challenging interview. The questions are very specific because they want to make sure they hire the right person. If they don't get the answer they're looking for, the interview is practically over.",Average Interview,Shopee
,No Offer,Negative Experience,,Average Interview,Shopee
,No Offer,Negative Experience,"HR approached me and asked if I was interested in the job. It wasn’t a generalist role. But a specialist role. Went through 2 rounds of interviews - HR and a representative from the hiring team. In the first round of interview, HR went through my resume and was very delightful. However in the 2nd round, the hiring team went through my resume and asked questions that weren’t related to the job. The person even questioned my current company’s project management ways and compared it with Shopee’s even though it’s a totally different industry. It’s like comparing Apple and Orange and expecting both to taste and look the same. Felt like the person was asking me questions for the sake of asking and wasn’t keen on knowing my competencies. Furthermore, having only 1 person to interview candidate could result in bias.",Easy Interview,Shopee
 What was you biggest failure?   ,No Offer,Negative Experience,,Easy Interview,Shopee
,Declined Offer,Positive Experience,"There were 3 rounds of interviews in total, with HR, Hiring Manager and Department Manager respectively. The process was well organised and fast. Everyone I have spoken with in Shopee is very genuine, knows their stuff very well and down to the earth. Special thanks to my HR contact Jia Yu, although the whole process was arranged online, she has been very prompt to follow up on each step, and also very pleasant to talk with!",Average Interview,Shopee
 Tell me about yourself   ,Accepted Offer,Positive Experience,,Average Interview,Shopee
,No Offer,Negative Experience,,Easy Interview,Shopee
,Accepted Offer,Positive Experience,"My interview process was fully virtual (due to COVID 19). The first step is an online technical assessment which comprises both algorithmic questions and general CS knowledge (multiprocessor architecture, multithreading, memory caches, complexity, networking, etc). Next comes a short non-technical call with a recruiter, followed by a 1-hour technical interview (again, mostly coding but also general CS knowledge questions). The last stage is one 1 1/2 hour technical interview similar to the first one and if you pass it, directly a final 1 hour interview with a team manager. This latter has no coding involved, but is oriented towards system design and explaining your own projects.",Average Interview,Shopee
" Standard interview questions - past experiences, strength & weakness, your personalities, pet peeves etc.   ",No Offer,Neutral Experience,,Average Interview,Shopee
 The time when you are most frustrated and how did you overcome?   ,No Offer,Negative Experience,"Had a video interview with hiring managers, they were very informal and irrespective. They even complained the company that everyone would be expected to work over time. I didn’t hear back after this final interview until I emailed them to ask for the outcome.",Average Interview,Shopee
 Introduce yourself. Talking about previous experiences.   ,No Offer,Positive Experience,"They have two interviews first one is phone call with HR. Then second one is with team lead. The process is quite fast, which take around 2 weeks to done everything.",Average Interview,Shopee
,No Offer,Negative Experience,"The interview process starts from HR interview, GMAT, User Interview, Case, Final Interview. The process was long, but quite straight forward. It is quite annoying to have to do a case and present it because it took a lot of time and effort to make.",Average Interview,Shopee
" N/A, you need to agree to install a browser plugin   ",No Offer,Positive Experience,,Average Interview,Shopee
 What is the difference between stack and queue   ,No Offer,Positive Experience,,Easy Interview,Shopee
,No Offer,Negative Experience,,,Shopee
,Accepted Offer,Positive Experience,"This role is for a BD Intern. Someone from my university shared in a group of alumni that there was an opening for the position and gave us an email to send our CVs to if we want to apply. I got an invitation to do Math Test the next day (around 12PM), I don't recall if I did well, I think not too well, but I got through to the next step. I was asked to join a group interview with HR at 3.30 PM. It was simple, we were asked questions and answered 1 by 1 as instructed by the HR rep. In the end, we were told about our salary and we were asked if we still want to go through with the application process. At 4 PM, I got another invitation email for an interview with my Reporting Manager the next day at 5 PM. I got my offer at 7 PM the same day.",Easy Interview,Shopee
,Accepted Offer,Neutral Experience,"There were 5 stages for my hiring process. First, I received a HR call after submitting my application on their career page. Then, I was asked to complete an online logic and data test. Afterwards, I had an video interview with a senior PM. Soon, I was told to complete a case test within 3 days. In less than a week after submitting the case test, the HR arranged an video interview with a PM lead. Phew, it was sure a long process. The entire process took about a month. The HR was very helpful throughout the process and very willing to share about Shopee. Same goes for my interviewers. Overall a rather challenging hiring process,",Difficult Interview,Shopee
 What is the most difficult task you faced during university?   ,No Offer,Positive Experience,,Easy Interview,Shopee
 What type of tests will you do in a log in page?   ,Accepted Offer,Positive Experience,,Average Interview,Shopee
,Accepted Offer,Positive Experience,,Average Interview,Shopee
,No Offer,Positive Experience,"Good interview process, first they have a telephone interview, then they will trigger a resume screening process. If you pass it, you will have a 1-1 coding interview. In case you can advance in the hiring process, there will be 1-1 technical interview with the team leader. The hiring process will be explained clearly in the email.",Average Interview,Shopee
,No Offer,Negative Experience,"4 rounds in total: (1) coding test, (2) HR interview, (3) case interview with associate, (4) case interview with team lead. Coding test was done on an online platform, HR interview was a phone interview, and case interviews were done on Zoom. Last round was handled unprofessionally, interviewer was snobbish and downplayed the role as unattractive.",Difficult Interview,Shopee
" OS, Algorithms and data structures, Databases   ",No Offer,Negative Experience,,Average Interview,Shopee
 Why do you want to work for shopee?   ,No Offer,Negative Experience,,Average Interview,Shopee
 What can we improve on our current site now?   ,No Offer,Neutral Experience,"There is 4 part to this interview process. The first one being a phone call, then a few tests including one GMAT one. Do expect to say you agree to work long hours with the company.",Average Interview,Shopee
 Why Shopee?   ,Accepted Offer,Positive Experience,"I applied for Shopee through email since I was unable to pass the GLP exam. The process was fairly simple (and fast) and the recruitment officers respond really quickly. The first part was an initial phone call from a recruitment officer. He suggested a role I'd be a good fit for, before emailing a take-home exam. The exam was checked by the head of the team I applied for. Upon passing the exam, I went through 2 more rounds of interviews before I got the result.",Average Interview,Shopee
 Create UI sample to help sellers manage stock   ,No Offer,Negative Experience,"After speaking with the recruiter I was given a take home quiz which what I understand was to show a basic understanding of UI and UX. Questions were pretty generic, but apparently what I did was too simple. Tbh wasn’t too keen on HR expecting me to make some detailed prototype just for the sake of getting my foot into the first interview, if they indeed intended it to be that way.",Easy Interview,Shopee
,No Offer,Positive Experience,"I just passed the HR interview, HR is very good, very patient, if you do not understand, she will explain in detail. After passing the HR interview, a written question will be issued, which requires completion within two days.",Easy Interview,Shopee
 Find the most common element in an array   ,No Offer,Positive Experience,"Online test with mcq, short answer questions and coding question, followed by HR phone screen explaining the next steps. Finally 3 rounds of technical interviews with senior software engineers up to the team lead.",Easy Interview,Shopee
" JS fundamental, Network, Algorithms   ",No Offer,Negative Experience,,Average Interview,Shopee
 Pick feature to improve on   ,No Offer,Positive Experience,Hiring and interview process starts with initial chat with HR for 30-45 mins. After which HR will forward profile to team. HR will get back to you within 1 week.,,Shopee
 Standard questions on getting to know your career history.   ,No Offer,Positive Experience,,Average Interview,Shopee
,No Offer,Positive Experience,"There were 3 phases of recruitment process, online math test, Human Resources interview and then user interview. The HR interview conducted in english, they just want to know about yourself. There was a mini role-play in the user interview.",Average Interview,Shopee
,Declined Offer,Positive Experience,"Interview was very chill. There were 2 rounds of Interview. First, a phone interview, where they will ask about availability dates and they will schedule another date for the interview if they find that you are suitable. Then, an online one interview will be scheduled a week later. The whole process took about 3 weeks in total.",Average Interview,Shopee
,No Offer,Positive Experience,Early announcement -> interview appointment -> final sceduling -> Explain about yourself and also about your detail -> enough work experience -> expected salary -> if you have any good question for the job just ask -> final announcement,Average Interview,Shopee
,Accepted Offer,Positive Experience,"If qualified, you will be asked to take a test. Followed by an interview with HR if you passed the test. They will contact you again if you are qualified for the next rounds of interview. The process takes a while. It depends on your performance and the HR.",Average Interview,Shopee
,Accepted Offer,Neutral Experience,"I was found on Linkedin by Shopee's HR. 1st round with HR, 2nd round with line manager, 3rd round with head of the team, 4th round with another team manager.",Easy Interview,Shopee
 Why do you wish to work in Shopee?   ,No Offer,Neutral Experience,"Have to undergo 3 interview stage, a phone appointment, a take home test and a Skype interview. The test has something to do with production support. Did not manage to advance the last level. HR was responsive to my doubts and clarification. Would appreciate if they get back to me on my shortcomings so that I can better prepare myself for future interview!",Average Interview,Shopee
 why shopee?   ,Accepted Offer,Negative Experience,"3 rounds. 2 technical and a final round with head of DS. not a promising firm. Think they just hire massively and blindly. I chose not to join. They ask very basic questions, a fresh grad with no ds knowledge would also pass. Although the title is DS, but according to the interviewers, many ppl end up doing dashboard or tediouls data pipelines",Easy Interview,Shopee
,Accepted Offer,Positive Experience,,Average Interview,Shopee
 What did you do in school/first job/second job/third job/between jobs?   ,No Offer,Negative Experience,,Average Interview,Shopee
 Why do you want to work in Shopee   ,No Offer,Positive Experience,"The interview was conducted through a phone call. The interviewer was friendly and easy-going, questions about school projects and the challenges met were asked. The whole process took about 30 minutes.",Average Interview,Shopee
,No Offer,Neutral Experience,,Easy Interview,Shopee
" For group interviews, you are presented with a case study (usually) eCommerce based. What should the company do in that scenario and why.   ",No Offer,Positive Experience,The hiring process had 4 evaluation stages. The first was online assessments testing IQ and logical skills. The second was a group case interview where you are presented with a business scenario. The third was 2 back to back individual interviews with managers. The last stage was another group case interview with the senior management.,Difficult Interview,Shopee
" Operating systems fundamentals, networking fundamentals   ",No Offer,Neutral Experience,"Interview started with a normal chit chat with the interviewer to get to know the interviewee, then it proceeded on to some technical questions. Also, during the interview, the interviewer mentioned that being able to speak mandarin would be a plus as they work with Chinese engineers too.",Average Interview,Shopee
,No Offer,Neutral Experience,"It started with a screening phone interview with the HR followed by a series of interviews with the department manager and team leader. After my interview with the department manager, I was told that I was more suited for another role within the department, so I was directed to that role which I did not apply for. However, after another round of interview with that new team's leaders, I was told that I was not selected and that I was more suitable for the role which I initially applied for... so I had another round of interview with the team leader of the initial department I applied for. It took me a total of 4 interviews (including initial phone) over a period close to 2 months. While I appreciated the HR's prompt responses and feedback, the process felt a little disorganised, with me being directed to another team for another role to only be directed back to the initial role that I applied for.",Average Interview,Shopee
" Given an array of N length with N distinct positive integers, determine an integer that is missing from [1,N]. If there's no such element, return N+1. O(1) auxiliary space.   ",No Offer,Negative Experience,"5 rounds of test/interview. HR says you get to skip round 3 and 4 if you have CAP 4.0 and above. Round 1 easy online test. Very basic CS concepts but could be domain specific like networking and databse reading issues. Other than that are basic stuff like tree traversal. MCQ with 1 or 2 simple coding challenge. Round 2 HR asks you about career goal, expected salary, etc. Round 3/4 technical interview, leet code style. 90 mins each. The interviewer is a developer at Shopee. Maybe I'm unlucky, but the interviewers are more of an invigilator than a mentor. They never give hint or discuss or guide, just sit and watch you get stuck. I have one told me to dump my original solution and go the suboptimal way - failed the interview as a result. Round 5 talk with lead/manager If you applied for more than 1 position and failed somewhere in between, another HR will approach you and you start all over again for second position.",Easy Interview,Shopee
" As a QA engineer, how would you test the functionality of a lift?   ",No Offer,Positive Experience,,Average Interview,Shopee
 Sort linkedlist   ,No Offer,Negative Experience,,Average Interview,Shopee
 Why do I want to do this role and give me 3 reasons why you think E-Commerce will be the next big thing.   ,Accepted Offer,Positive Experience,,,Shopee
,No Offer,Neutral Experience,"I interviewed at Shopee in May 2020. I was contacted by HR to explain the position and run the GMAT test. The GMAT test was difficult but I got passed. After 4 days, I got the interview by the HR, she used English for the interview and the result of the interview is on the night after the interview itself. After 1 week from the HR interview, I have interviewed by the manager of BD, she used Bahasa for the interview process, she gave the case study about some problem and explain the job detail and told me that if I passed the interview, i should have the last interview with the head of BD. I lost hope when there is no other invitation after 2 weeks, but fortunately, the HR contact me again to have the interview with the Head of BD. The interview itself was fun, and she said that I will hear any further information in the 2 weeks. But, I lose hope again, because after 4 weeks from the last interview I don't receive any offering or rejection email. I hope, HR will contact me to give me any further information so I can decide should I wait or just leave the chance to join with my dreamy company.",Average Interview,Shopee
 Tell me about yourself.   ,No Offer,Positive Experience,"Seamless process that took about 3 weeks. HR prompt in replying to email queries. It was the usual introductory interview with HR, more of a self-introduction and getting to know more about the role. HR was very keen to know about internship experience. Scenario based questions were also asked.",Average Interview,Shopee
 Coding task on ML and their data set.   ,No Offer,Negative Experience,,Difficult Interview,Shopee
 Explain the map reduce paradigm.   ,No Offer,Positive Experience,,Average Interview,Shopee
 Why do you want to join shopee?   ,No Offer,Neutral Experience,It was a phonecall with a recruiter for their product management team. The phonecall was to introduce myself to them and discuss the past job experiences that i had.,Easy Interview,Shopee
,Declined Offer,Positive Experience,"Short interview with recruiter, then excel exam (pivot tables, vlookup, etc), then final interview with team lead (more of you asking them questions about the team/work than them asking you questions).",Easy Interview,Shopee
 Leetcode medium questions   ,No Offer,Positive Experience,"I applied online. Waited for 3 weeks to get a response. First-round is the HR phone screen, and then three technical interviews. The whole process took around 5 weeks. The HRs are friendly and responsive. Interviewers are nice.",Average Interview,Shopee
 Please calculate the rising demand for pampers through both offline and online questions   ,Accepted Offer,Positive Experience,The hiring was overall a good experience. Two times interview and 1 HR interview. The overall recruitment process was quite pleasing. HR should get back to you within a max of 1 week for every step.,Average Interview,Shopee
 technical questions like logical thinking   ,Accepted Offer,Positive Experience,,Average Interview,Shopee
" If Shopee hired you for thirty days only, what would you do within those thirty days?   ",Accepted Offer,Positive Experience,,Average Interview,Shopee
 Leetcode + design system   ,Declined Offer,Negative Experience,,Average Interview,Shopee
 Introduce yourself/ Why Shopee/ Review of the CV   ,No Offer,Positive Experience,,Average Interview,Shopee
 What is your strength and how can it value add to the team?   ,Accepted Offer,Positive Experience,,Average Interview,Shopee
,No Offer,Positive Experience,,Average Interview,Shopee
 Why apply to Shopee   ,No Offer,Neutral Experience,,,Shopee
,No Offer,Negative Experience,,Easy Interview,Shopee
 Can you introduce yourself?   ,Declined Offer,Positive Experience,"The process takes two weeks and the recruiter is friendly. It includes three phases interview. First of all, HR will want to know your background, and then you have to do some coding questions. Finally, the director will interview with you.",Average Interview,Shopee
 Data frame   ,No Offer,Neutral Experience,,Average Interview,Shopee
" I want to design a XXX system, what problem do you see, and how do you resolve it.   ",Declined Offer,Negative Experience,,Average Interview,Shopee
,Accepted Offer,Positive Experience,,Difficult Interview,Shopee
 Tell me about yourself.   ,No Offer,Positive Experience,"I applied online through Shopee's Career Page. It process was simple and straightforward. After my online application, they'll arrange a HR interview via phone. Following that call, there'll be a coding test. The test will determine if you go to the next stage which is an interview with the department's Supervisor and then the Manager.",Average Interview,Shopee
 What are your expectations in the team as a newcomer.   ,Accepted Offer,Positive Experience,"Had a coding test in Python and SQL, phone call with HR. Then 3 rounds of case study interviews with managers , manager's manager and peer, which started with introductions then questions regarding the job & expectations.",Difficult Interview,Shopee
,Declined Offer,Neutral Experience,It wasn't too bad. Began with a call regarding my background - education + work. Requested I try out for another role as it was more fitting to my background. This was followed by a written test.,Average Interview,Shopee
 Tell me about yourself.   ,Accepted Offer,Positive Experience,"It was very detailed. It has 6 levels - HR, Exam, Manager 1, Exam, Manager 2, Manager 3. It took an interval of 1 week after each interview with the manager.",Average Interview,Shopee
 How do you think you can contribute to the team?   ,No Offer,Neutral Experience,"Interviews were very candid and straight to the point. Interviewers wanted to get a sense of tactical abilities. However, could tell they were also distracted during the interview. Interviewers also spoke quickly, seemingly urgent to end the interview.",Average Interview,Shopee
,No Offer,Neutral Experience,"I have been invited to complete accounting test and english test, after submitted the test result, I've been invited for HR interview and they said will inform me whether I pass or not, but they not informed me anything",Average Interview,Shopee
 Tell me about a time when you had to work as a team   ,No Offer,Neutral Experience,,Average Interview,Shopee
 Case study regarding sales trends.   ,No Offer,Neutral Experience,"Group interview through zoom. The interview was mostly focused on solving case study questions in a group setting. At the end of the interview, the groups were told to prepare a 20-minute flash presentation.",Average Interview,Shopee
 Solid knowledge of JavaScript   ,No Offer,Positive Experience,"I applied online, if you pass the coding test you will be interviewed by HR. After that, you will be faced with technical interview. If you pass, there will be next technical interview and interview with team leader.",Average Interview,Shopee
,No Offer,Positive Experience,It took almost a week to get the interview schedule. Interview was by video conferencing. Interview process was smooth. HR will provide timely updates. But felt the process is bit long.. 2 hours.,Average Interview,Shopee
 How do i deal with repetitive/robotic tasks   ,Accepted Offer,Positive Experience,"Applied through linked in, which they contacted me right away which was quite a pleasant surprise. First you have to take a test which you have to study your basic financial knowledge along with some accounting. Afterwhich youll be interviewed by 2 managers to see if you will be fit.",Average Interview,Shopee
,Accepted Offer,Positive Experience,,Average Interview,Shopee
,Declined Offer,Neutral Experience,"Was given a company referral by a contact, and was reached out to by a recruiter. She scheduled an interview with me. After scheduling the interview, I was told that I would need to take a Python test before the interview.",Average Interview,Shopee
 Online coding to implement LRUCache by any languages you have   ,No Offer,Positive Experience,,Average Interview,Shopee
 Our colleagues communicate with mandarin sometimes. Can you answer some of my questions in mandarin?   ,No Offer,Negative Experience,,Easy Interview,Shopee
 Describe your experience in the e-commerce field.   ,Accepted Offer,Positive Experience,"Insane speed when it comes to the entire hiring process which i appreciate. #3 rounds in total - 1 with HR, then 1 with Hiring Manager and 1 with Team Lead which took only 2 weeks for the offer to arrive. Overall much easier than the MA programmes that i have interviewed for.",Easy Interview,Shopee
,No Offer,Positive Experience,,Average Interview,Shopee
,No Offer,Positive Experience,,Average Interview,Shopee
 What are your strengths?   ,No Offer,Negative Experience,"I personally found the interview with the HR was very unprofessional. When I asked for the clarification of the question since I couldn't hear it clearly, she ignored me that made me to repeat a question the second time. She then asked the question one more time and was not happy about that. At the end of the interview, she got a phone call and picked it up while hasn't finished the interview yet. She then asked me to end the meeting myself and that's it for today.",Average Interview,Shopee
 Why did you apply for Shopee   ,Declined Offer,Neutral Experience,The interview took 20 minutes via phone call. They were not strict or prompt with their schedule because I received the phone call about 20 mins. later than the scheduled time. The interviewer was very easy to talk to so it felt casual.,Difficult Interview,Shopee
 MCQ question on programming   ,No Offer,Negative Experience,,Average Interview,Shopee
 Please go through your resume.   ,Accepted Offer,Positive Experience,first HR phone interview. About a week later got the face to face interview in HQ. And another week later got the offer. It's pretty efficient and fast. The interviewers are both nice and didn't ask anything strange.,Easy Interview,Shopee
 tell me about yourself   ,Accepted Offer,Neutral Experience,I was referred by my senior. The response was really fast. I was contacted by the hr in two days by email and she asked for a phone interview. The interviewer was really nice.,Average Interview,Shopee
 what you will bring to our company   ,No Offer,Negative Experience,interview with HR. talk about my experience. why I choose to study in ** university. difference bt bachelor and master. just a friendly talk. don't know why i got rejected.,Average Interview,Shopee
 Tell me more about yourself   ,No Offer,Positive Experience,,Average Interview,Shopee
 Tell me about the time you worked with others.   ,No Offer,Positive Experience,It was a phone call and the interviewer was very friendly in acknowledging my replies. He was from HR and I made the mistake of bringing up technical terms to him.,Easy Interview,Shopee
,No Offer,Positive Experience,"This was an interview with HR. There was only one interviewer but I was interviewed with four other candidates. Relatively easy and simple questions, about yourself, the role that you applied, and the company. I did not get the offer after I failed to pass the further process (long after this interview).",Easy Interview,Shopee
,Declined Offer,Positive Experience,,Difficult Interview,Shopee
" Tell me about yourself, Why join Shopee, Behaviorial questions like ""What will you do if someone in your team is not contributing enough?"", Technical questions with regards to database.   ",No Offer,Negative Experience,,,Shopee
 Tell me about yourself   ,No Offer,Negative Experience,,Average Interview,Shopee
 Tell me about yourself   ,Accepted Offer,Positive Experience,,,Shopee
 Why do you want to work for Shopee?   ,No Offer,Negative Experience,"Attended a short phone session with one of the HR recruiter and the recruiter was pretty friendly. After which, attended a Skype interview with one of the rudest interviewer I’ve ever met. First, the interviewer told me he haven’t view my resume yet and actually only start to go through my resume at the start of the interview. After which, he kept harping on my age during the interview, saying that I would be the oldest in the team if I join and the fact I’m even older than their boss. Woah I’m sorry but I can’t turn back time to make myself younger to suit you guys. If age is such a critical factor here, then please kindly state so before the interview so that I can stop wasting your interviewer’s time and my time. I don’t think I will be selected and I definitely won’t try to apply for any more other jobs here.",Average Interview,Shopee
,No Offer,Positive Experience,,Easy Interview,Shopee
" The typical questions, tell me about yourself, why are you applying to Shopee, why do you think you are a suitable candidate for this role, what are your greatest strengths and weaknesses   ",Accepted Offer,Positive Experience,"Applied online on their company website job portal. Received email within a week, asking to setup a call interview. Call interview was with a HR personnel, for first round screening. Interview was kind and patient. Positive experience.",Average Interview,Shopee
 Language specific questions   ,Accepted Offer,Positive Experience,,Average Interview,Shopee
 Why do you feel you are a good fit for this role?   ,Accepted Offer,Neutral Experience,"HR phone interview, manager interview: only two rounds. Overall, easy to go through HR but they called me 5-6 minutes after the interview timing so I was initially worried that they had cancelled/rescheduled. I think company is ok, work culture very Chinese, but the HR there is the main issue: not so professional, seems like they look down on the interviewees.",Average Interview,Shopee
 What are Shopee's strengths and weaknesses in the ecommerce industry   ,No Offer,Positive Experience,"Was relatively straighforward. Started with a HR interview where they asked you about your current role and past experiences, along with what you are looking for. You then interview with the hiring manager to see if you're a good fit",Average Interview,Shopee
,Accepted Offer,Positive Experience,"Had three interviews with HR, Team Lead and Department Lead. All interviews were done via phone call and skyle and were relatively easy if you’ve been active in college and have contributed to your previous work experiences. Interviewers were very kind and encouraged you to ask questions.",Average Interview,Shopee
 Tell about yourself   ,No Offer,Positive Experience,The hiring process was great and enjoyable. The questions were also not really difficult for first round. But they will take a long time before you got your first interview round.,Average Interview,Shopee
 How's your experience in QA   ,No Offer,Negative Experience,"After all the recruitment process, HR said I was OK and will be got the offering email in next weeks. But the only email that comes in next week is rejection email. They reject me only because there is another candidate that willing to join earlier than me. Shopee even did not ask me whether I could manage the join date becoe earlier or not. Wow.",Easy Interview,Shopee
 Q: why do you choose shopee?   ,No Offer,Positive Experience,"The first round was phone interview and it was quite ok. just some basic questions related to your CV and some insight about shopee , about the job you are applying.",Average Interview,Shopee
 Experience in what was in my resume   ,No Offer,Positive Experience,Interview went so well but was surprised i wasn’t picked for the next stage even thlugh i answered with grace. However the caller was nice and professional with the phone call.,Average Interview,Shopee
 What are some relevant experience you have for this role?   ,No Offer,Neutral Experience,Im an experienced hire and I had a phone interview with HR. Basic questions and career aspirations were asked.HR did not seem to be able to describe the role clearly when asked for clarifications and specifics.,Easy Interview,Shopee
 why do you leave your previous company   ,No Offer,Positive Experience,,,Shopee
 Basic leetcode questions.   ,No Offer,Neutral Experience,"Applied through the career site. After around 1 week, there would be an HR phone interview. The next week, they schedule the first round of technical interview. I didn’t make it after this process, but there should be another round of technical interview and an interview with the VP.",Average Interview,Shopee
 They will ask you to take a section of the GRE   ,No Offer,Negative Experience,"I had a phone interview and then was asked to take a section of the GMAT, without any prior preparation. Thought this was bizarre and odd and when I confronted HR, I was told it was ""just part of the interview process"". Luckily I got a section I had taken before, and hence definitely got a full score however they chose not to proceed with my application.",Average Interview,Shopee
" CS fundamentals, coding questions   ",Declined Offer,Positive Experience,,Average Interview,Shopee
,No Offer,Negative Experience,,Average Interview,Shopee
 Why Shopee?   ,Declined Offer,Negative Experience,Was quite disappointed with the interview process because HR postponed it twice on the morning of the interview. I had to wait three entire weeks for the interview to happen.,Average Interview,Shopee
,No Offer,Neutral Experience,I was contacted by a HR on linkedin. The HR set up an initial call and asked about my work experience and tech stack. I was then given an online test and also asked about my salary expectations. Let's see how this goes,Easy Interview,Shopee
,No Offer,Neutral Experience,"Applied for the advertising product manager on shopee recruiting website and HR contacted me a few days after that and HR asked about my backgroud and work experiences and the screeming was primarily in Chinese, but he asked a few questions in English to check my proficiency. A week later, i recevied the second round interview invitation and interveiwed by the team leader using Skype, and then the third round. After that no respond from shopee.",Average Interview,Shopee
,No Offer,Positive Experience,,Average Interview,Shopee
,No Offer,Negative Experience,"In the first round of the interview, I had the Software Engineer - Server Test which is an hour long. The questions given on the test (concept-wise) are easy for most people, but i didn't have much time to finish implementing them. The online console given for customize input is bad.",Easy Interview,Shopee
 How HTTPS works   ,No Offer,Positive Experience,,Average Interview,Shopee
,No Offer,Negative Experience,One-hour case study followed by face-to-face interview with 2 hiring managers. One of the interviewers was not paying attention and was playing with the phone most of the time. Lack of respect for the candidate. Case study was very tough as there is not enough time to complete the tasks given.,Difficult Interview,Shopee
,No Offer,Positive Experience,,Average Interview,Shopee
,Declined Offer,Negative Experience,"The process took about 2 months just to waste candidates' time. You can definitely find a better company than this that just filled with teenagers who have lack of time management. The first interview was through a phone interview. General questions were given by HR. The second interview consist of a test, the team attend to me was not on time and the interview was very redundant as the team asks the same question as what the HR asked. The HR should have discussed what questions have been asked rather than letting the team asking the same redundant question which simply shows that you aren't even interested in the candidates that you are interviewing for. They kept emphasizing on 'We want to have this interview just to see if you are really interested in this position'. Don't even get it why this question is being asked. If I am not interested and not qualified, I would not even bother clicking that 'apply' button. Why would you even need 3 rounds of interview just to see if candidates really are interested in the position? Doesn’t the test given shows enough reliability of knowledge and interest he/she has? Do you think candidates would even bother wasting their time applying and do the test just for fun and saying that 'I am actually not interested, I am applying this just for the fun of it FOR THREE ROUNDS?’ I would not even bother going through the test if I am not even interested.",Easy Interview,Shopee
 What is something you would change or improve on if you could on the Shopee platform?   ,Accepted Offer,Positive Experience,"Smooth hiring process, first was a call from HR to get a general sense of you then followed by two more 1 on 1 interviews from the BD department heads. All the interviews were done virtually due to the covid situation when I was applied.",Average Interview,Shopee
 what's your previous working experience?   ,No Offer,Neutral Experience,"First online test, 1 hour for Python exercises testing. Then the phone interview for some basic questions. They care much about what the visa you hold. It lasts about 45 mins.",Easy Interview,Shopee
 What you understand about product management ?   ,No Offer,Negative Experience,"The interviewer was friendly at first however doubted when I talked about having passions in different sector as if it shouldn't happen. Then, her tone changed subsequently which made me feel uncomfortable. Lastly, product management within the company should be something which the recruiter mentioned or gave me a heads up on instead of asking me to guess which products are being managed in Shopee.",Average Interview,Shopee
" General knowledge on the role, previous experience and day-to-day job, current salary and earliest start date   ",No Offer,Negative Experience,,Average Interview,Shopee
 Why did you apply for this particular position?   ,Accepted Offer,Positive Experience,"It took about 3-4 weeks for the HR Recruiter to contact me for a casual phone interview. All in all as mentioned, it was a casual interview with the recruiter just trying to get to know you better and to explain the job scope to you. It took over 2 weeks for them to get back for a proper face-to-face interview. So wish me luck!",Easy Interview,Shopee
" Sorting & Searching Algorithms, DP, CS Fundamentals   ",Accepted Offer,Positive Experience,,Average Interview,Shopee
 How does garbage collection work in Java?   ,Accepted Offer,Positive Experience,"two rounds of technical interview, first on several average LeetCode questions and second on system design problems with your future team lead. Code doesn't need to run for the first round of interview",Average Interview,Shopee
 HR interview is mostly about past experiences and about your working style   ,No Offer,Positive Experience,The application process was quite efficient in the sense that they keep you updated on your application status. The hr recruiter was quite friendly which was very helpful as interviewers are always quite a nervous situation.,Average Interview,Shopee
 Tell me about yourself   ,No Offer,Positive Experience,First you need to take a Math test that should be finished within 20 minutes. Then if you’re passed you got an invitation for HR interview. I don’t know about anyone but after the HR interview I got to take some excel test,Average Interview,Shopee
" Standard interview questions - the reason for leaving, a reason to apply for the role.   ",No Offer,Negative Experience,,Easy Interview,Shopee
,No Offer,Negative Experience,,Average Interview,Shopee
,No Offer,Negative Experience,Really unprofessional HR. Scheduled phone interview but did not turn up. Changed the application status the next day and gave an ambigious update with broken english. Asked for further clarifications and got ghosted instead.,Average Interview,Shopee
 How is the business in Shopee like?   ,No Offer,Neutral Experience,Interview was okay and short. Interviewer is quite friendly. He asked more about your past experiences and also a question about what Shopee business looks like. It was a phone interview through Skype.,Difficult Interview,Shopee
