offer,experience,difficulty,interview,question,source
No Offer,Neutral Experience,Easy Interview,, Have you worked for amazon before.   ,Amazon
No Offer,Negative Experience,Easy Interview,,,Amazon
No Offer,Positive Experience,Average Interview,I was referred for the Data Engineer position. The whole process took two weeks. This was not the job I wanted but I gave it a try to gain more experiences.,,Amazon
No Offer,Negative Experience,Easy Interview,"The interviewer called a day before the actual interview day. I am not sure that interviewers from a company like Amazon can be such careless. After calling, the interviewer started telling me about the team and what they do. After he was done telling me what the team does, he asked me if I was ready for the technical questions. I told him that the interview was supposed to happen tomorrow, not today. He said he didn't know and he will call me back tomorrow. The next day, he called me. Asked me a couple of technical and behavioral questions. I was pretty good at what he asked and tole him everything confidently. Got a reject in two days after this interview. Not sure what he was looking for."," Basic SQL questions and a behavioral question, ""How will you handle conflict at the workplace""   ",Amazon
Declined Offer,Positive Experience,Average Interview,"Two online assessments first 7 debugging questions and 23 logic questions very easy for anyone who has made it past first year cs. Second assessment was a work style simulation kind of odd but not difficult just use the leadership principles as a guide to your answers, also had 2 coding questions use leetcode easy-medium difficulty. Last part of process was a single 45 mins web interview and was very easy.", cleaning robot problem   ,Amazon
Accepted Offer,Positive Experience,Difficult Interview,"I applied to some jobs on Amazon's website and a recruiter contacted me about this position instead about 3 days later. I then took a math/leadership principles test. The analysis test was weird and outdated, but I apparently did well. Then a couple days later I had my phone interview. The recruiters were very responsive the entire time. They asked 2 situational questions, 2 behavioral, and a few general questions about my work background. I was told the next day that I had an in-person interview. I was set to interview a week or two out. They offered tons of prep material. ALWAYS memorize and analyze the leadership principles and relate your past experience to them. Be honest with yourself. They detect BS. The interview was all behavioral and a couple situational. It was 4 hours long at the office in Seattle. Five interviewers rotating. One ""bar raiser"" that I can easily point out now because she isn't even in the org. This person, in my opinion, basically tries to trip you up. They will test you to meet their goal: every new hire is inherently better than 50% of all current employees. This is why they call it the ""bar raiser"". They contacted me within 45 minutes of my interview ending with an informal job offer. A couple weeks later I received my offer letter, negotiated, and had the job.",,Amazon
No Offer,Positive Experience,Average Interview,,,Amazon
No Offer,Neutral Experience,Difficult Interview,, The problems are one functional and another one is DFS.   ,Amazon
Declined Offer,Neutral Experience,,," basic questions on networking, linux trouble shooting   ",Amazon
No Offer,Negative Experience,Difficult Interview,"First round interview was over the phone. It began by asking a few behavioral questions, then immediately jumped into technical questions. They gave no indication they would ask technical questions right off the bat. They took a longer time than they said they would."," If customers were asking about cars and Amazon Alexa is not allowed to provide information on cars, how would be able to identify questions asked about cars from Alexa's database?   ",Amazon
No Offer,Negative Experience,Easy Interview,," In SQL if you have a Students table and a Departments table, how would you count how many students belong to each department?   ",Amazon
No Offer,Negative Experience,Average Interview,"Technical phone screen interview for a Software Engineer position. There were two interviewers and myself. We all introduced our self and jumped to the exercise, no leadership question which I was told by the recruiter to be prepared for at least 3.", Based on a social media network find the minimum distance between two friends?   ,Amazon
Accepted Offer,Positive Experience,Average Interview,Reasonable screening process. Basic background check . They asked me if I was able to lift at least 50 pounds or more. They asked if I liked a challenging and analytical environment, What are your goals?   ,Amazon
Accepted Offer,Positive Experience,Easy Interview,I submitted an application on the weekend and was given an interview that very same Monday. The entire process was no-stress and low-key. The Hiring event team was friendly and helpful. They were very punctual and the whole process to barely more than an hour., This was a group event. It mostly consisted of verifying eligibility and a drug screen.   ,Amazon
No Offer,Negative Experience,Easy Interview,,,Amazon
Accepted Offer,Positive Experience,Difficult Interview,,,Amazon
No Offer,Positive Experience,Average Interview,"Recruiter contacts me first and after sharing my resume and experience, the recruiter schedules the phone tech interview. In the phone tech interview, get 2~3 Behavior questions and follow by the technical coding test", Traverse an HTML DOM tree by level   ,Amazon
Declined Offer,Positive Experience,Average Interview,Phone interview with hiring manager. Learned more about the team. Straight forward interview questions as expected. The company website is very helpful on what to expect and what to prepare for., Tell me about a time you had to solve a complex financial problem. Then followed up with 'would you have done anything differently?'. I wasn't used to follow up questions so it's good to prepare for next time.   ,Amazon
No Offer,Positive Experience,Average Interview,,,Amazon
Accepted Offer,Positive Experience,Difficult Interview,"The hiring manager reached out to me on LinkedIn. There was a phone screen and a online SQL round. After that, I was invited for an in person interview and I had to meet 6 people (including lunch interview). 4/6 interviewers focused on Amazon's leadership principles - Be prepared with examples (lot would be better) from your work experience",,Amazon
No Offer,Positive Experience,Difficult Interview,"I applied online on 14th May 2019,got the assessment 2 weeks later.I cleared the online assessment and had to wait one month for the next phone interview. The phone interview was scheduled according to the dates I selected from the list.The interview was held for about an hour and I was mostly asked questions related to the security domain for which I was interviewing for. The interviewer was pretty straightforward but he led me deep into the basics with every question. But overall I had a good experience since I studied a lot regarding networking which turned out to be useful for my other interviews.",,Amazon
No Offer,Negative Experience,Average Interview,,,Amazon
No Offer,Negative Experience,Difficult Interview,"Interview was done via webcam. The interviewer just woke up and was still in their PJs. I was dressed in a suit sitting in my work room. It was one of those ""tell me a time when this happened"" situation based interviews. It was very technical and not a personal conversation. I never heard back from them about the job or position. Never an email stating you moved on or didn't. Left in the dark.", Tell me a time when you failed on a project?   ,Amazon
No Offer,Positive Experience,,," debugging, data structures and algorithms   ",Amazon
No Offer,Positive Experience,Average Interview,"Applied online and was contacted by a recruiter approximately one week later to set up a phone interview. Interviewed by an Amazon Alexa Category Manager the following week, which lasted about an hour.",,Amazon
Accepted Offer,Positive Experience,Average Interview,"First, contacted by HR and phone interview with the HR recruiter. If good, a scheduler schedules a phone screen with a hiring manager. If you still pass, get moved to 1 day on-site interview.", How do you manage low performers?   ,Amazon
No Offer,Neutral Experience,Average Interview,"Had initial questionnaire, then two coding problems and work day simulation, then face-time interview with live coding. Last interview was three 45-minute interviews with three different people and with coding.",,Amazon
No Offer,Neutral Experience,Average Interview,"The HR approached me after half a month I applied online. I did an Online Assessment, and video onsite, still waiting for the result. If I pass the VO, there'll be a onsite review.", Behavior question: Did you have any conflicts with your team member? How did you solve it   ,Amazon
No Offer,Neutral Experience,Average Interview,"Initial phone screen asking about experience and front-end/back-end preference. After that there was a 1 hour phone/online coding interview. Last was a 6 hour on site interview, most questions were behavioral and based on their leadership principles.", Multiply a 2 numbers where the first number is represented by a string that is to large to convert to an int or long and the second number is just an int   ,Amazon
Accepted Offer,Positive Experience,Difficult Interview,, Name one time you lost a customer (or the customer was displease)? What would you do different in that situation?   ,Amazon
Accepted Offer,Positive Experience,Easy Interview,"Applied online. Received an email inviting to a hire orientation. Manatory Orientation includes a drug screen and then they ask for ID like Social Security card, Driver's License to due a background check. Once you pass the drug screen/background check you receive an email giving you a start date/pay rate and documents to sign before your first training date. For the drug screen, you have to pass what the Federal Government says what is legal or NOT, so if you state has legalized marijuana- you still need to test negative for that substance since the Feds say it's illegal.", Would you be willing to take a drug screen and consent to a background check?   ,Amazon
Accepted Offer,Positive Experience,Easy Interview,"Filled out an application online, instant notification of approval, picked my shift on a Saturday, went to a new-hire event about a week later with about 50 other people. Took a drug test there, took my employee photo. The whole event took about 2 hours. You watch a power point presentation of how it will be to work in their warehouse. Was told they would be in touch via e-mail. Waited for my new-hire packet and information.", They asked zero questions!   ,Amazon
No Offer,Positive Experience,Difficult Interview,Highly processed and formal. Your interviewer will reading from a list of pre-established questions that are all behavioral based. They know exactly what they are looking for with each answer so be sure to do your homework on how to navigate their questions., Tell me about a time you failed?   ,Amazon
Accepted Offer,Positive Experience,Difficult Interview,"3 weeks from submitting resume online via AWS employment page. Recruitment team was extremely helpful and transparent with the entire process. In fact, it was the most painless and transparent recruitment process I have ever gone through.", Many related to the leadership principles   ,Amazon
No Offer,Negative Experience,,I did not apply - Amazon sought me out via LinkedIn. Then they no-showed for 2 phone interviews and never replied to my emails to re-schedule. Terrible professionalism - apparently they don't care since they are now such a behemoth., Recruiter blew off our phone interview 2x and no reply to my emails to re-sched or get an update.   ,Amazon
No Offer,Positive Experience,Difficult Interview,"It was unique in the accommodations. They were very considerate. The tour was awesome especially to an experienced operations manager. I wish I had interviewed prior to the tour as I felt inadequate during the interview (could have been a tactic). But as for the interview, well I thought not so highly on the interviewing skills of the interviewers. They were distracted which left me distracted and unsure. I wasn't made an offer and I wasn't surprised because I felt the atmosphere wasn't conducive to it being so but again could have been a tactic.", I didn't have a difficult question. I was distracted as the interviewers seemed to be as well.   ,Amazon
No Offer,Positive Experience,Average Interview,Very truthful person. Asked specific questions to the position in which I applied for. Gave great feedback after interview. Answered every single question that I asked. Very knowledgeable interviewer., The math portion.   ,Amazon
No Offer,Neutral Experience,Average Interview,, have you even met any difficulit cusotmers?   ,Amazon
No Offer,Negative Experience,Average Interview,,,Amazon
No Offer,Neutral Experience,Difficult Interview,,,Amazon
No Offer,Negative Experience,Easy Interview,,,Amazon
No Offer,Positive Experience,Difficult Interview,Amazon recruiter reach out to me and he invited me to take the coding challenge. Then invited to go onsite for the interview. The decision was made within a week., Amazon leadership questions and algorithm and data structure questions   ,Amazon
No Offer,Neutral Experience,Average Interview,"Applied online, received an online coding test. Language options were C++ and Java, and there were 7 questions coding questions in a 25-minute time period. I felt like I didn't have enough time and couldn't get all the test cases for all the problems. There was a math-based part as well which wasn't too difficult.", Find the bug in sample code   ,Amazon
Accepted Offer,Positive Experience,Average Interview,"Pretty straightforward. Two online assessments, after you pass those then 3 Skype interviews back to back. No on site for me. Took a little bit of time to get the first interview, after that everything went by pretty fast."," Data structures. Design large int class, a Trie and a recursion problem.   ",Amazon
No Offer,Negative Experience,Difficult Interview,Lots of information up front about what will be covered and who will be covering it; I received three different interview schedules and none of the 3 were more than halfway accurate. I would be cautious to not spend too much time studying the information presented prior to the interview around the leadership principles., to write specific boolean examples with a given requisition   ,Amazon
No Offer,Neutral Experience,Difficult Interview,"Three phone screens, Required two page white paper prior to OnSite for interview topic, flown out for 6 hour onsite Seattle interview with 6 to 7 people in a loop, informed a few days later of negative outcome. Feedback would be nice but they do not provide any. Hard to gauge if would reapply without something to work on from previous interviews. Data centric company. If you are not a data expert never apply! Went with another candidate. Whole process was three weeks from application. Look at leadership principles and have answers in STAR format with examples and measured data with results in every example.", Tell me a time when you failed.   ,Amazon
No Offer,Negative Experience,Average Interview,My phone interview experience was very poor. The first phone interviewer and the second phone interviewer said different things about the position. I was talking along the line I heard from the first interviewer but I felt it didn’t match the second interviewer’s expectation. Oh did I tell you my second interviewers said they were just hired three months ago?, Tell us Bout the time you failed   ,Amazon
No Offer,Negative Experience,Difficult Interview,Did a phone screening followed by another phone screening followed by two Skype interviews and an on-site interview. Same redundant questions. The worse part was traveling all the way to site just not to hear back. They get back to you within three weeks of last speaking to them. Then they don’t provide any kind of feedback whatsoever but send you a survey to rate the interview process. I get that they want the best of the best but communication is key and they definitely don’t do that well. Good insight as to what probably goes on behind closed doors., A ton of behavioral situation questions.   ,Amazon
No Offer,Neutral Experience,Average Interview,Call with recruiter then 1:1 call with hiring manager. Once had call with hiring manager didn't receive any feedback other than auto email not moving forward and they don't provide feedback.," Lots of experience based questions ""Tell me about a time when...""   ",Amazon
Accepted Offer,Negative Experience,Easy Interview,"There was no interview, just a basic background and drug test. If you passed, you were directed to attend a two day safety class, followed by 3 ride alongs with current drivers.", Have you ever been convicted of any felonies?   ,Amazon
Accepted Offer,Positive Experience,Easy Interview,"Applied on line. They gave a personality exam. Within a day or two based on my results, I received a link for video interview that needed to be completed in a few days. You have 3 attempts to submit your answers. Went in for drug testing and paperwork (2 hours)", Have you ever made an error and what did you do about it.   ,Amazon
Accepted Offer,Negative Experience,Easy Interview,"They spent only 15 minutes to hear about my experience and they hired me. No matter how talented you are, 15 mins is not sufficient to judge about ones caliber. They hired in a hurry and after I joined they realized they dont need this role.", Tell me about yourself. Thats it. Nothing else   ,Amazon
No Offer,Positive Experience,Average Interview,I participated in a phone interview with the hiring manager first. This was followed by a traditional Amazon loop interview that consisted of five one hour discussions. I also had a lunch in between., Tell me about a time you had to transition a project to a new owner.   ,Amazon
Accepted Offer,Positive Experience,Difficult Interview,Two phone screens and several in-person interviews. There was a heavy focus on the STAR questions and the 13 leadership principles. Recommend doing research into their cloud products (deep dive into one of them) and their business goals., What do you know about AWS?   ,Amazon
Accepted Offer,Positive Experience,Difficult Interview,I am currently in an interview process with Amazon and is moving to the last phase. The next step is to fly out to Seattle to meet with other managers onsite. I had 3 phone screening before this phase. Overall the interface process was pretty fair., Explain how DNS works?   ,Amazon
No Offer,Positive Experience,Average Interview,, Each round has tech and behavior questions. Behavior questions are based on Amazon's 14 principles.   ,Amazon
No Offer,Neutral Experience,Difficult Interview,"The interview process included two online tests, then three virtual interviews that lasted 45 minutes each. The online tests and the virtual interviews included coding questions and general culture questions. The coding questions for the first test were debugging, for the second test were general brainteasers, and for the virtual interview were object-oriented coding problems.", They asked general culture questions and typical object-oriented programming questions.   ,Amazon
Accepted Offer,Neutral Experience,Easy Interview,"Not really much of an ""Interview"" process, more like you simply apply online and wait for a response email from the recruitment office. it took a while for mine so i actually went to the amazon warehouse and spoke with a person face-to-face."," No questions, simple a process. you show up for the interview, they go over the process of getting started at Amazon and the work environment and then go for a mouth swab drug test.   ",Amazon
No Offer,Positive Experience,Easy Interview,3 rounds of coding and behavioural questions; 1 coding question and followed by 1 behavioural question each round. Prior to this was a coding challenge. and prior to that was a online java assesment test with basic error debug questions and sysntax questions.,,Amazon
No Offer,Positive Experience,Average Interview,"It was phone and code interview, where I was provided a link to online answer asked to have a conversation via phone call on what I was thinking. It took 1 week of time for the hiring process", create only one sorted list of k sorted list   ,Amazon
Accepted Offer,Negative Experience,Easy Interview,You don't get interviewed. They do mass hiring events and make you sit in tight close quarters besides people who have body odors and who are desperate for a job. You administer your own drug test and seal the bag. An Amazon employee just comes around and writes their initials on the bag and collect it., No questions were asked. As long as you can pass a background check and drug test they hire you.   ,Amazon
Accepted Offer,Positive Experience,Average Interview,"I've got an onsite interview. There are total 4 rounds, 2 rounds technical interviews and 2 rounds BQ. Everyone is very nice. There is no breaks between the interviews, basically when you're nearly finished with one interviewee, the next interviewee is already waiting outside the room, but you still have time to grab a drink or go to the restroom."," they ask a lot behavior questions and their leadership principles, and how these principles connects to your experiences   ",Amazon
Declined Offer,Positive Experience,Average Interview,, Which of the Amazon values did you most resonate with and why?   ,Amazon
Accepted Offer,Neutral Experience,Easy Interview,"Applied a little over a month ago, and they sent me an email twice saying they are still considering my application, but they said they will email me as soon as they can regarding my next steps", How long does the hiring process usally take?   ,Amazon
No Offer,Positive Experience,,I had a 15 minute phone interview that was straightforward asking maybe two behavioral based questions followed by an in person interview that took roughly four hours. I had back to back interviews with four people in total and they all chose two leadership principles and asked questions based on those principles., Tell me a time where you had to overcome a challenge and how did you overcome that obstacle.   ,Amazon
No Offer,Negative Experience,Difficult Interview,"while they insist on hiring best, interviewers are not the best and peer interviewing is the worst. as they are always competing against you and not in their best interest to hire you.", leadership principals   ,Amazon
No Offer,Positive Experience,Average Interview,"I applied online. The process took 3 weeks. Phone screening interview took 45 minutes. Site interview was 4 rounds with 1 interviewer 45 minutes each round, at Amazon Seattle, WA.",,Amazon
No Offer,Positive Experience,Average Interview,, Behavioral questions such as the time you took action to solve problems.   ,Amazon
No Offer,Neutral Experience,Difficult Interview,3 rounds video screening with coding and behavioral questions for each round. 15 mins rest between two rounds and each round lasts for 45mins. Two DFS problems and one OOD for the coding sections., Design a program to play musics randomly according to their ratings   ,Amazon
No Offer,Negative Experience,Easy Interview,, How many years of sales experience do you have?   ,Amazon
No Offer,Neutral Experience,Average Interview,, Tell me a time when you had to help a coworker.   ,Amazon
No Offer,Positive Experience,Difficult Interview,," Tell me a time when you thought ""Big"" or turned a small idea into a Big idea   ",Amazon
No Offer,Positive Experience,Average Interview,, If you type example.com and it doesn't open what would you do?   ,Amazon
No Offer,Positive Experience,Easy Interview,, Tell me about yourself   ,Amazon
No Offer,Negative Experience,,"Hiring process is long and kind of a joke. I was first emailed a list of about 15-20 questions that I had to answer. Then about a week after that a phone interview was scheduled. Standard interview with some situational questions. A few days after that I was emailed and told I had been selected to come in for an on-site interview, but that it may take several days to several weeks to arrange. Three weeks went by and I hadn’t heard back, so I followed up with the recruiter and received essentially the same response as before. After it had been seven weeks since my initial interview I followed up again with the recruiter, only to be told the following day that the position had been filled internally. Amazon’s hiring practices and follow up are disappointing and frankly kind of a joke.", Please tell us about a time where you had to hold someone accountable.   ,Amazon
No Offer,Negative Experience,Average Interview,, They really didn't know since the recruiter didn't inform them I was being considered for multiple.openings at the director level.   ,Amazon
Accepted Offer,Positive Experience,Difficult Interview,, Tell me about yourself?   ,Amazon
Declined Offer,Neutral Experience,Average Interview,, Tell me about a time you were not able to meet a commitment?   ,Amazon
Accepted Offer,Positive Experience,Difficult Interview,,,Amazon
No Offer,Neutral Experience,Average Interview,, What are you most proud of in your career? Why?   ,Amazon
No Offer,Positive Experience,Average Interview,, Debugging and logic questions   ,Amazon
No Offer,Positive Experience,,,,Amazon
No Offer,Negative Experience,Easy Interview,"The recruiter called me asking to setup an initial phone screen, then there was a phone interview with a TPM, then another TPM. The 2nd TPM asked a lot of technically specific questions that you wouldn't know unless you had used the knowledge recently. I.e. You can know C++ but have not used it in a bit and not exactly remember the exact syntax for certain functions. He asked about syntax questions which I didn't think were very relevant to the job. Not sure what he included on his ""report"" of me to the hiring manager but it got extremely difficult to get interviews for other positions since other recruiters can see your history and profile for jobs you've interviewed for at Amazon.", Can you talk about a time when you used data to make a decision?   ,Amazon
Accepted Offer,Positive Experience,,"It was really easy, basically just being hired. I enjoyed how kind they were and the people that interviewed me were really kind. Overall just an amazing experience and anyone who works close enough to one of their facilities should at the very least give them try. solid 5/7", When can you start?   ,Amazon
No Offer,Positive Experience,Average Interview,"Assessment, and on-site interview after, not yet finished so can not provide much information at this point. But they do require good knowledge of interet, trouble shooting and customer service experience."," For the assessment, bacsic networking problems like what other people mentioned   ",Amazon
No Offer,Positive Experience,Difficult Interview,," StackofPlates, Create a class StackofPlates and pop first two plates and return the StackofPlate   ",Amazon
No Offer,Negative Experience,Easy Interview,, Do you have any experience with high volume hiring events?   ,Amazon
Accepted Offer,Neutral Experience,Easy Interview,As long as you can pass a drug test you pretty much got the job. They will call you in for a overview of the job with about 15 other people where you will adhere to the drug test and get a more of a sense in what the job will entail and a start date and time, Can you perform the physical requirements of the job?   ,Amazon
Accepted Offer,Positive Experience,Easy Interview,For the interview you pick a time and go in. Its a group interview. Make sure you get there on time and have all the documents they ask for. If you don't then you have to do the process all over again., Make you take a test at the end of a video   ,Amazon
Accepted Offer,Positive Experience,Easy Interview,,,Amazon
No Offer,Positive Experience,,, 15 questions   ,Amazon
Declined Offer,Neutral Experience,Difficult Interview,"Phone screen with recruiter, phone screen with hiring manager, full day 6hr in person interview with 7 different people. Some of the in-person interviews were actually done over video conference as the team is spread throughout the country.",,Amazon
Accepted Offer,Positive Experience,Average Interview,,,Amazon
Accepted Offer,Positive Experience,Easy Interview,," mirror tree, combine 2 sorted arrays   ",Amazon
No Offer,Positive Experience,Easy Interview,"I spoke to an individual at a job fair, then he referred me to a veteran recruiter. The veteran recruiter reached out to me, saw my resume, and I interviewed."," What was a time you were challenged, and what processes did yo use to overcome it?   ",Amazon
No Offer,Neutral Experience,Average Interview,It was a two-stage interview process. A coding round followed by an on-call technical/behavioral round. The coding round was simple. The technical question asked on-call was simple too. Messed up the behavioral round., What were some mistakes you made as a leader in a project?   ,Amazon
No Offer,Positive Experience,Difficult Interview,"I was contacted by a recruiter for this position. After a phone screen with the recruiter, I had a phone interview with a member of the team. Next I was brought on for a loop.",,Amazon
Accepted Offer,Positive Experience,Average Interview,"Mix of online assessments and phone screenings that covered both technical and soft skills. Was for a new grad position, so questions seemed pretty normal/standard for cs interviews. Nothing too difficult, just be comfortable with standard data structures + traversal algorithms.", Tell me about a time you worked on a project for the sake of learning.   ,Amazon
No Offer,Neutral Experience,Average Interview,"I got an email that i will have the interviews online first. I had 4 different interviews. First was just reviewing and asking simple question, rest were behavioral questions. Experience itself was good to know. It was just okay in general. Wasn't interested in this job at the first place.", Behavioral questions.. again and again   ,Amazon
No Offer,Positive Experience,Difficult Interview,, Tell me about a time you had a conflict at work and how you handled it.   ,Amazon
Accepted Offer,Positive Experience,Difficult Interview,,,Amazon
No Offer,Positive Experience,Average Interview,, Biggest Challenge   ,Amazon
Declined Offer,Neutral Experience,Easy Interview,, Reverse bits in s string.   ,Amazon
No Offer,Negative Experience,Average Interview,"I applied online got an assessment which included basic aptitude, verbal and technical questions. After this another assessment with 2 coding questions and 2hr long simulation test was sent. The next step was a video interview with amazon chime.",,Amazon
Accepted Offer,Positive Experience,Easy Interview,I applied online by finding the application on LinkedIn. I waited a couple weeks before they responded to have an interview. The interview was a 2 part process. 2 different interviews which weren't too bad. They just asked about my experience and some situational questions. As long as you answer well you should be fine.," situational questions, past experiences   ",Amazon
No Offer,Neutral Experience,Average Interview,"I applied online on Amazon's website for a business intelligence position and in a month's time, I got an invitation for the phone interview. Although I had confirmed earlier from the recruiter about the type of interview as Behavioral one, It turned out to be technical mostly. I feel it entirely depends on the person to ask any type of question for the role. I should say, You should be prepared to answer all kinds of questions."," Instance on Quality and standard, Projects from resume, Types of schemas, difference between star and snowflakes schema, What is slowly changing dimension, A real-time schema design, how do you rate yourself in SAS, R, Python and SQL, SaS and R comparison, Which tool should Amazon use, A sql query calcualting rolling average kind of question   ",Amazon
Accepted Offer,Positive Experience,Easy Interview,," ""When was a time you had to balance two things at once?""   ",Amazon
No Offer,Negative Experience,Average Interview,, Questions about Amazon 14 principles   ,Amazon
No Offer,Neutral Experience,Average Interview,"The recruiter called 1st. Professional and ethical. Scheduled for an technical interview within a week. Techinical interview was for a hour over the phone. While on the phone, the interviewer asked me to write a code on the amazon white board online application.",,Amazon
Accepted Offer,Positive Experience,Average Interview,, Describe a time you took the lead on a project.   ,Amazon
Accepted Offer,Positive Experience,Easy Interview,"I was applied for an assistant shift manager at Florida, Fort Pierce. It was only interviewed with me one time and passed it. But took forever process to final offer letter like up to a month.", More like the question to you about 14 principles and math skill. Plus experience in leadership or motivate with rate hit.   ,Amazon
No Offer,Negative Experience,Easy Interview,"Very unprofessional process. They cancel the first phone interview the day before. For the second, the interviewer called 30mins late, and tried to ask as many questions as possible in 30 mins without letting me time properly answer them. It definitely looked like they already had made their choice but just needed to follow the formality to claim that they had interviewed some more people. Total waste of my time.", How did you approach the last time your team failed a deadline.   ,Amazon
No Offer,Neutral Experience,,, TCP Model   ,Amazon
Declined Offer,Negative Experience,Easy Interview,," 1) how much time you spend on technical? how much time on program management? what is ur program management style? what is a java construct? what is a field in java? say you are trying to make music content available to customers for first time, how would you go about it?   ",Amazon
No Offer,Neutral Experience,Easy Interview,"An Amazon Recruiter asked me if I was interested in applying for the role. They flew me out, paid for hotel and rental car, and food. Got a tour of the amazon warehouse and there were two other candidates. Interview was with 3 different people: HR manager, Operations Manager and one more person. Recruiter told me to study Amazon's leadership principles and the STAR response format. I did all of that, memorized the principles. Questions were all situational and behavior based. It was back to back interview with all three people. I thought the interviews went really well and I was very disappointed that I didn't get an offer. Interestingly, I tried applying for an area manager role at a different location and contacted the recruiter who reached out to me. The recruiter told me that based on my previous interview to not even bother and if I want to apply again, to wait 12 months. So I guess it is a one time deal. Very disappointing since I incorporated the Amazon leadership principles into my answers and studied them well before the interview.", Name a time you tried enacting a change within an organization   ,Amazon
Accepted Offer,Positive Experience,Average Interview,"My recruiter and interview coordinator did a fantastic job at promptly setting up everything. One screening phone call with the recruiter, 2nd phone interview with Hiring manager, 2nd phone interview with a team member, onsite with 6 individuals each lasting an 1 hour, out of which one was a Bar raiser, part of a non related team. I received feedback within 2 days of each stage and my onsite experience was very pleasant, contrary to the horror stories I have heard. I would think its totally team and recruiter dependent. All based on the 14 leadership principles, and one case study at the onsite interview. Its critical that you talk about details of what you have worked on, but more specifically show why you chose to do one thing over the other. They are looking to understand your thought process, it more about why you did that what you did. Each interviewer at the onsite asked questions on 2 - 4 leadership principles, and its fine to repeat your stories.", Signed NDA   ,Amazon
No Offer,Negative Experience,Difficult Interview,, The normal 14 leadership principle questions but I did notice they almost always center around difficulties and conflict. So be prepared with tales of adversity.   ,Amazon
No Offer,Negative Experience,Average Interview,"Very dissapointed on the process. I would stay away. Recruiter contacted me, asked about experince, set up interview half technical half behavioral. Was suppoed to be witb manage for Finance team. someone else called on his behalf, very abrupt w questions, all over place with SQL, but more database foundational questions, than ETL technologies very interested in SSIS, weird. Did not have the decency to go over full length of interview. Big discrepancy between recruiter ans interviewer.",,Amazon
Accepted Offer,Positive Experience,Easy Interview,, Not really hard questions   ,Amazon
No Offer,Positive Experience,Difficult Interview,"I first had a online assessment exam, which mainly focused on networking skills. After 2 days, I got a call for scheduling a telephonic round. The telephonic round was deeply technical and took one full hour. I passed that round and then had a onsite interview. 4 interviews - 45 min each. Two were technical rounds and the other two were behavioural based. Although I did not clear the interview, it was an overall very positive experience."," Since I signed NDA, I will not be able to go into details, but the questions were deeply technical related to network, windows architecture and troubleshooting   ",Amazon
Declined Offer,Negative Experience,Easy Interview,,,Amazon
Accepted Offer,Positive Experience,Average Interview,, Most questions were listed here already..   ,Amazon
Accepted Offer,Positive Experience,,, Nothing   ,Amazon
Accepted Offer,Positive Experience,Easy Interview,"Online virtual test for the overall work process for sorting of packages and then Walk-in Interviews where ID, background check and drug test samples were taken. The whole application process about 10 days from start to finish.", Online Aptitude test   ,Amazon
Accepted Offer,Neutral Experience,Easy Interview,"I applied online, there was a few steps to the online process. Nothing to hard but there was a test and some personality questions. The next step in the interview process was the drug test completed on site",,Amazon
Accepted Offer,Positive Experience,Easy Interview,"no interview , walked in to a room full of candidates, we watched a lot of amazon vies, were brief by different managers about the job and a training with a test about hazardous materials, very easy , super quick",,Amazon
Accepted Offer,Positive Experience,Easy Interview,"It was very easy, there was no interview. There is a drug test and if you pass it they'll send you an email within 2 weeks and then your orientation.", There were no questions.   ,Amazon
No Offer,Positive Experience,Average Interview,"I applied in June and got a call within a week. Had first round as the coding round. The interviewer was a great guy, helped me throughout the course of the interview. The questions from LeetCode from easy to hard. I would suggest solving LeetCode as much as you can.",,Amazon
Accepted Offer,Positive Experience,Average Interview,,,Amazon
No Offer,Negative Experience,Average Interview,The position was a demotion in my career but wanted to work for Amazon. In 2 phone interviews I informed them I was not available for nights. I then was called in for an interview for the Night Shift. For a company like this I would have thought the screening would have stopped not only my time being lost but those that interviewed me as well., Know their operations   ,Amazon
No Offer,Positive Experience,Difficult Interview,There were three rounds of phone interviews followed by a full day onsite interview where I met with six people. The onsite interview lasted for roughly 5 hours and included lunch., It was all situational based. You must be familiar with the Amazon Leadership principles and answer in STAR format.   ,Amazon
No Offer,Negative Experience,Average Interview,I had already interviewed on site for software engineer role and then recommended to come back on site again to interview as TPM instead. I am certain that I could perform any of the roles but I think because my communication skills are much better than overall sw engineer I think their initial evaluation made sense to interview to TPM instead. Unfortunately the hiring manager of the position I ended up interviewing within the Alexa team was a nightmare.," Lots of questions about leadership principles providing real experiences I had such as biggest problem I solved, feedback I provided to a peer that was helpful, disagreement I had with a supervisor, etc. + 1 interview of technical design and 1 interview focused on 'program management'.   ",Amazon
No Offer,Neutral Experience,Difficult Interview,"I had applied online. A recruiter contacted me via email after a week and scheduled a phone interview with the Hiring Manager for 40 mins. I gave the phone interview, it was completely behavioral questions. The recruiter followed up with a second round of interview with a Big data engineer in the team. The interview lasted for 40 mins and he asked me all data engineering questions, streaming data and pipe lining questions. None of these skills were ever mentioned in my resume. I had applied for a BI role and had refereed and prepared to all previous Glassdoor interviews for that role in Amazon. Also, he was not clear of what he wanted to ask, interrupted me several times as I was answering. I don't think he knew anything of my profile or the role I had applied too. There is a data engineer role open in the same team, and I am pretty sure he has confused it and interviewed me for that position. He asked 2 SQL questions, through an online shared code editor. As I am gathering my thoughts to type in the query, he interrupts several times. Very disturbing. I was able to solve the second one. I received a reject email today.",,Amazon
