interview,question,offer,experience,difficulty,source
, They asked me to create an algorithm to find all the strongly connected components of a graph.   ,No Offer,Neutral Experience,Difficult Interview,Amazon
The interview process was okay. Applied online around late January 2014 got a call around March 2014 for two back to back 45 mins phone interview. Got Offer after around a month.,,Accepted Offer,Neutral Experience,Average Interview,Amazon
"Contacted after Career fair for the On-site interview and at their headquarter in seattle, they divided the applicants into groups of three. We had to spend few hour to do code. After the interview they followed me up pretty quickly. I didn't make it. Yet they asked me to apply after 6 months once again.",,No Offer,Positive Experience,Difficult Interview,Amazon
, We werent really asked any questions...   ,No Offer,Positive Experience,Average Interview,Amazon
"Hr Contacted me through LinkedIn, take the phone interview. Asked me about best practices of Web Development and my background. Later on we went into code questions, they were simple jQuery and CSS3 questions but I was writing to fast and made some mistakes. On the other hand I think I talked too much that was definitely negative effect on interview.", On phone interview there was no challenging question. Just get prepared basic concepts.   ,No Offer,Positive Experience,Average Interview,Amazon
"Applied online and visited at a career fair. Got an email a few months later inviting me to take an online interview where I would be recorded. The interview was 7 questions that are pretty basic and an easy math flow problem, a calculator helps. I was then invited to a second round of phone interviews with two different managers asking me pretty standard interview questions again. The second one involved explaining the reasoning behind the math flow question and some ethical questions.", Ethical behavior questions. Be very strict with your response.   ,Accepted Offer,Positive Experience,Average Interview,Amazon
"The first round had basic linked list questions that were easy.The second round had questions pertaining to files,hash maps and trees.The interviews were 1:1 and an option to use paper or use whiteboard to write programs.",,No Offer,Average Interview,,Amazon
, All questions were by level of my skills.   ,No Offer,,,Amazon
"Applied online, they called back a couple of days later to set up a phone interview. Set it up for a couple of days later. The interviewer called exactly on time. After small introductions, the interview happened immediately, mostly asking questions about data structures (pros/cons, implementation, etc). One question involved coding on collabedit.", Write out a function that takes in a string as an argument and returns the char that appears most frequently in that string.   ,No Offer,Positive Experience,Easy Interview,Amazon
, What was a commitment that you couldn't keep?   ,No Offer,Neutral Experience,Average Interview,Amazon
An application including GPA & accolades. A phone interview was conducted at a convenient time agreed upon. Phone interview was given by an intern majoring in business & communications and not someone knowledgeable in the field of software engineering., List many HTTP status codes.   ,No Offer,Positive Experience,Average Interview,Amazon
"Group interview. Started from morning. Three people a team. The team was given some reading material, and each person chose one part to code. During the coding process, the interviewers would ask for your solutions.", The problem was related to machine learning knowledge.   ,No Offer,Difficult Interview,,Amazon
, series of SQL questions   ,No Offer,Negative Experience,Difficult Interview,Amazon
"4 separate interviews, 2 phone interviews and 2 in person interviews with management. Phone interviews were required to ask initial screening questions not related to actual day to day activities. The later interviews focused on day to day operational project work.", What software development language are you most comfortable using for web development?   ,Accepted Offer,Neutral Experience,Difficult Interview,Amazon
," Please code how you would implement a rating system from a ""list"" (file) of reviews from Amazon Prime. What is the run time of your solution?   ",No Offer,Negative Experience,Average Interview,Amazon
"On campus, talked to 2 different interviewers for 45 minutes each", Ask me to implement a BFS for a social network   ,No Offer,Neutral Experience,Average Interview,Amazon
"It was a phone interview, applied online and got contacted. I had a 12 question online test and then a phone interview. I could barely hear the interviewer and kept asking him to repeat questions but getting silence at times. I suggest a good earpiece for technical phone interviews because I had one hand solving algorithmic problems while the other hand was holding on to the phone", write code to convert from BCD to binary   ,No Offer,Neutral Experience,Average Interview,Amazon
"Quick and easy just be yourself and answer honest. Don't overdress for the warehouse position, be ready to work hard! They will give a drug test and want to see your high school diploma. Background check will be performed by outside company", You will get multiple questions about work related situations   ,Accepted Offer,Positive Experience,Easy Interview,Amazon
, I didn't encounter any difficult or unexpected questions - and I was prepared for them!   ,No Offer,Negative Experience,Easy Interview,Amazon
"Had three phone interviews, followed by invitation to campus interview in Seattle. My interview loop was with three junior team members who were reading questions off their computer, and i felt like i am talking to a robot. I was not impressed by the quality of the team i was interviewing with, and did not see myself working for this company. The culture seems to be a bit weird.", Nothing out of the ordinary.   ,No Offer,Negative Experience,Average Interview,Amazon
, Why did you choose Amazon?   ,Declined Offer,Positive Experience,Average Interview,Amazon
The entire process from first contact to job offer is approximately 1 month's time. Very personal communications and open to a lot of questions. Waiting on the offer/nonoffer, Math Flow question was very surprising.   ,No Offer,Positive Experience,Average Interview,Amazon
a short introduction to job description and environment from the long hours to the end result of our daily progression showing how we made a change in our community throughout the city and state, if you had something to add to the process throughout the everyday routine how would you bring it up to management   ,Accepted Offer,Positive Experience,Average Interview,Amazon
"Your first phone screen can be with someone from another Amazon location (out of state.) If you pass the first screen and are inclined, you are then directed to a set of key/direct people that you will be reporting to. Another phone screen/or an in person interview. A set of questions covering their leadership principles. Try to prepare yourself for difficult questions. Tell me about a time...is a popular one.",,Accepted Offer,Neutral Experience,Difficult Interview,Amazon
Three phone interview plus one onsite presentation. Full day interview with 6-7 employees. Casual dress code for the interviewers with shorts and flip flops. Unreal! Interviewees need to wear business casual. Prepare and present AWS product and value to a group of employees at the end., Technical AWS product   ,Accepted Offer,Negative Experience,Difficult Interview,Amazon
"Two 45 minuet phone screenings back to back with different engineers. The first interviewer was a bit sharp, and straight to the point. After saying hello he just asked if I was ready and sent me a link to a collabedit so that I could code. He had a thick accent, and was somewhat hard to understand, really seemed like he didn't want to be there. Second interviewer was much more pleasant, asked a few questions regarding discrete mathematics before going into a coding problem on collabedit as well. Once finished he asked for an explanation of the time complexity and if I had any questions."," Given an array of person objects that contain a name and gender, sort the array such that all females are before males in the array.   ",No Offer,Neutral Experience,Average Interview,Amazon
Sent in a resume and letter for the SDE intern for the summer. Got an email to set up an interview then a following one with instructions on the basic interview process. Got two people over the phone and some algorithms and general questions," mostly algorithmic questions, and what do the different types of classes stand for (private, public, etc)   ",No Offer,Positive Experience,Difficult Interview,Amazon
Two days of interviews. First day was only a single round for about 45 minutes. Second day was about four rounds each 30 minutes. All but one interviewer were very informal. All were friendly and interactive with me as I solved the given problems. It is a standard programming interview process there is nothing crazy., Algorithm Question (Cannot specifically say)   ,Accepted Offer,Positive Experience,Difficult Interview,Amazon
"Online assessment on campus, just a few debug questions on any computer languages you would like to choose. Then several logic questions like GRE verbal. It is very easy for interns.", Debug and Logic   ,Accepted Offer,Positive Experience,Easy Interview,Amazon
, None. All questions were of average difficulty.   ,Accepted Offer,Positive Experience,Difficult Interview,Amazon
, Be prepared for the object oriented design question. And try to explain your idea clearly.   ,No Offer,Average Interview,,Amazon
"Two phone interviews, 45 mins each, back-to-back. Both engineers were very cool and professional. Questions focused on general data structures and 'Cracking the Coding Interview' style algorithm questions. I stumbled a bit with the first interview on both of his questions, but I stuck with it and took his clues appropriately. Overall great experience."," Due to NDA, I can't say the exact question, but heaps and hash-tables were involved (separate questions).   ",Accepted Offer,Positive Experience,Difficult Interview,Amazon
"After not hearing back from the company for a couple of weeks, I finally received an email telling me that I will be having a phone interview the next day. They allowed me to choose between three time slots. All together, it was a 2 hr technical interview with two different interviewers. They used an online coding website so they interview can view your work"," Nothing really difficult or unexpected, just know your stuff. As you are writing your programming, make sure to explain why you are doing what ever you are doing. If you are going off track, they will help.   ",No Offer,Positive Experience,Average Interview,Amazon
," None of the questions were difficult. The only 'difficult' question I had was ""How would you approach this problem with a better solution?""   ",No Offer,Difficult Interview,,Amazon
"I ask my friend to refer me. The recruiter contact me like 2 weeks later. They send me a link which is an online assessment. As you know, there are 3 problems and they are very easy to solve. I actually run my code using leetcode and pass all of the cases. However, I failed. My friend told me it's possibly because I don't write a good explanation beside my code.", Not hard.   ,No Offer,Negative Experience,Easy Interview,Amazon
"I applied online and I was contacted by a recruiter for an onsite interview. I went to Seattle the next week. It's more a day-long programming assignment than an interview. (9am-4pm). There were two 1-1 meetings, one 30 min and another 15 min. You can discuss with an engineer your project design and tell them about some implementation decisions you made. It's a far more comfortable environment than a writing on the whiteboard interview.", nothing in particular   ,Declined Offer,Positive Experience,Average Interview,Amazon
," Given your current solution to the problem given, how would you improve it if you had more time.   ",Accepted Offer,Neutral Experience,Average Interview,Amazon
I was contacted by a recruiter for a different role in January. I talked to the recruiter about the position and submitted my resume and we agreed that my skills would be a better fit for a different role. I had two phone interviews in February and was invited to an on-site in early March.,,No Offer,Positive Experience,Average Interview,Amazon
theres no real one on one interview once your background clears your hired and then you get an orientation date once you go in for that you watch videos for a few hours then you wait for your badge to get printed out then you get a tour of the warehouse and where you'll be working then you get the basic safety training and the next day you start work., none   ,Accepted Offer,Positive Experience,Easy Interview,Amazon
"I was contacted by a recruiter. There was an initial phone screen and three interviews following with a variety of employees. My interview process was the best part about working for Amazon, as all of my interviewers were kind and eager to share their own experiences with me.", Tell me about a time that you failed and what would you do differently if this situation occurred again in the future?   ,Accepted Offer,Negative Experience,Average Interview,Amazon
The interview process was easy. A phone interview followed up with in person. A personality test was done also. As long as you can pass the test that were given and have high school diploma than you are in., why do you want to work for Amazon?   ,Accepted Offer,Positive Experience,Easy Interview,Amazon
"First off you will need to everytime, apply online through amazon.jobs portal. After you get your app done to the worksite you wanted, which is a simple regular info process then about a 7 minutes questionare too see what kind of person you are. After that amazon offers you an interview for employement to your email so make sure you have an email on your app. You will be called by an amazon recruiter, who will do an over the phone interview which is pretty simple and they just go over the company and what you would be doing and if sounds like something you would want to do and after the phone interviw there really isnt much 1 on 1 anymore. After that you go to the interview, which is basicall a guarantee you got the job, where youll be in a seminar with a large seminar full of other interviews were they will go over what you would be doing at the warehouseand how things work and about the campany answerig questions and giving a tour through the facility. There is also a second interview about 1 week after that well not really an interview just a mouth swab drug test and other stuff you fill out like tax forms and all the regular stuff you even get a badge to get into the facility on your first day of work, which would be 3 weeks after these interviews usually. Theres not much to the interviews just put in your job application process and interview just be nice and honest and afyer the phone interview youve pretty much got yourself a job offer.", Can you stand on your feet for 10-12 hours and walk about 12 miles a day?   ,Accepted Offer,Positive Experience,Easy Interview,Amazon
," If you were to implement same day Amazon prime shipping in a brand new city, what metrics would you look at if you were deciding between two cities.   ",Accepted Offer,Positive Experience,Difficult Interview,Amazon
"One phone screen hen half day, 4 interviewers. One with HR, one technical interview to go over excel knowledge, an excel test, and dual interview with two business group leads.", Describe your experience with financial modeling.   ,Accepted Offer,Positive Experience,Average Interview,Amazon
Well planned and executed. Candidates are well informed., None. However I have most of my work ex in teradata and they were looking for Oracle experts. e.g. Indexes in Oracle   ,No Offer,Positive Experience,Average Interview,Amazon
"Two rounds, first round is phone interview, second round is onsite interview with two sections. Each section is 30 minutes long with current designers. They were all very nice to you and very helpful!", Design an object that provides good user experience   ,Accepted Offer,Positive Experience,Average Interview,Amazon
"phone interview friends refferl phone intervew for quality assurance engineer III position . 1. tell me about yourself 2. given a student name, score, age, sort them by score 3 design test case for microwave 4 other questions. no offer."," friends refferl phone intervew for quality assurance engineer III position . 1. tell me about yourself 2. given a student name, score, age, sort them by score 3 design test case for microwave 4 other questions. no offer.   ",No Offer,Positive Experience,Average Interview,Amazon
"I have got an email and scheduled phone interview. I have got a call in time. Interviewer asked me some general questions about my experience, then moved to test task and provide me one coding task. Test task was: how to test app, which check type of rectangle by length of its sides.",,No Offer,,,Amazon
they call you and ask you a few questions about your availability and experience. Then they schedule an interview in person. here they gather you with a large group of other candidates. When you are in there they tell you about the job and give you a schedule as long as you bring everything needed., are you able to work full-time?   ,Accepted Offer,Positive Experience,Easy Interview,Amazon
I had 3 over the phone interviews: 1 with the recruiter and 2 with different hiring managers/team members. Questions were intense from the start- all metric and example based with no breaks or normal conversation to get to know the interviewers. Each interviewer asked detailed questions and incorporated abstract thinking questions that are designed to gauge how one thinks., If you have a product that isn't selling what are 10+ examples of ways to promote it?   ,No Offer,Positive Experience,Difficult Interview,Amazon
"The recruiter passed me around to multiple hiring managers for multiple interviews. Each time the feedback was great and I was led to believe that I was moving on to an interview that was further along in the process. But, each manager I talked to thought I was applying for a different job and that they were my first interview. I tried to roll with it because i really wanted a role with Amazon, but finally ended up in an interview for a job I did not want and had no related experience for (that was really different from the job I had originally applied for). Naturally, it didn't go well, but the manager was extremely rude and condescending to me since my resume didn't reflect experience for this particular job. Overall, there was a complete disregard and disrespect for my time and I was put through the ringer. My friend that referred me was humiliated by the way I was treated."," They asked a lot of questions about their core values, but in a subtle way instead of outright asking.   ",No Offer,Negative Experience,Average Interview,Amazon
The interview process was pretty hard. It started with three phone screens over three months followed by an onsite interview that lasted all day. I literally walked out of my last interview with a headache due to all the questions asked., Several questions about scenarios using the leadership principles.   ,Accepted Offer,Positive Experience,Difficult Interview,Amazon
"The interviews were both conducted over the phone. The first interview was with a member of the team I was being interviewed for, and it was a very comfortable process. The second interview was with a manager on the team, who manages multiple people in the position I was interviewing for (I assume my potential manager). Both interviews asked a couple (2-3) personal questions associated with my resume, but there were also pricing questions associated with the job.", I did not expect multiple pricing questions in my first interview.   ,No Offer,Positive Experience,Average Interview,Amazon
, Interview process is intense. Questions are focused on situational and impact questions where you explain how you handled/would handle the situation or what the impact you made was for the example.   ,Accepted Offer,Positive Experience,Difficult Interview,Amazon
"Initially had submitted my resume/application for a position that I found online. Received email follow-up for an initial phone interview. After the first phone interview, was given a weekend to create a case study and email it in. Three separate phone interviews after the case study was reviewed. Was then flown out to Seattle for in-person interviews. Had 5 in-person interviews in a row over the course of 4 hours. Was followed up with at the end of the next week (10 days) after the in-person interviews. Amazon does not provide feedback on how you did in the interviews and I was just informed that they would not be extending an offer.", There was an NDA regarding the specifics of the questions asked.   ,No Offer,Positive Experience,Difficult Interview,Amazon
," ""Price product X.""   ",No Offer,Positive Experience,Average Interview,Amazon
"This was the easiest hiring process I have ever been apart of. Filled out a basic application online. At the end of the application, the program asked to set up an interview. the only dates available was a few weeks away. I filled out the app around early Feb and had to wait until March 5 to be interviewed. The interview itself was simple. Walked in, took a very easy test(match a picture to a description). 20 questions total. Just follow the instructions and you should be good. You would have to be trying in order to fail. Once the quiz was over I was directed to sit and watch a 35 minute video. When that was over, I was interviewed by one of the employees there. Though honestly, it wasn't really an interview. It was more off a fill out this form and you are hired sort of deal.", None of the questions were hard. Just asked if I was familiar with the safety rules associated with the kind of work I was applying for.   ,Accepted Offer,Positive Experience,Easy Interview,Amazon
Two rounds phone interview. Every round takes 45 minutes., Nothing difficult.   ,No Offer,Negative Experience,Easy Interview,Amazon
Applied through the university career services. Got a call from Amazon for a phone interview in the next week. There were 2 45-minutes back to back coding interviews. The interviewers were helpful and asked questions on the coding logic. One of the interviewer asked about the past projects.," There were 2 coding questions. First was to extend a class that contained the names and ratings of movies so as to get a list of similar movies and the movie name with the highest rating. Second question was pretty simple, given an array of integers, print first two numbers that sum upto 10.   ",No Offer,Positive Experience,Average Interview,Amazon
The interview is like a gauntlet. You will go through several phone screenings depending on the role that you are applying for. Once they agree that you will excel in the leadership principles then you will be invited to an onsite interview. The onsite can take from 5 to 7 hours. Be prepared., Describe a time where you did X ?   ,Accepted Offer,Neutral Experience,Difficult Interview,Amazon
They hire any and everybody because the work is so simple abd repeticitition so its very easy to get in. Just lost people don’t satay so they have to keep hiring and rehiring people all day everyday, Can you past this background check and drug test?   ,Accepted Offer,Positive Experience,Easy Interview,Amazon
Applied online through the college portal. A lot of people were called for an on campus interview. There were two 45 min rounds present one following the other. The first interviewer asked a lot of technical questions about operating systems and then some programming questions on binary trees. The second round was even harder with just one question which took almost the entire time to understand and comprehend. The interviewer also wasted a lot of time talking about unrelated stuff.," Zig Zag tree traversal, create something similar to your t9 dictionary.   ",No Offer,Difficult Interview,,Amazon
"Did on-campus recruiting, and had two 45-minute interviews in the career center (most people have two 45-minute phone interviews from what I understand). It was very standard; they asked me some expected behavioral questions, like what was your biggest challenge in a group project - followed by some technical questions.",,Accepted Offer,Average Interview,,Amazon
The process consisted of two phone interviews. Both the interviewers were pretty straightforward in their approach. They asked me for a good time to schedule the interview. First they talked to me about what the company and their role in it. Then they asked me to choose a coding language of my choice. I choose C++. Both phone calls required coding on a code sharing site. They gave me a problem and asked me to try to solve it by writing some code.,,No Offer,Positive Experience,Average Interview,Amazon
"Applied early December, got called in March for two back-to-back 45 min phone interviews. All technical, no behavioural questions. First interviewer was nice and tested on tree algorithms. Second interview asked a permutations question. He felt impatient and kept swaying me off in the wrong path.",,No Offer,Neutral Experience,Average Interview,Amazon
It's a pretty easy process. I filled out the application the next day I received a email for my first interview(it's a phone interview) 2 days later I received my call for the phone interview and was invited to the amazon warehouse for a in person interview, No difficult questions just asked a about my past experience and if I understood what the job entailed   ,Accepted Offer,Positive Experience,Easy Interview,Amazon
, Case Based: Describe why the average revenue of the individual product is going down while the average revenue of the entire product line is going up.   ,No Offer,Positive Experience,Average Interview,Amazon
"The Recruiter was really great to work with. She walked me through the process and kept me up to date on the status of things. I had to interview with five different Managers, back to back, over a 4+ hour time period. All of the interviews were in person except for one, which was a conference call with the HR Manager in Seattle. The questions were a bit more challenging than past interviews I've gone through. Each of the interviewers were pleasant except for one. Some of them asked the same question as the previous interviewer so be prepared to provide several different answers/examples to the same question.",,No Offer,Difficult Interview,,Amazon
"I received an email invitation to do an online coding screen. I did the screen which was very easy and they immediately invited me onsite; flown out to Seattle where I was put up in a nice hotel. I actually had a moment where I was afraid I made a mistake while sitting in the lobby waiting for my grilling, based on the amazing number of people there for orientation. I really did not like the idea of working for a company that treats their employees like a number, but I obviously forged on. I went in for my interviews and I was in over my head. I didn't really feel the questions were very fair, and I don't think my inability to answer some of them is indicative of my capabilities. I am probably a bit bitter about the whole thing, but I have since found out (from several former employees) that Amazon really overworks and burns out their employees. I unsurprisingly did not get an offer. In hindsight and after speaking with former Amazon employees, I think it was for the best.", Design an algorithm for finding possible meeting times between X number of people given each of those people's current schedules.   ,No Offer,Negative Experience,Difficult Interview,Amazon
"amazon come to our campus, and I applied for a summer intern. They arranged a on-campus interview the next day, problems are pretty simple, pretty basics of computer science, data structures, and whiteboard coding, they are really nice and friendly, problems are really easy and probably because it's just an intern.", generate fibonacci number   ,No Offer,Neutral Experience,Easy Interview,Amazon
"45 minute conversation where the person was late to the call. We talked a bit, and I got him talking. Actually didn't ask me any questions. Walked away expecting a follow on interview where they might dig further. Never heard from them again, until one of my buddies went to work up there. Either they found someone with more direct AWS experience than I had or they got re-organized in between interviews....", Describe a time when you solved an interesting problem?   ,No Offer,Negative Experience,,Amazon
"I was contacted by a recruiter about an open Cloud Support Engineer position at Amazon (technically, AWS in Herndon, VA). I was told from the outset that it would be an intense interview process, consisting of 4-6 phone interviews, followed by at least 2 in-person interviews. I made it past the first phone interview, answering most of the questions the interviewer asked. I wasn't thrilled with how it went, so was a bit surprised when the call came to schedule the second phone interview. That interview (I felt) went better than the first, but when I got the follow-up call, I was told that they decided to pursue a different candidate. Overall it was a very professional process and I have no complaints about it."," Not overly difficult, but the recruiter asked about managing WAN links, which is where my skills fell short of their requirements (I think).   ",No Offer,Positive Experience,Average Interview,Amazon
Hiring process was relatively faster than other big companies., Design Question   ,No Offer,,,Amazon
"It is group interview, no phone interview before.", not normal data structure and algo problem   ,No Offer,Neutral Experience,,Amazon
, Most difficult problem you've solved.   ,No Offer,,,Amazon
, Amazon graph question   ,No Offer,,,Amazon
Applied online--had a connection who was working at Amazon.," Technical Question. Given a string such as 3 + 2 / 5 - 3 * 4, calculate it.   ",No Offer,Negative Experience,Average Interview,Amazon
," Adler style ""One Question Interview"", Full Quant Case Interview   ",Accepted Offer,Positive Experience,Difficult Interview,Amazon
, Just algorithmic and data structure questions.   ,Declined Offer,Negative Experience,,Amazon
A month after my online application through my schools job board I received an email to set up phone interviews. I had to choose my preferred time blocks for each day. Two 45 minute sessions back to back over the phone., Basic coding and algorithms.   ,No Offer,Neutral Experience,Average Interview,Amazon
"Had two phone interviews, 15 minutes apart from each other. They both went well and the questions weren't that hard. They have you use collabedit.com or something like that to do pair programming.", Take two arrays of values and find the intersection between them. Most efficient way. Recursive functions.   ,No Offer,Average Interview,,Amazon
, Write an algorithm to tell if a given tree is a mirror   ,No Offer,,,Amazon
"Got invited for the personal interview after initial phone screen. Was interviewed by 6 interviewers. Most of the questions were of the nature 'Tell me about a time when you had to discipliine an employee, a time when you had to make a judgement call under time pressure' etc. I thought I did pretty well in the interview, but did not get an offer.",,No Offer,Negative Experience,Average Interview,Amazon
applied online got an email saying they need me to give an online assessment test. The questions were pretty straight forward regarding linked lists and nodes., the questions were straight forward. the toughest one of the three was regarding linked lists   ,No Offer,Positive Experience,Difficult Interview,Amazon
It is a day of tours and interviews. They give you tips and advice on how to prepare for the interview and take it very seriously. Make sure you go over their core values and come prepared with questions for them and make sure you know your resume very well. You will interview with multiple people and one person will conduct the case questions. It was basic math and not difficult at all," The most difficult question was the case question. If you do the online recorded first initial interview, the case question is similar to that   ",No Offer,Positive Experience,Average Interview,Amazon
"First exchanged emails with a recruiter who I later had a phone interview with. One week later I was invited I site for a face to face I interview which consisted of meeting with 4 people for 45 minutes. It also included a math flow problem and a case study which was provided to me prior and then discussed in two of the interviews. Math flow was very easy and the case study questions are common sense stuff. It was a little nerve racking meeting, but my interviewers were incredibly friendly and easy to talk to. I enjoyed hearing about their experience a within the company and they seemed genuinely interested in what I had to say. Overall it really was an enjoyable experience.", None were really unexpected as they were all your typical behavior based questions except with the added twist of being data and metrics driven. Example: tell me about a time you analyzed historical data to make a process better...etc.   ,Accepted Offer,Positive Experience,Difficult Interview,Amazon
"Applied online. Got a call for a phone interview a few days later. That went well and got the email. They flew me to South Carolina for a tour of the facility and 4, 30 minute interviews. Questions were pretty basic. Overall a great experience. Haven't heard back and it has been 3 weeks.", none   ,No Offer,Positive Experience,Average Interview,Amazon
Applied through my school and online. A few months after initially interviewing they reached out and invited me to interview at my school. Couple hours after my initial interview they invited me for an onsite interview. They informed me of their decision 3 days after the on site interview. Overall neutral experience.," They asked a lot of questions and followed up by asking how my contribution helped the company, specifically looking for x% cost reduced, sales increased, etc. They also asked a math flow question and a behavioral what-would-you-do scenario question.   ",No Offer,Neutral Experience,Average Interview,Amazon
"I had to go through two rounds of phone interview. Both of them were pretty much technical though the second one did consist of some resume related questions. I was asked to write code on collabedit. The questions were very basic related to linked lists, calculate the word with most frequency in a document.", The second round of interview I was asked to calculate the product of three highest numbers in an array. The interviewer kept further questioning me about giving a more generalized answer.   ,No Offer,Positive Experience,Average Interview,Amazon
, Nothing unexpected.   ,Accepted Offer,Positive Experience,Easy Interview,Amazon
"Reched out ot me for a postion after 2 phone interviews, never heard back from them, even after a follow up email.", no hard questions.   ,No Offer,,,Amazon
"I had a great experience interviewing at Amazon for a recruiting role. I had recieved a call from a sourcing recruiter who spoke with me a little about a technical recruiting position that had opened and she said that she would be interested in setting up a phone interview with the hiring manager. 1-2 days later we had a telephone interview set up and for the end of the week. The interview with the hiring manager was energizing and was like aconversation you would have liked to keep going if you could. Conversation about salemanship, customer service, and recruiting know how. Also went over the metrics of recruiting alittle. I felt good about the connection. The follwing week we shceduled an in person interview in Seattle with thte hiriung maanger and 3 others and I was provided with the address and other needed materials, job description etc. The interviews were all about 45 minutes and I met with 3 managers and one of the senior recruiters. They were great conversations and although I am usually really nervous but they made me feel comfortable. The take away from the interviews...recruiting at Amazon is challenge and opportunity but definitely worth it! Very professional and admirable interviews some took notes via laptops others jotted notes. I would be a pleasure to work with/for these managers.",,Accepted Offer,Positive Experience,Difficult Interview,Amazon
," All the questions seemed pretty straight forward. I didn't make it to the in person interview, which is where I suppose the hardball begins.   ",No Offer,,,Amazon
"College hire. I went for a group interview, team of 3 doing a project together.", How is your teamwork?   ,Declined Offer,,,Amazon
"The recruiter first sent an e-mail to arrange a time slot for the interview at about 6 days prior to the interview date. The interview was a back-to-back interview, each of which is 45 minutes. The interviewer all asked about technical questions, no personal question. The last 5 minutes of the interview were left for me to ask questions about the company.",,No Offer,Positive Experience,Average Interview,Amazon
, They asked about AWS and gave a use case about Big data.   ,Accepted Offer,Average Interview,,Amazon
"Apply online around mid Jan. Been notified for on campus interview at end of Jan. Scheduled interview at mid Feb. Two 45 mins back to back interviews with two Amazon employees. Pure technical interviews. Only talked a little bit about my project. As to interview questions, there are there questions in total. Focus on data structures and algorithms, as well as OO design. No hard questions though."," Find all black regions on image, flood algorithm. OO design a address book.   ",No Offer,Positive Experience,Average Interview,Amazon
"Two 45-minute phone interviews in a row. Both interviews were mostly technical, a few questions about my background. I was able to solve the technical questions in the first interview fairly quickly, but my interviewer seemed preoccupied. The second interview was tougher, and I could not get my algorithm to linear time, which frustrated my interviewer.", Find two integers in an unsorted array that produced a certain sum in linear time.   ,No Offer,Negative Experience,Difficult Interview,Amazon
"They build you up, only to discard you later. I had four phone interviews, but never about a particular role. They changed it up on my on the day of my on-site interview. The office and set up is great, but very crowded in the lobby. Be sure you pay attention to who is coming out of the elevator to get you, as they don't know what you look like and will call out names like in a restruant...""cheeseburger for frank?"". The interview room they put you in is small, hot and has very uncomfortable seats. Take the water they offer you, as that will be your only opportunity for hydration. Over the course of the day, everyone tells you how perfect you are for the role, how excited they are to have you there, and not to accept any other offers because they want you. Then the typical behavioral based interviews come, they pump you for your ideas, find out your experiences, then tell you that you don't have the industry experience they were looking for. My question to Amazon, you knew that when you called me four times for an interview, knew that when I was in the room with you, so what is the REAL reason you begged me to come in, only to say sorry you are not Amazon material?"," Think of a time when everyone reached consensus about an idea, but you didn't agree with it?   ",No Offer,Negative Experience,Average Interview,Amazon
," In the interview, I was asked about why do I think I am best suited for this job, couple of questions about my experience at my past employers , one question about a bullet point on my resume, one question regarding processes that I’ve improved in my career, my leadership style.   ",No Offer,Average Interview,,Amazon
, I was asked to count occurrences of an integer in a given sorted array. I had to optimize for time and take care of corner cases.   ,No Offer,,,Amazon
," Sometimes the interviewer would not talk, but it is to let you do all the talking.   ",Accepted Offer,,,Amazon
, k closest points to origin out of N on a map   ,No Offer,,,Amazon
Apply on line., Apply power function. Basic algorithms.   ,No Offer,Negative Experience,Average Interview,Amazon
, How to optimize the staffing and efficiency of a restaurant   ,Accepted Offer,,,Amazon
Through University recruiting,,No Offer,Negative Experience,Difficult Interview,Amazon
Ask the pattern design and algorithm problem, design a shopping cart   ,No Offer,,,Amazon
"Phone Interview. Then On-Site interview that lasted 4 hours, 4 different interviews"," Situational question regarding 2 employees that consistently arrive late for work. You discipline the employee under you, but the other employee is not disciplined by another manager. How do you handle this situation? Your employee keeps bothering and telling you that the other employee is not getting disciplined by their manager.   ",No Offer,Difficult Interview,,Amazon
, how do you make decision when necessary info is absent.   ,No Offer,,,Amazon
2 rounds of phone interview followed by hiring decision, Print a random line   ,No Offer,,,Amazon
"One online test , and One Phone screen",,No Offer,Neutral Experience,Average Interview,Amazon
Contacted by HR for two back to back phone interviews - both talked about resume for 10 minutes and then moved on to technical questions. Be prepared to tell them about a project that you are proud of! I was asked to write code online by following a link. Coding questions were fairly straightforward. Results about the interview are released in about two weeks., Many questions about software design in the second phone interview.   ,Accepted Offer,Positive Experience,Average Interview,Amazon
, What are the things you did not like about your last job.   ,No Offer,Positive Experience,Easy Interview,Amazon
, Walk me through the process you use to plan a complex project from start to finish.   ,No Offer,Positive Experience,Difficult Interview,Amazon
"Multiple phone screens and full day in house interview, unfortunately the phone screens that were scheduled were never on time. One time, I waited 30 minutes and ended up having to reschedule. It leaves a bad taste in your mouth when the people you are going to be working with and for can't even call a candidate on time.", What can we add to our website to make it better?   ,No Offer,Negative Experience,Average Interview,Amazon
"Applied online, got an interview call for telephonic interview. Basic algorithm and tree questions.", The interview questions weren't that difficult.   ,No Offer,Positive Experience,Average Interview,Amazon
"Standard process. Telephone interview followed by an in person interview. 6-7 back to back interviews including a 1 hour lunch meeting. Situational competency based questions covering different areas including technical knowledge, handling multiple priorities, leadership skills, thinking out of the box etc.", Walk me through a multiple priority situation   ,Accepted Offer,Difficult Interview,,Amazon
"Applied on online, then got a email from a recruiter ask me to do a online assessment."," Three algorithm questions within an hour and half. Pretty basis questions about linked list, array list, and a dynamic programming question about a two dimensional array.   ",No Offer,Average Interview,,Amazon
