interview,question,offer,target_variable,difficulty,source,length
"10 minute phone screening with recruiter, 30 minute in-person interview on campus with regional manager, second 30 minute interview with another regional manager over the phone. All 3 interviews were entirely behavioral questions.", Do you have experience with HTML coding?   ,No Offer,0,Average Interview,oracle,230
"The person who interviewed me was not on time. He was 10 min late to the interview and didn't even tell me a courtesy sorry. This is fine. And while he started asking questions, he stepped out for few mins and came back and this he did for 2 times. This is totally unprofessional and stopped my willingness to continue the Interview further. Also, he used a word during the interview. I told him that I didn't like to talk to him and then hung up the phone. I thought working with him is really going to be that ""badword"" as he mentioned. Oracle, please train these kind of people on how to conduct professional Interviews on the Big Data Opportunities. I also told hr that I was no more interested to this opportunity.", About Hadoop and Interviewer itself was not aware of Big Data.   ,No Offer,0,Easy Interview,oracle,719
2 week process after a Thanksgiving holiday pause the within 2 weeks later I got a email from Oracle HR to set up a phone interview. The interviewer was a little confused and the call didn't go well. He promised to get back to me with an answer but never heard from him although followed up with an email a week later., What methodologies you use for internet sales.   ,No Offer,0,Average Interview,oracle,318
"They lie about the job description and room for growth. They are very quick with the process, but they are prejudice and lose documents quickly. They also discuss candidates with people who aren't involved in the higher inflation process", Greatest accomplishment in 2015   ,Accepted Offer,0,Easy Interview,oracle,237
It was an all day affair. Met with almost all of the sales team plus the current business development team. It was extremely awkward because all of the other candidates were also there and we all ate lunch together. We were all competing for a single position., Q. Tell us about a time you've dealt with a difficult team member.   ,Accepted Offer,0,Average Interview,oracle,260
"Interview process was fine but no us hiring anymore. All hiring is now done only in India, Utah or Florida. If hiring in the US candidates can be waiting for upwards of a year for an offer", typical questions   ,Accepted Offer,0,Easy Interview,oracle,188
Recruiter reached out to me (and other recent grads). 1 phone call with the recruiter (who sold me a dream of being able to transfer LOBs and offices with ease) and 1 phone call with a hiring manager. Basic interview questions. I believe it was so lax just for the program for recent grads., Where do you see yourself in 5 years   ,Accepted Offer,0,Easy Interview,oracle,290
"Weeks after internal referral before talking to hiring manager. another 4 months before they ""re-open"" the headcount and want to discuss again. The week I decided to take other opportunity, I no less than ten job site spams. what a co-incident.", tell me how this would work and how you improve it.   ,No Offer,0,Average Interview,oracle,244
Horrible process. Was interviewed by the wrong individuals 3 times even after telling them I was in the wrong interview. N.M. Who schedules my interview out of Minnesota then interviewed me via web ex. I was told to keep it simple as they didn't expect me to know the product. Just wanted to understand my ability to demonstrate a conference call. What a joke and the interview process was ridiculous., Do you cold call   ,No Offer,0,Easy Interview,oracle,401
"It was a easy process, first through initial screening, then a interview at oracle and final interview by phone. The recruiter came to our school, offered me the interview, the interview took place in Austin and after that a week later i got an email saying their going to ask for a 3rd interview by phone and not even an hour later i get an decline email.", why us?   ,No Offer,0,,oracle,356
"Went in to the office for multiple interviews. Very very long process, would never hear anything back for weeks, even a month in between interviews. Then all of a sudden they had to see me again the very next day. Did not get much feedback, but clearly they are do not make decisions quickly!", Describe projects I have worked on   ,No Offer,0,Difficult Interview,oracle,292
"My résumé was first screened by a recruiter at a career fair and followed by an in-person interview at their north Austin location. Upon arrival we were sent to a large conference room then taken to interview with a manager and someone currently in the position. The first person I spoke with was very quiet and rude. Turned out I was his last interview and ""he was done"". He talked down to me and made me feel like my experience wasn't a good fit for the company. He even went so far as mentioning their low tolerance of poor work and how they fire people often. My second interview went better, but the first impression was already made.",,Declined Offer,0,Easy Interview,oracle,639
"It's a ridiculously long interview process where you are asked the exact same meaningless questions over and over again. Most people said they had to go in for an in-person interview, but I didn't. They literally hired me without seeing my face, which I found a little bit strange. Very informal process all things considered.", Why sales?   ,Accepted Offer,0,Easy Interview,oracle,326
"Typical phone screen with recruiter, 2 calls with team member and hiring manager, then on site with 3 directors and 1 vp. After all that I did not hear a thing. Very unprofessional.", No technical questions   ,No Offer,0,Average Interview,oracle,181
"Recruiter interview, hiring manager interview, and then area manager interview (3 rounds). All over the phone. Simply want to know what you are getting yourself into. That it's telesales and outbound prospecting. They want to make sure you are good at Sales, and can handle more technical sales concepts. It's an entry point into Software Sales.",,Accepted Offer,0,Easy Interview,oracle,345
"Met with recruiter who was very nice on campus and absolutely encouraged me to pursue the position. She told me that I was invited for a final interview at Austin's Oracle Office. The first interview was rough because the Manager was pretty dry and seemed disinterested throughout the thirty minutes. The second guy was much more enthusiastic and very easy to talk to. Overall, I thought it went great. We talked for awhile and he led me to believe that I would get the position. Three days later, however, I get a rejection from the two-faced recruiter, saying I didn't get the position. I asked for feedback and she has yet to respond three weeks later. Quite disappointed with my experience.", Why sales?   ,No Offer,0,Difficult Interview,oracle,694
Interview process was chaotic specially with scheduling and finding people willing to interview. Had to cencel the interview couple of times due to lack of personel. QUestions were not related to the subject of the interview,,Accepted Offer,0,Average Interview,oracle,224
"Interviewed with Natima Fisher and was complete disgusted by how incomplete this person was. We were interviewing in different time zones and Natima couldn't get the times correct for the life of her. I even put both our time zones on everything. To make matter worse once she screws up the time, so ignores your emails. End result is all normal and professional people will be turned off and away.", What time zone are you   ,Declined Offer,0,Easy Interview,oracle,398
"Just another company that discriminates against the unemployed. The telephone screening was pointless, mostly answering questions off a check list. I sent a follow-up email after the call and, of course, I received no response. As the only thing he was interested in was ""what have you worked on lately"" (which he asked multiple times to the point of being annoying), I'm pretty sure his only goal here was to disqualify me for being unemployed.", What have you worked on lately   ,No Offer,0,Average Interview,oracle,445
"I was reached out to initially by phone from a recruiter to schedule a phone interview with someone from corporate. After completing the phone interview, I was passed onto an in person interview, which occurred a month and a half later. After being interviewed in person, another month passed before being given an offer. Upon accepting the offer, 2 additional months passed before I was given a start date. In all, 6 months total.", Tell us about your experience involving point of sale and/or point of sale software.   ,Accepted Offer,0,Average Interview,oracle,431
"Applied through recruiters at my university. Had an interview with a recruiter on campus and then was asked back for a follow-up interview with a regional sales manager and director. Definitely used the aggressive approach. First interviewer was quick to turn my answers, didn't really let me finish responding to her questions, and actually started eating in my interview. Second interviewer pressed me on how I spend every hour of my day and why my resume didn't express one specific career goal.", Break up what you do in a typical day hour-by-hour.   ,Declined Offer,0,Difficult Interview,oracle,498
"Had several phone interview with hiring manager, his supervisor - Area VP - and 2 staff. The hiring manager was more concerned to explain if his supervisor doesn't like the answers he wouldn't be able to hire. The process was fast to have the interviews but then slowing down to get an answer. The excuse was need to have more people in the interview process. HR was never involved. At the end it wasn't clear what the hiring manager was looking since what he was telling about the meeting with his manager and what actually happened was completely different. His manager had a complete different view and expectation about this job.", What do you think about our products? How to position versus competition?   ,No Offer,0,Average Interview,oracle,633
Two telephone interviews. Sounded really interested and then there were long lags before the reached out again. Then six months later a practice leader called and wanted to meet in my city over lunch. Had a good meeting but he was rushed and wanted to get to the suburbs to visit family. Then i never heard again even though he said I was a perfect fit. Sent an email to check on progress and he said they were still working on firming up the position., Basically about my background and experience in dealing with large company deals and specific knowledge of my industry.   ,No Offer,0,Average Interview,oracle,452
"First a phone interview, then came in and met five different people over the course of an entire morning. Everyone was nice, but at the very end they revealed they aren't hiring, but trying ""to build a bank of people"" for when they do hire. I think that is disrespectful of peoples' time.", How do you perform quality control over your emails blasts.   ,No Offer,0,Average Interview,oracle,288
"Sloppy. First was the phone screen which was fine but then anything later was a guessing game. I had to do two presentations where I demonstrated a software product. But throughout the process the hiring manager could answer very little questions about benefits or anything else outside of the job itself. The waiting process for HR to do the background check also took a long time and you waited on pins and needles for an update. Very ""big machine"" that needs to focus more on the candidate than filling a job order."," What is your experience doing demonstrations? Have you worked with a CRM before? Honestly, little questions, more them telling me about how great they are.   ",Accepted Offer,0,Average Interview,oracle,518
"I came in for an interview on site after two phone screens. After meeting with a Sales Managers and having a normal and relaxed conversation, I was interviewed by the hiring manager and their superior. I was asked about acquisition strategy, implementation processes, and a bunch of other unrelated topics by the hiring manager. None of which related directly to an entry level salesperson fresh out of college."," Do you have any questions for us? (knock on the door) Oh wait, nevermind, there's someone coming in to use this conference room. It was nice meeting you.   ",No Offer,0,Difficult Interview,oracle,411
"Three interviews (2 phone, 1 in-person): The first two are easy questions with one HR person and a BDR based in Boston. The final interview was on-campus with a VP of sales. The VP was perhaps the most cynical person I've ever met. I walked out of that interview disillusioned about the company culture and the job.", Why do you want to work for Oracle?   ,No Offer,0,Average Interview,oracle,315
"Great interviews with the hiring team, position had been open for 5 months and things were fast-tracked to get a resource on-site and contributing. However, after negotiating and receiving an offer from the hiring manager, the Recruiter wanted me to provide my salary in my current position before sending out an Offer letter. I declined and replied my current position has different responsibilities and the work is not related (current job is post-sales, new position is pre-sales). The Recruiter insisted and added how would it look if Oracle hired someone making $80K and this had to go through 5 levels of review? I gave the recruiter a range on my current salary and told her I needed to prepare for my call at 2:30. Later I received an email from the same Recruiter that Oracle declined to give me an Offer.", What were the five qualities you want to see in a manager?   ,No Offer,0,Difficult Interview,oracle,814
"I had one phone interview, it was very relaxed and they asked the typical questions. It lasted about 10 minutes and then he asked if I had any questions and told me to send him my schedule for the next 2 weeks. I never heard back", Why are you interested in Oracle?   ,No Offer,0,Easy Interview,oracle,229
"Horrible interview process. Onboarding process took almost 3 months. There are around 4 or 5 interviews, if you are interviewing from long-distance anyway. Don't think you are going to negotiate with them on salary...no room for negotiation with this company. They need the money for their sales parties and new sail boats. You will likely get low-balled. Most employees agree the best way to get a good salary at Oracle is to quit and and come back after you've been paid fairly by a different employer. The best advice is to stay away from this company though."," Yadda yadda questions, and technical questions were based on a 2 hour exam, consisting of logic questions and IQ shape pattern questions, and some story problems (logic). Pretty easy.   ",Accepted Offer,0,Average Interview,oracle,562
One long day of one on one interviews. Had great impression. Met Ganesh and Rohit (the cofounders). They are fantastic story tellers. Met with Alice (Customer success) and Adina (PM) But after a few months realized the company culture and left. My mistake is that I should have asked to see the product and what is their intelligence in threat detection.," Assume you are monitoring a SFDC (Salesforce) account, how will you detect an insider threat ?   ",Accepted Offer,0,Easy Interview,oracle,354
I applied through online job board. Recruiter contacted me almost immediately. Manager contacted in 2 days and scheduled 4 hour phone interview. There were 3-4 interviewer and it was done through phone/skype. They were mostly interested in networking background and core programming skills. Mostly focused around the role. The did have a tendency to ask questions from your answers repeatedly. They were not interested much in your learning capacity or personality. The interview was only focused on Technical aspects.,,No Offer,0,Difficult Interview,oracle,518
Pretty easy interview but no response from them. Interview went very well. I did a followup but no reply. Quite a friendly interview process. The hiring manager made me feel very comfortable. But I was hoping to get a yes or no as a response.,,No Offer,0,Easy Interview,oracle,242
"The process was hurried and it appeared that the manager (hiring) was hurried and under some pressure from other needs. A follow-up was suggested and I accepted. However, the follow-up never materialized, though I attempted multiple follow-up communications. This is the second such opportunity I have had to interview with Oracle and though different the situation seemed to be the same, the hiring manager in the first opportunity came right out and said that this was not a problem he created, but was his to fix. I don't know if this is due to arrogance or stress existence in the organization but something is wrong."," Given a goal to displace an entrenched competitor, how would you position your solution.   ",No Offer,0,,oracle,621
"Submit my resume thru college career fair, after 1 month, got contacted by HR, selected a few team to interview with. After interviews, HR gave back the feedbacks from different teams. After priortized your selection of team, the first matched team will be your destination."," Background, projects, skills.   ",Accepted Offer,0,,oracle,274
"The interview process was annoying. First of all, I was in contact with a recruiter from Oracle, and she was very nice and even gave me feedback on how to do handle the questions in the next round. Then I was handed off to manager that interviewed me and did not even ask me any substantial questions. Then I was handed off to another manager who was very rude. She basically told me that I was not allowed to move around in the company and I was expected to stay in the position at my time at Oracle. Then I was informed that my recruiter would inform me about the next steps in the interview process. I emailed her, and contacted her through phone and she completely ignored me. You would think that a company so well known would at least act professional and say I am sorry you were not suited for the position and then call it a day.", Recruiter questions were: What is your definition of success? Why sales? How do you handle stress? How do you handle rejection?   ,No Offer,0,Average Interview,oracle,837
Some of the interviewers were chatting with somebody using their cell phones. They didn't respect people! I decided not to answer any questions when I found that. I don't want to work with these people!, some normal algorithm and design questions   ,No Offer,0,Average Interview,oracle,202
"They interview you over the phone, same ole' questions about your resume and how you might be a good fit for the role. If you're near-by next step would be face to face, or a video streaming skype session. Then you get the job.", Tell me why you would be good for this position?   ,Accepted Offer,0,Easy Interview,oracle,227
Phone screening is first step and then online assessment. Then you take a tour of facility and then a one-on-one interview with the manager. Then you meet with the team and see the area that they sit in. A description of the position and requirements of position are discussed in the interview and then the manager talked extensively about their accomplishments and financial standing., What type of manager do you like?   ,Accepted Offer,0,Average Interview,oracle,385
"Internal postings are more or less equivalent to any posting on the internet. Submit and little to no feedback. Listing of the hiring manager on the job posting has gone back and forth, for the time being it is listed, meaning you can email this person directly, which can sometimes help"," Similar to any that can be found on the internet, 'tell me a time when'   ",No Offer,0,Average Interview,oracle,287
The interview process was pretty simple but it has changed. Now they will do one or two phone interviews then bring you in for a skills test which will test either your functional or technical knowledge. This will be followed up by a middle manager and then the product manager if they are not the same person., Nothing out of the ordinary.   ,Accepted Offer,0,Easy Interview,oracle,310
"Contacted by HR for phone interview followed by phone interview with the hiring manager. Then I had a face 2 face interview onsite with hiring manager along with his peers, the team and 2 directors. Finally, another face 2 face interview with Sr. VP and 2 directors. Between the CEO and the Sr VP, there is one other manager left! I""m surprised their CEO didn't interview me *SMH*. For a role that only pays $73,000, they sure go through a lot of trouble. If you want just a job, then Manufacturing & Distribution Org of Oracle is the place to be. If you want to have a career, look else where at Oracle!!"," Nothing hard -why Oracle, where do you see your career going in the next 3-5 years.   ",Accepted Offer,0,Easy Interview,oracle,605
"I applied on LinkedIn, got an invite for a call within a week. The recruiter messaged me on LinkedIn and asked me to email her, I did. She asked me for a few time slots, and I provided her with them. She called me (7 minutes late) and explained the position to me. Then, she asked me to speak about myself and my experience. As I was about to tell her about myself, she cut me short by saying ""I'm sorry I didn't realize you graduated a year ago. We're looking for someone with 2 years experience."" I have 1 and 1/2 years of experience working full time and 1 and 1/2 continuous years of experience as an intern (working 30+ hours during the internship). She had my resume the whole time, contacted me on LinkedIn, and both places specified that I've graduated in 2013. How could she waste my time by not reading my profile or resume? Very disrespectful. I'm never applying to Oracle again.",,No Offer,0,,oracle,890
"Contact by HR, then forward my resume to a manager. Then a senior engineering interviewed me. Overall it is not match with me. The engineer asked some software related question. Questions are required to talk in detail. Explain signal spy, how to implement it, what is given and what is the part you do.", What is signal spy   ,No Offer,0,Difficult Interview,oracle,303
"The recruiter reached out to me and did a phone screen with me, which I thought went very well. The recruiter told me at the end of the call that I would definitely hear from the hiring manager by the end of the week for another phone interview. After never hearing back from the hiring manager, I reached out to the recruiter again, and she said that because Oracle's big annual conference was going on, there was a delay in getting back to me. She told me that I would definitely hear about the next round of interviews as soon as the conference was over. I never heard back from the recruiter or the hiring manager, and it's been almost two months. It's fine if the hiring manager decided to not proceed to the next stage of the interview process, but it would have been nice to have gotten that confirmation from the recruiter."," The questions were all pretty standard (i.e., What relevant background do you bring to the position? Why are you looking to switch positions?). It didn't get difficult since it was just the initial screen by the recruiter.   ",No Offer,0,Easy Interview,oracle,831
"Just had one HR round. The guy called me 20 minutes late. We start conversing and it goes well. In the end he asks me my base salary, then he asks me how many stocks i've been given and then he asks me what was the exact amount on my w2 in the last 2 years. When I said I can give that info if I get an offer and if it goes any further, he tells me he won't send my resume to the hiring manager until I provide him with that. Hence, I had to send him that info. He doesn't get back to me about the interview and when I email him to ask where it is at, he sends me a rejection. Very weird experience. Dint except this from oracle.", Need your w2 information. In an HR interview? like seriously?!   ,No Offer,0,Average Interview,oracle,629
"Telephone and 1st interview. They didn't provide any results over 1 month after interview. In addition, they didn't mention the salary rage. It seems they don't think about applicant's status and how to feel about the company.", They had flexible two positions and needed to choose suitable applicant as their position.   ,No Offer,0,Difficult Interview,oracle,226
"phone screens and then an onsite interview, met with the entire time in a series of 1 to 1 interviews that lasted about 5-6 hours. sometimes, they take you to lunch, i didn't get taken to lunch but i know of other candidates who did", why oracle   ,Accepted Offer,0,Average Interview,oracle,232
"2 different HR revieweres. Kept asking questions around the job but, never specifically how to do the job. It got old really fast. Never knew anything about how I would really even do the job by the end of the interview. It was a waste of time.",,Declined Offer,0,Difficult Interview,oracle,244
"Two phone interviews and one in-person interview. They occupied 4 weeks of my job-searching time telling me what a great candidate I was for the position and how my in-person interview went so well, blah blah and then they went MIA. No follow-up and I even tried to send an email to the two individuals that I interviewed with (that originally contacted me via email to interview for this position) and they said, ""oh, someone will be contacting you about the status..."" and then weeks later - NOTHING. This is one of the most unprofessional companies I've ever had the dissatisfaction of interviewing with. So my advice - if your interview goes extremely well and you receive promising feedback - don't stop looking for other jobs because according to other reviewers, this company's MO is to ""ghost"" you and not inform you whether you got the job or not.", The textbook usual garbage that they probably Googled because there was no unique questions pertaining to the actual company and how I would be a fit for the position. I really don't think these people know how to interview.   ,No Offer,0,Easy Interview,oracle,856
"Got a call from Oracle about a position I applied for in Mineola, NY at their Fatwire division. She set up a phone interview a couple of days later.",The questions where very low level JAVA language questions. Questions like what is the Super class of all classes in JAVA. How does the class loader work. What are the different drivers in JDBC (he did want to know about JAVA JDBC Connectors so I do not know what he was referring to). The questions where mostly like this. Things that I never heard anyone else ask before on a,No Offer,0,Difficult Interview,oracle,148
"Applied through email and get a phone interview for 30 minutes. Mainly about working experience and projects I have done, After that I was offered an onsite interview for one hour and a half. Three rounds. Basic programming skills and no coding. After one month and a half, got rejection.", They expected you to know a lot.   ,No Offer,0,Difficult Interview,oracle,288
"The interview process and lengthy and complicated, as if they don't want to have people hired. it is hard to say what are they looking for and who is the right candidate.", How fast do you want to advance in your career?   ,No Offer,0,Difficult Interview,oracle,170
"The process will take 2-3 months on average from initial communication with an HR rep to actually receiving a written offer. There are 2 boardroom interviews with anywhere from 5 - 8 managers, directors, and VPs grilling the candidate for 60 minutes. The second interview is a demo/presentation of an Oracle solution to the same group. It is intense and all applicants must be ready to answer any question from their personality, interests, job success and failure in the past, outlook, and life goals.", The series of questions around why I was only in the top 25% of my peers at a former company where I achieved 100% of my quota...why wasn't a number 1 and how could I have done better to get there.   ,Accepted Offer,0,Difficult Interview,oracle,502
"I received an email through my university department that Oracle was looking for hires, so I forwarded my resume. I had a phone interview with the recruiter, who was very negative about my demeanor and told me that I would have to improve when talking to the hiring managed. Briefly introduced myself to the recruiter at the career fair the following week. After the career fair, they invited everyone who had spoke to them to pizza that night. Following this, I received an invite for a phone interview with the hiring manager, which I did the following week. The phone interview lasted about 20 minutes. The manager seemed completely uninterested in my background and really just wanted to make sure that I knew what I was getting myself into. I got a call later that evening telling me I had got the job. Overall, the whole experience lasted less than 2 weeks."," Nothing was difficult, it was all straightforward situation/behavior questions.   ",Declined Offer,0,Easy Interview,oracle,863
"Several phone interviews with different people on the team. One was another software engineer, one was (I believe) a software lead, and one was the project manager. It seemed like each person had their own version of a technical ""quiz"", one was spoken-word and one was actually coding where you had to log in and send them code. What made it a negative experience was that it seemed like they took several days between each one, for no good reason, when each of them claimed they'd get back to you in a few days. After the first technical interview, I didn't hear from them for over 40 days. I had given up but then got another call, and yet another technical interview (with overlap from the first one), then another several days of waiting. Seemed VERY disorganized, like none of them actually talk to each other, and my name got lost in the shuffle."," Technical interviews were all over the board. Basic traversals of loops, pushing/popping data out of data structures, all the way to design and requirements stuff.   ",No Offer,0,Difficult Interview,oracle,852
"Oral and Written Questions - Phone screen, management interview, and an IQ test. All fairly simple questions. Helpful to go through basic IQ logic tests - probably some free ones online"," IQ Test Questions, simple logic exercises   ",Accepted Offer,0,Average Interview,oracle,185
"Applied through USC and Interviewed through Skype. Recruiter looked disappointed with my face and answers, she ended the interview in 5 minutes and lied to me saying she would send my info to the hiring manager. I emailed her after a month of not hearing back. Never received a reply back. Definitely left a bad impression.", What do you like to do in your freetime?   ,No Offer,0,Average Interview,oracle,323
"This was one of the easiest interviews. I was recruited from the Cal Poly, SLO career fair. I handed a recruiter my resume and they emailed me regarding an interest in my resume. From there, I underwent a series of three over-the-phone interviews. One, with a recruiter, and the other two with two different managers. All three interviews were extremely easy, with some of the most generic questions. I answered them honestly and confidently and was hired 2 weeks later.", Why do you want to work at Oracle?   ,Accepted Offer,0,Easy Interview,oracle,470
"I interviewed as part of the Class Of Program. Oracle was hiring for non-technical sales reps. The interview process consisted of an in person interview with a college recruiter, followed by 2 phone interviews with hiring managers.", Why do you want to be in sales?   ,Accepted Offer,0,Average Interview,oracle,231
"First 2 interviews were over the phone, first with a recruiter, then the hiring manager. Afterwards, I was invited for face to face interviews with the hiring manager, people that would be my coworkers, and the hiring manager's manager. The process took over 3 months to complete all interviews.", Why would I make a good fit at the company.   ,Accepted Offer,0,Average Interview,oracle,295
Couple of phone screen followed by a day long in person interview with various members of the team at HQ. The two phone screens were progressive mainly to wed out false positives. The in person interview covered CS concepts and domain specific knowledge broadly. Salary offered wasn't attractive and refused to negotiate., How will you find the mid point of a linked list?   ,Declined Offer,0,Average Interview,oracle,321
"Typical process. One round with Recruiter, One round with hiring manager and an on-site interview with 4-5 peer of the hiring manager. The process was quick. Scheduling was done quick . Location was easy to get to. The team was quick to respond. Be prepare to just listen and not ask any question. Some questions were totally irrelevant .", There was no difficult question. Most of the managers did not seem very motivated. They switched over from consulting and are happy with steady check.   ,Declined Offer,0,Average Interview,oracle,338
Got cold called by a recruiter who set up a Phone interview with a hiring manager in the East Coast. Interview with Hiring Manager was more about her blowing her trumpet than focusing on the job and my background. I have not heard back and I am not definitely not interested in working with someone like her., All questions pertaining to background and current work experience.   ,No Offer,0,Average Interview,oracle,308
"I was recruited for three positions with this company; one in Burlington, MA, one in NYC,and one is still in play. For the two positions for which I was interviewed, I endured over 5 hours of telephone and in person interviews as well as a role-play presentation.", I was asked to provide minute technical details of an opportunity that I worked on very early in my career.   ,No Offer,0,Difficult Interview,oracle,263
"The initial communication was through the phone. Phone conversation went really well, the recruiter was very specific relating to the skills and qualifications needed for the job. There was only one face to face interview with three interviewees (not a panel interview but rather moving from one office to the next). The interview went really well but the downside of these kinds of interviews is that the questions are the same and does not provide an overview of the job itself. It would have provided for a much more holistic interview if it was a panel interview with all three interviewees. Although, I did not get the offer, I would have appreciated a phone call or a feedback as this would assist me with future applications. Instead I had to email a follow-up with a simple reply of ""An offer has been given to someone else""."," I was totally taken aback with the question of ""Do you have kids?""   ",No Offer,0,Easy Interview,oracle,833
I was part of the first Class Of Program. My interview consisted of one Skype interview. The process now has changed. The candidate needs to attend 3-4 different interviews/screenings.," The interview process was over Skype. Since I was a par of the first Class Of program, Oracle needed to hire 450 candidates in 2 months. The interview was to go over my experience and my interest with Oracle.   ",Accepted Offer,0,Easy Interview,oracle,184
"one phone interview, employee cared more to talk about himself, lost phone service for a few seconds and employee got angry", what makes you a good fit at oracle? what is your background? why did you choose your background?   ,No Offer,0,Average Interview,oracle,123
three plus hours telephonic interview followed by face 2 face and group panel interview. After that face 2 face interview with Sr. management and VP. Finally HR meeting followed by offer in 15 days., Java j2ee questions.   ,Accepted Offer,0,Difficult Interview,oracle,198
3 stage interview process. first you speak with a recruiter. Then you speak with a Regional Manager. During that interview you are asked behavior questions. Then you meet with a director., What was one time you had to overcome adversity at work?   ,Accepted Offer,0,Average Interview,oracle,187
"My first contact was with someone from recruiting to discuss the position and salary. My second and third interviews were conducted via phone and were 100% technical. Some of the questions they asked were ridiculous and I don't think they would have known the answers if they didn't have the documentation right in front of them. They both also didn't seem to really like their jobs, citing 100% travel as the reason. After those three calls, there was no additional communication. Seems a big rude to take up 3 hours of my time and not have to manners to communicate that I would not be receiving an offer.", List all of the initialization parameters necessary for a DataGuard configuration.   ,No Offer,0,Difficult Interview,oracle,607
"Met with the regional director and we discussed my outlook on sales, whether I was a solution seller. I had a follow up with the regional VP at a steakhouse and we discussed the role, it was much less about my background and more about the job.", what do you like about Oracle   ,Accepted Offer,0,Easy Interview,oracle,244
"Interviewed with recruiter, filled out a questionnaire, interviewed with the hiring manager on the phone, interviewed with 3 different people on the phone, traveled to Chicago for an interview where I had 3 1-on-1 interviews and gave a presentation.",,No Offer,0,Average Interview,oracle,249
Absolutely ridiculous....had to do like 5-6 interviews on two separate occasions for two different roles. Both times said great interview and indicated I would be getting an offer but did not in the end. The recruiter was either over worked or didn't care and gave me wrong info to present on to panel., Why do you think you can do thins job better than everyone else?   ,No Offer,0,Average Interview,oracle,302
"Endless rounds of interviews with no defined process or timeline. I applied for one position and was interviewed for a different position which was not posted that the hiring manager felt suited me better. That would have been fine, except this ""new"" position did not have a requisition, description, or any clear definition at all. There were at least 3 long phone interviews, an in-person interview (2 hour drive), followed by another in-person interview for which I had to travel 2 x 4 hour flights and stay overnight. After that, they requested additional information and work samples, and were still unsure what the next steps were. After 3 months of this nonsense I took a job elsewhere and withdrew my application.",,No Offer,0,Average Interview,oracle,721
"Part of an acquisition, so they never really interviewed. No one ever reviewed resumes of the new employees; they took the word of senior management. Most employees were misrepresented. Existing employees with less experience and expertise talked down to the new employees like they were charity cases when their skills far surpassed the existing employees.", No questions were ever asked.   ,Declined Offer,0,Average Interview,oracle,357
All day. Lots of technical questions (heavy on SystemVerilog). Lots of questions regarding resume. Never met with anyone from HR. Every hour was a different topic and with a different person or persons. It wasn't a particularly enjoyable experience and I think I got an offer mostly because of an employee referral.," In SystemVerilog: Write the code for stepping through a circular array. Also, how would you initialize a multi-dimensional array?   ",Accepted Offer,0,Average Interview,oracle,315
Brief. Never met with hiring manager. Went for final interview at Oracle headquarters and Manager was not present. Other phone interviews were very brief and focused on my skill set and past experiences., Why did you leave your previous employer?   ,Accepted Offer,0,Easy Interview,oracle,203
It is very technical and intense. They asked a lot of relational database related questions in detail. It looks like they're looking for specific skill set. The interview has gone to coding level. The person sounded kind of rude., Database related questions   ,No Offer,0,Difficult Interview,oracle,229
"It began with a phone interview with them feeling me out and me doing the same. Then a 1 on 1 Interview with another consultant a few day later giving me more detail about the position, Last a Panel interview with the Management staff grilling me with questions.",,Declined Offer,0,Easy Interview,oracle,262
"3 rounds of phone interviews, one on site interview with management, hiring manager and team member, at the end of the interview, the hiring manager proactively promised to contact me the following week, I was not contacted, even after I follow up with a thank you email and inquired about the outcome.", what non-technical activity do you do after work   ,No Offer,0,Average Interview,oracle,302
"Time consuming, long and predictable. What happened to the good old days where you applied for the job and based on your job skills and desire to do a great job for a company get overruled by how well you can BS people?", What can you offer our company?   ,Accepted Offer,0,Average Interview,oracle,219
"I came in through a job fair. Afterwards, I was selected and interviewed with 5 different managers. I don't understand this now as there are a lot of completely under qualified people working in this position.", What is an I.P. address.   ,Accepted Offer,0,Average Interview,oracle,209
"3 rounds, 2 in person. Relevant but generic questionnaire types were the prevailing approach used during these cycles. Better managers ask more specific questions related to the job role sought; this is an indicator of the interest level or quality of mgmt you will see."," job history, compensation history   ",Accepted Offer,0,Average Interview,oracle,270
"This is very extensive. You may start through a referral or through an Open House, then if you're good at presentation of yourself and your background, you'll get hired. Several interviews, a panel interview and a presentation to a group of VPs and Managers. It can be very intimidating and they know it but just be confident even if you're full of it.", Why did you choose Oracle?   ,Accepted Offer,0,Difficult Interview,oracle,352
short and sweet and to the point and a very long time ago but a b c and d were questions I was asked and then I got the job and it was really great, how strong is your coding   ,Accepted Offer,0,Difficult Interview,oracle,147
"Interview was not carried out by any of the people on the list sent. The questions had nothing to do with the huge amount of information given to me to prepare. I was asked to stay til 7.30 pm, a full hour & a half later than scheduled.", Why do you want to work for us?   ,Declined Offer,0,Easy Interview,oracle,236
The hiring process was extremely long and several people will interview you. Expect to be very repetitive because they will all ask the same questions. Technical questions were in line with the work requirements but the process should be consolidated to one senior person and not have the entire senior staff to interview you., All the questions were in line with the work being applied. Have not found any unexpected questions or difficult ones as I was applying for a job that I already knew the technical aspects of it.   ,Accepted Offer,0,Average Interview,oracle,326
Corporate Recruiter arranged it and they had me fly into town. When i met with them they were dismissive and arrogant. Ultimately this is a waste of time. After they told me what the position entails we both agreed that it was not something i was interested in. The description in the interview was something completely different from what i had been prepared for by the recruiter., Are you prepared to make 60-90 cold calls a day?   ,No Offer,0,Average Interview,oracle,381
