question,offer,interview,experience,difficulty,source
 Talk about one project of yours that is data driven.   ,No Offer,"It surprised me that in the 15 min short talk with hr, almost everything could be covered in a onsite interview was asked and mentioned. It included personal background, coding, statistics and case. So always be prepared to everything whenever the stage is.",Neutral Experience,Average Interview,Facebook
 Algorithm problem. Not difficult.   ,No Offer,,Neutral Experience,Average Interview,Facebook
 why facebook   ,No Offer,"initial phone interview was very easy and casual. She mainly asked about my experience and why I wanted to work at facebook. since it was going well, she began planning my second interview about 10 minutes in",Positive Experience,Easy Interview,Facebook
,No Offer,,Neutral Experience,Easy Interview,Facebook
 find closest value in BST   ,No Offer,,Positive Experience,Easy Interview,Facebook
 Given 2 strings find the common letters in both strings?   ,No Offer,I was contacted initially by a school recruiter requesting me to apply. After I applied it took about 3 weeks for the video interview to take place. A few questions about my resume were asked then I did a coding problem on code pad while explaining my thought process to the interviewer.,Positive Experience,Easy Interview,Facebook
 why facebook   ,No Offer,,Negative Experience,Difficult Interview,Facebook
" If you can only ask one survey question, what question would you ask to evaluate how people feel about xx product's entire experience?   ",Accepted Offer,,Positive Experience,Difficult Interview,Facebook
 One SQL question is to calculate the CTR.   ,Declined Offer,,Positive Experience,Average Interview,Facebook
" Find out where a bug was introduced in a series of code versions sorted by time, given that you have a function that tests if the version of code in buggy or not.   ",No Offer,"I was asked 1 coding question in round 1 which I managed to clear. For the second round I was asked two coding questions, I could complete first one, couldn't complete the second one.",Positive Experience,Difficult Interview,Facebook
 What team would you like to join on Facebook?   ,Accepted Offer,"There were 2 rounds of interviews. The first assessed product intuition and the second assessed technical skills. Make sure you have a basic understanding of statistics, SQL, and Facebook's teams and products.",Positive Experience,Average Interview,Facebook
 General python and sql   ,No Offer,,Neutral Experience,Average Interview,Facebook
 string manipulation   ,No Offer,the interview process consisted of a coding challenge. it took around 3 months. referred by employee. coding questions basic algorithmic problems (3 questions in 1.5 hours). pretty reasonable but review before hand so don't get stuck on syntax,Neutral Experience,Average Interview,Facebook
,Accepted Offer,"3 weeks after I submitted the resume, the recruiter contacted me. Since it was end of the year, I had an initial 30-min phone screening with the recruiter two weeks later. The recruiter then scheduled a back-to-back 2 interviews 2 weeks later. I received the offer the day after the interview.",Positive Experience,Average Interview,Facebook
 Tell me about yourself   ,No Offer,,Positive Experience,Average Interview,Facebook
 Level of severity is in line with what folks have mentioned above. But they have new question set. Funny that they kept asking the same questions for more than a year before changing them out.   ,No Offer,,Negative Experience,Average Interview,Facebook
,No Offer,,Positive Experience,Difficult Interview,Facebook
 general questions about my experience and portfolio   ,No Offer,"Was interviewed by a hiring manager who is new in this role. First time the zoom video interview is scheduled, I waited 30 minutes and no one showed up. Then when my recruiter finally called Facebook, they said hiring manager couldn't make it and her assistant just forgot to notify me. The rescheduled interview was very smooth as I answered every question perfectly and talked about my vast experience in the field. The interviewer nodded to everything in agreement and even asked me to explain some design concepts to her. Then two days later I was rejected with the following reason: ""your experience is the exact match, but we will go different direction and consider internal candidates"". Question to Facebook: if you were planning to hire an internal candidate, why did you waste my time TWICE? This once again proves that Facebook, like many other top companies, have incompetent clueless managers at the top who treat people like garbage. What a shame!",Negative Experience,Average Interview,Facebook
 What metric would you use to measure the effectiveness of instagram shopping ?   ,No Offer,"There is an initial phone screen with 5 basic SQL questions and then 2 following interviews that are tech, case analysis, and probability/stat based. They give you a general outline to look over, but look for general facebook analytics sql prep questions to help. Do as many as you can and focus on joins.",Positive Experience,Difficult Interview,Facebook
 Two Facebook tag leetcode questions   ,Declined Offer,"Applied online by referral, contacted by recruiter and set up a phone interview after 3 - 4 weeks. Two easy questions from leetcode, declined offer due to receive offer from other companies after phone screen.",Neutral Experience,Easy Interview,Facebook
 Tell me about your past work and critique an app   ,No Offer,"30 minutes phone screening, past work (portfolio) walk through and an app critique. Interviews were scheduled back to back. The hard part was waiting. It took a month for FB to finalize their decision after my final interview. This was ridiculous because they usually review candidates very quickly. After a month I was told that they placed me as a second choice and decided to give the offer to another candidate. If the candidate rejects the offer and they would give it to me. This is extremely unfair as it wasted my whole month as they kept placing me as a back-up.",Negative Experience,Average Interview,Facebook
,No Offer,"Two separate CoderPad phone screens, both with foreign nationals, who copy-and-pasted template questions within 45 second of beginning the phone call, then munched on chips while I talked through the problem and coded up solutions. Recruiter ghosted.",Negative Experience,Average Interview,Facebook
 One of the questions was about enum   ,No Offer,,Negative Experience,Difficult Interview,Facebook
,No Offer,"A Facebook recruiter contacted me, then we had a phone interview and decided to go to the next step. He asked me to give him some date/time for a 1 hour whiteboarding on site. Then he ghosted me.",Negative Experience,Average Interview,Facebook
 What tasks do you put off while at work?   ,No Offer,"Applied through the Facebook website and was contacted via email by a recruiter to set up a call. 30 minute phone screen with recruiter to discuss background/experience and the position/benefits, etc. Referred for 3 back-to-back video interviews with the team a week later (this is the only step of the process, no in-person). Interviewers were mostly kind and helpful. Waited 3 weeks to hear back. Recruiter emailed to say they were pursuing other candidates and that they were not able to provide any feedback, but one of the interviewers mentioned that I would be receiving feedback (doesn't really matter to me, just inconsistent). Overall I had a positive experience with the recruiter, but in the rejection letter, they listed the wrong position (not the one I interviewed for).",Neutral Experience,,Facebook
,No Offer,The recruiter scheduled the phone interview two weeks in advance. On the day of the interview she stands me up without any explanation. I sent a follow up email and never heard back. This is a very disappointing representation of the company,Negative Experience,Difficult Interview,Facebook
 Why recruitment?   ,Accepted Offer,Interview process was fine. First two interviews were over the phone and the last one was via Skype with three different people. The questions were not too hard. There were a lot of situational questions.,Positive Experience,Average Interview,Facebook
,Accepted Offer,,Positive Experience,Average Interview,Facebook
 alternate between two linked lists   ,Declined Offer,easy going. nice people. the interviewer made me feel at ease. recuiters were very responsive. I always got timely emails. I love seattle. I went to the campus to the interviews. the hiring process wasn't difficult. An offer was sent.,Neutral Experience,Average Interview,Facebook
 NDA   ,No Offer,,Negative Experience,Average Interview,Facebook
 A medium competency leetcode programming question.   ,No Offer,"The recruitment process was quick. I was approached by a college recruiter and I had to fill out a basic questionnaire regarding my background. After the initial email conversation, the next step was to schedule a phone interview. The phone interview lasted for an hour.",Neutral Experience,Average Interview,Facebook
" How would you get the product of all items in the array excluding the item at the current index, without using division.   ",No Offer,Recruiter reached out and had an initial call explaining the interview process and next steps. Was sent a lot of helpful interview prep material and a specific hackerrank link with practice problems. The next step was a technical phone screen with an engineer.,Neutral Experience,Difficult Interview,Facebook
 String Manipulation questions   ,No Offer,I had a telephonic interview for about one hour after completing the HR round. Hr Round they asked simple Python and SQL questions. Telephonic interviewer not so interested in conversing just showed questions and asked to code.,Neutral Experience,Average Interview,Facebook
" Q: If you were the product leader responsible for search globally on our properties, how would you create a 5 year vision and strategy   ",No Offer,"Very thorough and rigorous process overall - recruiters are very helpful in telling you about the process and what to expect. Interviewers will do a case study style interview with problems related to product sense, execution and leadership & drive (behavioral)",Positive Experience,Difficult Interview,Facebook
 What is the difference between left joing and right join   ,No Offer,,Positive Experience,Easy Interview,Facebook
 LC easy question regarding arrays   ,No Offer,"OA then phone interview. Phone interview starts with behavioral then one LC easy and one LC medium. Finally, they give you time to ask them any questions. All in 40-45 mins.",Positive Experience,Difficult Interview,Facebook
,No Offer,"While the overall interview process was great, the ""product design"" part of the interview was broken. There are no clear guidelines, or reference points on how to answer this question. Note that this is not ""system design"" for which there are a lot of resources on how to prepare. This is more around API design. Good API design usually follows deep thinking around requirements, UX, and system design. However, I was specifically asked to not focus too much on any of these aspects, and instead just come up with the API details, which to me felt un-natural way of thinking.",Negative Experience,Average Interview,Facebook
,No Offer,,Negative Experience,Difficult Interview,Facebook
" 5 rounds of interview, preparing from leetcode questions helped a lot. two questions per round, speed matters a lot   ",Accepted Offer,,Positive Experience,Difficult Interview,Facebook
 What problem did you solve with this project?   ,No Offer,,Negative Experience,Difficult Interview,Facebook
 general data structure/algorithm question. Interviews were pretty much like other big companies in tech. The process was very standard.   ,No Offer,"3 phone interviews, each for about 45 minutes. First did two interviews and then they asked for the third round. Recruiters very pretty responsive. The process was very standard.",Positive Experience,,Facebook
 Research Experience   ,No Offer,Two rounds of interview. Code and Research. The code is about a block detection algorithm. Research is about research experience. The interviewers are both nice. The recruiter is also patient and answered most of my questions.,Positive Experience,Average Interview,Facebook
 What feature would you add to an existing Facebook product?   ,Accepted Offer,,Positive Experience,Easy Interview,Facebook
 How would you build cross-functional relationships?   ,No Offer,"This was the single worst hiring process I've ever been through. It took 4 months to get through the process (for a low level job), the recruiters were exceptionally poor communicators, and I had multiple interviews canceled at the last minute. They realize that they're a desirable place to work and can get away with treating candidates like crap.",Negative Experience,Average Interview,Facebook
" Binary trees - parsing through and storing data in a hash table, and then printing it out based on certain requirements.   ",No Offer,"Over the phone, 45 minute technical interview. I struggled to understand my interviewer over the phone because their accent was pretty thick. The questions weren't bad, I just didn't know what I was doing.",Neutral Experience,Average Interview,Facebook
 Behavior questions: tell a case that you failed/challenged/etc.   ,Declined Offer,,Negative Experience,Average Interview,Facebook
 array question   ,No Offer,,Neutral Experience,Average Interview,Facebook
 how to you collaborate with your team   ,Declined Offer,,Positive Experience,Average Interview,Facebook
,No Offer,"Recruiter reached out on LinkedIn. Cleared the phone round. Onsite had 2 coding and 2 system design and a behavioral round. Most of the questions were medium/easy leetcode. Except for one interviewer, all the other interviewers were having less than 2 years of experience. I got a reject email from the recruiter after 4 days after the onsite. No feedback or anything. They lacked the courtesy to call me and inform me. Quite unprofessional on the recruiter's part.",Negative Experience,Easy Interview,Facebook
"I was prepared for STAR questions since it's a big company and that's sort of the norm, but I was caught off guard by their hypothetical decision tree questions that do not have right or wrong answers. Prepare for that style of question. Prepare to remember in specific detail why you chose a blue button over the green button five years ago and all the decisions that led you to",No Offer,,Positive Experience,Average Interview,Facebook
,Declined Offer,"Was pretty smooth. Not too bad, but I am pretty sure Data Scientist at Facebook is more or less an analyst role. I could have done better, but oh well. Initial phone screen -> final round with multiple people.",Positive Experience,Easy Interview,Facebook
 easy alg. question for phone screen   ,No Offer,,Positive Experience,Average Interview,Facebook
,Declined Offer,I was contacted by a recruiter. I found the recruiter very very helpful. They provide one with a lot of information about what to expect and how to answer questions. Won't go into that here as you can check out various resources online for that information .,Positive Experience,Average Interview,Facebook
 A few easy to medium SQL questions. Some basic data processing and analysis coding questions. A simple math question and some Core Machine Learning conceptual questions.   ,No Offer,,Positive Experience,,Facebook
,No Offer,,Positive Experience,Easy Interview,Facebook
" Mostly product analysis cases with some light data processing, nothing data science related   ",No Offer,,Negative Experience,Easy Interview,Facebook
" Binary Tree, Doubly Linked List   ",No Offer,,Neutral Experience,Difficult Interview,Facebook
,No Offer,,Neutral Experience,Easy Interview,Facebook
 NA   ,Accepted Offer,"I applied online and the interview process is not hard, because it's a start up online company so they do not require a lot of experience. They really care about what kind of people they want.",Positive Experience,Easy Interview,Facebook
 Implement Lru cache   ,No Offer,On campus Interview which lasted only 30 minutes. Was recommended by a former intern so the process was expedited. Small conversation about resume to being and left 5 minutes at end to ask questions.,Neutral Experience,Average Interview,Facebook
 what was the biggest failing of this project?   ,No Offer,"Phone screening then 2 part video call- app critique and presentation. The interviewer for the presentation did not give much feedback and seemed disinterested the whole time. App critique was more conversational and fluid, while the presentation part was just me talking for 40 minutes and the interviewer asking generic same questions at the end.",Neutral Experience,Difficult Interview,Facebook
 Coding data structure in python   ,No Offer,"One phone interview, one video interview, 3 video interviews (2 coding and 1 culture fit). The coding interview was harder than expected for a data science position. It was very algorithm heavy like a CS leetcode medium question I would say.",Positive Experience,Difficult Interview,Facebook
,Accepted Offer,,Positive Experience,Average Interview,Facebook
,No Offer,,Positive Experience,Average Interview,Facebook
 ask your previous experience; SQL question and other information.   ,No Offer,The first round interview is an HR Phone Interview. It's about 15min. I got the interview via employee referral. I got the interview notice very quickly after being referred.,Neutral Experience,Average Interview,Facebook
 defining a system function involving intervals   ,No Offer,,Positive Experience,Average Interview,Facebook
,No Offer,"First, had a recruiter phone screen. Then spoke with the hiring manager on the phone. Finally, had a series of three interviews on-site in Menlo Park and via video conference with three directors in various roles.",Negative Experience,Easy Interview,Facebook
 Design a product to help people find new health care provider.   ,No Offer,"Recruiter contacted me, setup 2 phone screens for product sense and execution. I thought it went very well. After 4 working days, I heard they are not pursuing with me.",Positive Experience,Easy Interview,Facebook
 How would you troubleshoot a slow web server?   ,No Offer,Phone screen was easy enough. Made it onsite after many weeks of back and forth (process was unreasonably long). The onsite interview was with all SiteOps folks and not a single network engineering question. Then took almost 3 weeks to get a rejection. Terrible experience.,Negative Experience,Average Interview,Facebook
 Q: General questions on my past experience and willingness to join FB.   ,No Offer,"One of the recruiter reached out to me and offer a position that has limited relevancy to my current work. During the call, I raised this issue and the recruiter said it was fine since Facebook values more on problem solving capabilities instead of directly-related work experience. After the call, I told the recruiter that I would like to apply for the postion based on the context he gave over the call. But never heard back from the recruiter again. Overall pretty weird experience but the email the recruiter used to send out info of the postion was from Facebook, so it was not a scam or anything.",Negative Experience,,Facebook
,No Offer,"it's a phone screen. Before the phone screen, HR emailed me with 5 questions to answer. After I go back to HR with the answers, HR gave me this phone screen. HR is very nice and ask me some questions from my resume.",Neutral Experience,Average Interview,Facebook
 find the palindrome string in a list   ,No Offer,not very good. An Asian interviewer was late and also failed me in purpose. There were fifteen minutes left and he did not give me another question but just chatting.,Negative Experience,Average Interview,Facebook
 Print number in a binary tree from left to right.   ,No Offer,"A recruiter sent me a message, we discussed my research background. The recruiter set up two technical interviews. Both on a same day, with two persons. Both interviews had only algorithm questions related to arrays and binary trees.",Neutral Experience,Average Interview,Facebook
 Trees and simple algorithms; runtime.   ,No Offer,There was only 2 interviews. The first one was not with a camera while the second one was. Both were about a hour long. Both had 2 coding questions while the first round had a tree question and the second had more logical questions.,Neutral Experience,Average Interview,Facebook
,Accepted Offer,"Two phone interviews each with 2 questions, which as I later learned, came straight from leetcode. Just do a few problems on leetcode to prepare and you will be fine.",Positive Experience,Average Interview,Facebook
,No Offer,Meet at the conference and get a 30min phone interview in a month. The interview is tricky and you need to prepare for a complete research plan instead of discussing your skillsets. You will need to be openminded to new studies.,Positive Experience,Difficult Interview,Facebook
 What app would you want to create?   ,Accepted Offer,"After passing the coding challenge and getting an email to set up and interview, it was a purely behavioral interview with an engineer. They asked about experience and interest in app design.",Positive Experience,Easy Interview,Facebook
 Create a class implementing iterator interface to go through AVL tree.   ,No Offer,"I was contacted repeatedly by the same recruiter on Linkedin. I ignored it at first because I didn't have time to do interviews. I have a job with a reputable company already. When I finally responded they started the whole interview process. I did a phone interview, and two onsite interviews (coding and design). It took two trips to FB campus and overall several hours of my time. I had to take time off work because those interviews are done during regular office hours. Couple weeks have passed and there has been no follow up despite my contacting the recruiter asking for feedback. Not even ""thank you for taking your time to interview with us"" message. I find this outrageous. Facebook, this is not how you treat people and their valuable time.",Negative Experience,,Facebook
" JS related questions, specifically around prototypal inheritance and then just kept expanding on the same problem   ",No Offer,,Neutral Experience,,Facebook
 Tell me a time when you solve a dispute within the team.   ,No Offer,The interview is a phone interview that I got reach out from the recruiter. The recruiter reached out to me and set up the phone interview to talk about my experience and background. She did not disclose detail information about the position and mentioned it is confidential.,Neutral Experience,Easy Interview,Facebook
 Matching parentheses   ,Accepted Offer,,Positive Experience,Average Interview,Facebook
,No Offer,"The interview process involved 2 technical phone screen rounds one on coding and second on systems. After technical phone screen called for 5 rounds of onsite interview 45 min each. Five rounds included: Distributed system design, Network, Behavioral, Systems and Coding.",Positive Experience,Average Interview,Facebook
 Leetcode   ,Accepted Offer,"They give feedback in a day. They provided very in details preparation guide, what you should know and what they are looking for. Back to back interviews with break. General hire, do not talk to HM or team members.",Positive Experience,Average Interview,Facebook
" Leetcode question 953, 973, 311   ",Accepted Offer,,Positive Experience,Average Interview,Facebook
,No Offer,"1 video interview with hiring manager. The role was somewhere between 'Product Analyst ' and 'Business Analyst' role, rather than a Data Science one. Recruiter was one of the best I've encountered so far- They gave me a very comprehensive material to prepare for the interview, including many tutorials and courses. She also told me what to expect in detail over a phone call.",Positive Experience,Difficult Interview,Facebook
 Critique a well known app/ product   ,No Offer,Overall good process- recruiter I was dealing with was very helpful. After a 2 hr interview I didn’t get the role and they didn’t provide any specific feedback as to why,Neutral Experience,Difficult Interview,Facebook
 Just asked a question directly from my resume it was pretty clear he hadn’t prepared.   ,No Offer,,Neutral Experience,,Facebook
 Valid parentheses Leetcode problem   ,No Offer,,Neutral Experience,Difficult Interview,Facebook
 What projects have I worked on/how do you collaborate with others. Plus coding problems.   ,No Offer,,Neutral Experience,Difficult Interview,Facebook
 How do you find the Nth largest number from an unsorted array?   ,No Offer,,Neutral Experience,Average Interview,Facebook
 Best project   ,Accepted Offer,The first 5 minutes is an introduction. The interviewer introduced his role and the company culture. Then reviewed the resume. Some details were asked about the project on my resume. And then I was asked to solve a coding question.,Positive Experience,,Facebook
 subarray with given sum   ,No Offer,A recruiter reached out to me and set up an interview after receiving my answers to a questionnaire. It was a phone screen where I had to code for multiple problems as well as answer some verbal technical questions.,Neutral Experience,Average Interview,Facebook
 Would you be willing to move to the bay area and could you do it in the next 5 weeks?   ,No Offer,,Negative Experience,Easy Interview,Facebook
 Lots of behavioral questions   ,No Offer,"The process was actually very smooth and everyone seemed extremely helpful along the way. But the weeks following the interview were a bit of a letdown. Overall I thought the interview went well, but I didn't hear back for a couple weeks so I followed up and was notified that they would know more early next year. This type of response is always tricky because I think ripping the bandaid off and sending out a rejection is more helpful for a candidate than leading them to believe good news may (or may not) come at some point over the next several months.",Neutral Experience,Average Interview,Facebook
 SQL questions with aggregate functions and involving two tables/subqueries/pivoting data   ,No Offer,,Negative Experience,Average Interview,Facebook
" In the first round, one hard question from leetcode. In the second round, one easy and one medium question.   ",Accepted Offer,"It starts with two rounds of coding interview, each 45 minutes. After passing the technical interviews, there are three rounds of team matching. The teams are selected based on a survey you filled out.",Positive Experience,Average Interview,Facebook
,No Offer,"I applied via a referral, I got an email in about 2 weeks to schedule the first phone interview. It was a 45 minutes interview. I was asked 2 coding questions. Answered both with time and space complexities but was declined a second round.",Positive Experience,Easy Interview,Facebook
,Declined Offer,"I had two interviews, it start with a introduction then we go through two problems and he help me throgh the problem solving. At the end there was a QA and I asked about the company.",Positive Experience,Easy Interview,Facebook
" check leetcode, accurate list of questions asked.   ",No Offer,"Applied on the Facebook website. Recruiter reached out to me and provided me details of the interview process and rotational program. I scheduled my phone screen a few weeks later after some preparation. If I was successful, I would have been invited to an onsite interview",Positive Experience,Difficult Interview,Facebook
 Leetcode medium level problems   ,Accepted Offer,,Positive Experience,Average Interview,Facebook
 Find the shortest substring of a string that contains all the characters of a given pattern.   ,Accepted Offer,"One round of phone interview, followed by one round of video call interview. Had I not gotten sick for the first phone interview, it would have been two whiteboard rounds at my university.",Neutral Experience,Average Interview,Facebook
 Behavioral interviewer was very interested in my internship experiences   ,Accepted Offer,"I applied through a referral. I got one phone technical interview with a couple of questions, then 3 onsites (2 tech + 1 behavioral). I interviewed during U-day so I got some swag and a free campus tour, and got to network with a bunch of other new grad applicants.",Positive Experience,Average Interview,Facebook
 1 difficult question of arraylist.   ,No Offer,"The recruiter was very kind and caring. They allow you lot of flexibility and help you throughout the process of online phone interview. However, the question in my case was not from leetcode.",Positive Experience,Difficult Interview,Facebook
 He asked me about my background but did not give me a chance for me to highlight my experience. He kept on bragging how great it is to work for Facebook and that the stock is doing great then he had to run somewhere and cut me short.   ,No Offer,,Negative Experience,Difficult Interview,Facebook
 SQL Questions   ,No Offer,Two phone interviews then onsite. Onsite had 6 different interviews start from top level of managers. Every interviewer focused on a different area which includes soft skill and technical skills.,Neutral Experience,Average Interview,Facebook
 Tell me about a marketing campaign you are proud of and why   ,No Offer,"Talked with recruiter, phone screen, call with hiring manager. 45 min call - 5 min intro to job and interviewer, a series of behavior type interview questions and time for Q&A",Positive Experience,Difficult Interview,Facebook
" Questions were specific to the role, read as much as possible on the specific role.   ",Accepted Offer,"Spoke with recruiter, then I had a video interview with hiring manager, next I came in for an onsite interview. There was a follow up phone interview with hiring manager, then I received and accepted an offer.",Positive Experience,Difficult Interview,Facebook
 Why FB?   ,No Offer,"I was contacted by a recruiter back in Oct 2019. I sent my updated resume to the recruiter after found out that she actually had an old resume of mine. Had a phone interview early Nov 2019 and an onsite interview before Thanksgiving holiday. During the onsite interview, I found out that all the interviewers had my old resume. Obviously, the recruiter didn't send them my updated resume. I sent an email to recruiter one week after the onsite interview wanted to know the feedbacks but received no response. In Jan, the recruiter left a message asking me to call her back. Unfortunately, I was out of the country on vacation. I called her multiple time but her phone always go to a voice message and the mailbox is full. There is no way I can leave her a voice message. I emailed her but no response from her. I am expecting a better interview process by FB.",Negative Experience,Average Interview,Facebook
 Q: Tell me the difference between the left join and right join   ,No Offer,,Neutral Experience,Difficult Interview,Facebook
 I would like to respect the NDA   ,No Offer,,Positive Experience,Difficult Interview,Facebook
 search in the shifted sorted array   ,No Offer,I was referred by one of my friends who works for FB and got the chance to interview. The technical question in the interview is not hard and I solved it out. The interview lasts for about 45min. The interviewer seems to be very busy so I don't have time to go through the test cases.,Neutral Experience,Average Interview,Facebook
 How delegate works   ,No Offer,Interview process held 2 rounds.One is Phone screening and other one coding test.At the phone screening HR will ask 5 objective questions from IOS.If you are able to answer at least 2 then they will schedule online coding test.,Positive Experience,Average Interview,Facebook
" If Instagram starts to see a trend of people using the application less, what analysis can be done to find out why?   ",No Offer,"It started with a phone screen from a recruiter. I applied online, received an email with the best times to conduct the phone screen and spoke with the recruiter. I waited months before hearing anything from them",Neutral Experience,Difficult Interview,Facebook
 Questions on algorithms   ,No Offer,Applied through an employee referral. Heard back within 2 weeks. I gave 2 on-campus interviews. The questions weren't difficult. The interview experience was great. I got quick responses.,Positive Experience,Easy Interview,Facebook
 Typical behavioral and UX questions   ,No Offer,,Negative Experience,Average Interview,Facebook
 NDA   ,No Offer,"I had a recruiter screening which was followed by a phone screen. I was called on site after the phone screen. It was a horrible interview process. 3 out of 4 interviewers did not show up for the on-site interview. This was when I specifically requested for skype interview rounds as my wife is undergoing chemo and it would have immensely helped me. The recruiter did not even respond to this request. It's really sad to see how they treat potential candidates. If you are not even serious enough to show up for interviewing for a role which is perhaps a very important role considering Facebook's current situation then it sends a very bad message to future candidates. In addition, I was shocked to see one of my interviewers say, the only reason we have end-to-end encryption is to prevent investigators from asking us for PII data. If we have end-to-end encryption, we can just say, we don't have the data. Its got nothing to do with customer privacy but with Facebook's personal benefit",Negative Experience,Average Interview,Facebook
" Standard leetcode question, like a variation on 3 sum.   ",No Offer,This interview was a phone screen with a technical question. It wasn't too hard and lasted about an hour. They only got to asking me one question and I think I solved it but probably not fast enough.,Positive Experience,Average Interview,Facebook
 What value would you add to Facebook?   ,No Offer,First step was a phone interview where I was asked about my background and then a data structure problem. I was then given another phone interview where I was asked two medium leet code problems in 30 minutes.,Positive Experience,Average Interview,Facebook
 Tell us about a time that you managed a project from the beginning to the end. Be as specific as possible; tell us everything about your role in this project.   ,No Offer,"The interview process was organized and quick. Initial phone interview, proceeded by video interview and then they flew me out for an onsite interview. The interview was broken down into three parts: behavior, technical, project management. Facebook does an excellent job of helping candidates prepare for the interview.",Positive Experience,Average Interview,Facebook
 What are you most proud of; tell me when you've done this (xyz on job description); standard interview questions.   ,Accepted Offer,"Typical phone screen then video chat interview through ""Bluejeans"" (you will set it up on your computer). After you pass you are invited onsite where you will most likely do an exercise on the whiteboard explaining your process for a particular effort. You will also have lunch with someone on the team.",Positive Experience,Difficult Interview,Facebook
 Can you tell how you dealt with a difficult person?   ,No Offer,"The interview process was very smooth. Phone interview was great and the interviewer went deeper and deeper about the product. Within an hour I received a call from the interviewer with next steps and was called for an in-person interview at their main office at Menlo park, California.",Neutral Experience,Average Interview,Facebook
 Leetcode easy-medium questions   ,No Offer,,Positive Experience,Average Interview,Facebook
" Heaps, Binary Trees, DFS/BFS, and Dynamic Programming. I forget the individual questions, but my biggest advice would be to purchase the Leetcode membership and start doing the Facebook questions about 3-4 weeks before your first interview. A lot of their questions are reused and can be easily solved with practice.   ",Declined Offer,"Received a full-time referral (did not do an internship) and had a phone interview that consisted of 2 questions. Then three onsite interviews on University Day. Overall great experience. For people looking for full-time there without having done an internship, I highly advise you try to get a referral. It goes a long day in just giving you the opportunity to interview.",Positive Experience,Average Interview,Facebook
 How would you reverse a linked list without creating a new list.   ,No Offer,Interview process was not bad. I applied online and heard back from them about a month later to set up a phone interview. They asked me a question about reversing a linked list and that was it.,Neutral Experience,Average Interview,Facebook
,No Offer,We had a phone interview to talk about my experience and some questions related to my personal interest and detail of projects. They also allow you to ask related questions about the position.,Positive Experience,Easy Interview,Facebook
 Why do I want to work at Facebook.   ,No Offer,,Positive Experience,Average Interview,Facebook
" Given a binary tree, determine if it is a BST   ",No Offer,"Had the phone interview first followed by a video interview. Both were 45 minutes, very standard. Was asked leetcode style questions and last 5 minutes were left for questions. If your connection is not good, I would recommend just asking for a phone call instead of the second video interview",Positive Experience,Easy Interview,Facebook
,Accepted Offer,,Positive Experience,Average Interview,Facebook
 Arrays and algorithms   ,No Offer,"Submitted a HackerRank, recruiter contacted me within two weeks, made it past first phone screen (easy question involving arrays), invited to candidate reception, waiting for feedback on my on-campus interview.",Positive Experience,Easy Interview,Facebook
 Are you familiar with A/B testing?   ,No Offer,,Positive Experience,Average Interview,Facebook
 Determine whether a BST is valid.   ,No Offer,,Neutral Experience,Average Interview,Facebook
,No Offer,,Negative Experience,Average Interview,Facebook
,No Offer,"After submitting my resume to Facebook I was contacted by one of their recruiters the next day. We talked on the phone about my work experience after which they asked me to give them three dates for which they can schedule my over the phone coding interview. They suggested to take at lest 2 weeks to prep for the interview for which they provided me with some training material. On the specified date one of the software engineers working at facebook called me to administer the interview. He introduced himself and asked me to tell him about the last project I worked on. This part lasted no more than 5 minutes, after which he asked me two coding questions. Upon finishing both of the question the interviewer gave me an opportunity to ask any question I might have had. I was told I will be contacted by the recruiter to let me know about further steps. I was contacted shortly via email but they decided not to proceed with the next interview. This came as a surprise since I answered both coding question correctly, unfortunately they were not willing to provide me with feedback to what was the reason of my rejection. Apart form not receiving any feedback, the interview process was very positive experience.",Positive Experience,Easy Interview,Facebook
 It is about binary search and a tree-related problem   ,Accepted Offer,A team member will call you for a phone code interview. It starts with 5-10 min self-introduction and then you are required to do two or three coding problems. The interview process is overall good,Positive Experience,Average Interview,Facebook
 Check palindrome and reverse a linked list   ,No Offer,"Campus recruiting. I gave them on resume during the career fair, and then I got an email from the recruiter saying that they would offer me an on-campus interview. The interviewer asked me to introduce myself for 30 seconds. The technical questions were really easy, I figured them out and still got rejected.",Neutral Experience,Easy Interview,Facebook
" Given 2 arrays, one with empty values and one full, both in order. Combine arrays so that the final combined result is in order.   ",No Offer,"Whiteboard Problem, purely technical. Was offered interview the day of but waited until the following day. Facebook was less intimidating than imagined, but tough call as I thought it went well but I did not get to move on in the process.",Positive Experience,Average Interview,Facebook
 Just review the prep materials. It basically covers everything   ,No Offer,"I interacted with at least 20 companies in the bay area. All of them are high tech companies and some of them are unicorns. Facebook's interview experience ranks as number 1 from all of them. Period! Although this time, due to timeline issues, I have to cancel the DS interview in the middle of the process but i've been through another position till onsite. Interview process can be stressful and sometimes even depressing. Thank you so much for making the interview process so smooth and make everyone feel important, not like the other giant company that drag the process to months. I love all recruiters that I interacted through out the process from Facebook. Please give them Kudos and love. Thank you Facebook recruiting team!",Positive Experience,Average Interview,Facebook
 Certain programming commands   ,No Offer,Only went through phone screening. Asked a couple easy questions about R and SQL commands. Asked basic behavioral questions before. Wasn't too bad but I didn't know one of the commands and the interviewer was just someone in HR,Neutral Experience,Easy Interview,Facebook
,No Offer,,Neutral Experience,Difficult Interview,Facebook
