question,offer,target_variable,difficulty,interview,source,length,text
 What are the main trust and safety issues facing TikTok today?   ,No Offer,0,Average Interview,"Interviewed with TikTok twice on two separate occasions. Didn't make it the first time after 2 rounds of interviews. Almost a year later, a recruiter reached out based on my past applications and asked if I'm interested for a newly created Trust and Safety role, seemingly related to the one I previously interviewed for. No JD or job listing was up yet. They claimed to usually finish the whole interview cycle and make an offer within 2 weeks (doesn't sound like they're committed to finding the best person for the job imho). Was scheduled for an interview with a peer the next day without much background info or preparation. I agreed to reschedule the interview to 2 days after to give myself some buffer since it's so sudden. The interview itself was generic, nothing remarkable. Left with no impression. No news for a week, followed up with the recruiter and was informed that they went with another candidate. Till now I'm unclear of the actual role and structure (reporting line etc) as they didn't seem to have a hiring manager yet. The whole process was quite random and extremely unstructured, seems more like a distraction and ultimately a waste of time.",Tiktok,1167,interviewed tiktok twice two separate occasion make first time almost year later reached based past application asked interested newly created trust safety role seemingly related previously interviewed jd job listing yet claimed usually finish whole cycle make offer within week sound like committed finding best person job imho scheduled peer next day without much background info preparation agreed reschedule day give buffer since sudden generic nothing remarkable left impression news week followed informed went another candidate till unclear actual role structure reporting line etc seem hiring manager yet whole quite random extremely unstructured seems like distraction ultimately waste time
" What experience do you have, and what will this offer to the role?   ",No Offer,1,Average Interview,"Easy process- applied online, a few emails back and forth and 2 phone interviews- friendly staff, very responsive and understood lack of job experience- let me go off other aspects of life ie degree.",Tiktok,199,easy applied online email back forth friendly staff responsive understood lack job experience let go aspect life ie degree
 If I have or use Tiktok   ,No Offer,0,Easy Interview,I was referred by an employee and received an email from their recruitment team asking for my availability to have an initial conversation. They were slow to respond and only confirmed late the day before we spoke. The interview felt very much as if she was reading from a list and ticking the boxes - no real engagement with me. I was told I'd hear within a week on whether they want to progress. I heard by email within 3 or 4 days that they wouldn't progress.,Tiktok,462,referred employee received email recruitment team asking availability initial conversation slow respond confirmed late day spoke felt much reading list ticking box real engagement told hear within week whether want progress heard email within day progress
 Why TikTok   ,No Offer,0,Easy Interview,"Took 3 months to get an interview, with a colleague's help, who reminded HR about my pending CV. Finally the interview date was set. interviewer was late, 7 min interview lasted, took the whole month to get a rejection, only after the colleague who referred me in a first place wrote them email. Have a feeling they totally forgot about me because one of the recruiters told me I was pending for a second interview. So...",Tiktok,421,took month get colleague help reminded hr pending cv finally date set late min lasted took whole month get rejection colleague referred first place wrote email feeling totally forgot told pending second
 What is a good moderator   ,No Offer,0,Average Interview,"There where 3 rounds of interviews this process went fast, however it was not clear with who you got the interview. After they told i wil get feedback the next day. I did not receive any answer back. After following up from my side i received a mail that i did not get the job. I requested the reason why i did not receive a clear answer",Tiktok,337,went fast however not clear got told wil get feedback next day not receive answer back following side received mail not get job requested reason not receive clear answer
,Accepted Offer,1,Difficult Interview,"The process is straightforward and speedy. It consists of a screener, 3-5 interviews with various essential team partners and a feedback session. The recruiter asked targeted questions and knew my CV and experience. The recruiter outlined the interview process and within hours had scheduled the first interview with a partner manager. The partner managers in each round asked detailed and topical questions that give you an insight into the role, the team and the company. Each manager allowed adequate time to ask your own questions. The recruiter was very responsive throughout the process about questions. Each round was in fast succession and the process was very quick. Feedback was very helpful and all interviewers were friendly. The company send a survey after each round for feedback so don't be scared when you receive it.",Tiktok,833,straightforward speedy consists screener various essential team partner feedback session asked targeted knew cv experience outlined within hour scheduled first partner manager partner manager asked detailed topical give insight role team company manager allowed adequate time responsive throughout fast succession quick feedback helpful friendly company send survey feedback scared receive
 Is a routine process. How will you deal with this?   ,Declined Offer,0,Easy Interview,It took me 2 months to get any result. The chain of people is horrendous - and none of them are intrested in u as a person - my questions were so simple and similar at the each stage of interviewing process.,Tiktok,207,took month get result chain people horrendous none intrested person simple similar stage interviewing
 Why do you want to join Tiktok   ,Declined Offer,1,Easy Interview,"Simple application online, a quick answer for a meeting. The online meeting was about 20 minutes. The recruiter tested my knowledge and language skills. He was really nice and make the process clear. Sadly I wasn't interested in the position after I understood clearly what it was about.",Tiktok,287,simple application online quick answer meeting online meeting minute tested knowledge language skill really nice make clear sadly interested position understood clearly
 Explain one challenge you have been through?   ,No Offer,1,Average Interview,"first, a phone call to introduce yourself. There is a second zoom meeting with several other candidates to do some exercises related to labelling and talk more about yourself and reasons why you should be hired",Tiktok,210,first call introduce second zoom meeting several candidate exercise related labelling talk reason hired
" Prepare on digital Ad sales, they just check the candidate's zeal to learn new things   ",Accepted Offer,1,,There was 3 business round of interview and all of them was very professional. The best part that they conduct a virtual interview and its saves a lot of time for both parties.,Tiktok,176,business professional best part conduct virtual save lot time party
 A medium level stack based question that's popular with Facebook   ,No Offer,0,Average Interview,"Applied online, scheduled interview. Was told that it would cover CS fundamentals and then some leetcode. Ended up being only leetcode. Solved the question, interviewer seemed satisfied, rejected a few days later. Glassdoor was not helpful in this case since by reading all the reviews here I was expected some theory questions. My interview also kept getting pushed back so I wasted at least a few days studying for theory questions that I was never tested on. Pretty jaded after going through that.",Tiktok,500,applied online scheduled told would cover fundamental leetcode ended leetcode solved seemed satisfied rejected day later glassdoor not helpful case since reading review expected theory also kept getting pushed back wasted least day studying theory never tested pretty jaded going
 how to you handle when a TikTok video is not allowed to be post online?   ,No Offer,0,Average Interview,"we start with a casual conversation and answer the ""tell me about your self"" questions and follow by asking how do I handle certain problems related to the role that I apply. additional question like expectation on the job role, transportation.",Tiktok,244,start casual conversation answer tell self follow asking handle certain problem related role apply additional like expectation job role transportation
,No Offer,0,Difficult Interview,A lot of very Trust and Safety specific questions. Was told by the recruiter I would be asked technical questions about SQL and such. Given that I am coming from a different industry than social media I had no hope of getting any of this right.,Tiktok,244,lot trust safety specific told would asked technical sql given coming different industry social medium hope getting right
 Tell me something about yourself not on your CV   ,Accepted Offer,1,Average Interview,4 rounds over 3 weeks. HR and interview coordinators were extremely responsive and supportive. Interviewers were polite and punctual. Overall extremely positive experience! My personal experience was not like what i've read here,Tiktok,228,week hr coordinator extremely responsive supportive polite punctual overall extremely positive experience personal experience not like read
 What are your strengths? -   ,Declined Offer,0,Average Interview,"I was given only 1 business day to decide whether I accept when I received the offer letter. So I asked a recruiter for more time to consider, and then I was immediately told that they could wait only for 3 business days.",Tiktok,221,given business day decide whether accept received offer letter asked time consider immediately told could wait business day
 What are your weaknesses and strengths? Where do you see yourself in one year's time? Describe your role in a team.   ,Accepted Offer,1,Average Interview,"The interview process was quick and clear. Everyone I interviewed with was super nice and gave me a clear picture of the role and the company. I had interviews with the recruitment team, as well as the team leader and finally an HR interview.",Tiktok,242,quick clear everyone interviewed super nice gave clear picture role company recruitment team well team leader finally hr
 Competency based.   ,No Offer,0,Easy Interview,1st interview round with recruitment agency. 2nd round interview with TikTok HR personnel via zoom. TikTok didn't show up for 2 of the interviews and joined late the 3rd one. Isn't it a red flag? It certainly is!,Tiktok,212,st recruitment agency nd tiktok hr personnel via zoom tiktok show joined late rd red flag certainly
 How will you onboard more influencers   ,No Offer,0,Average Interview,"2 month long process, 6 interviews with 6 different people. 1 interviewer from Dubai and the rest from China. Every interviewer asks the same questions. They even ask you for ideas and suggestions and write down everything you say. Next thing you know they use your ideas but do not hire you. They just waste your time by making you go through so many interviews with no intentions of hiring you.",Tiktok,396,month long different people dubai rest china every asks even idea suggestion write everything say next thing know use idea not hire waste time making go many intention hiring
" Questions were behavioural, but not formulaic. My advice is to really think about the role and how you see yourself performing in it   ",Accepted Offer,1,Average Interview,"Great interview process where I felt I got to know my team's function, culture and the expectations of the role. I was able to be myself and bring my personality to the interview, while being asked challenging questions. The interviewers built good rapport with me, made me feel comfortable and I really enjoyed the process. The recruiters were kind, friendly, responsive and great reps for the business!",Tiktok,404,great felt got know team function culture expectation role able bring personality asked challenging built good rapport made feel comfortable really enjoyed kind friendly responsive great rep business
,No Offer,1,Easy Interview,"It was the Ads Service Specialist position. I've had 1 interview with a team-member and she asked pretty clear questions like behavioral questions, open-ended ones. The last step was an interview with the hiring manager, and that's where all by the book answer did not work. He was expecting out of the box answers. Unfortunately, I did not pass it, because I was not prepared very well. So it clearly was a lesson learned for me.",Tiktok,430,ad service specialist position team member asked pretty clear like behavioral open ended last step hiring manager book answer not work expecting box answer unfortunately not pas not prepared well clearly lesson learned
,No Offer,1,Average Interview,"Had a call from a recruiter then I had a language test for my specific market, then an interview with a team lead which I passed and now I'm waiting for the 3rd stage of interviewing with HR, hopefully the final stage",Tiktok,217,call language test specific market team lead passed waiting rd stage interviewing hr hopefully final stage
 Do you know how to fire someone?   ,Declined Offer,0,Easy Interview,"Wow. I don’t even know where to start. There is no process. The other HR interview review I’ve read here, is almost exactly the same as my experience. There is repeat question after repeated question from each interviewer. The interviewers don’t introduce themselves. You prompt them & they don’t answer. They can barely communicate. No one follows up or explains what’s next. The process can go for, well, who knows how long. TikTok perform the most jarring and uncomfortable interviews I’ve ever had in my career. Good luck if you take this job; you’ll absolutely need it & suspect you’ll be in the job market not too soon after accepting this HR role at TikTok.",Tiktok,664,wow even know start hr review read almost exactly experience repeat repeated introduce prompt answer barely communicate follows explains next go well know long tiktok perform jarring uncomfortable ever career good luck take job absolutely need suspect job market not soon accepting hr role tiktok
,No Offer,0,Difficult Interview,1. phone screening with HR / 2. second phone screening with HR / 3. 1 on 1 with senior sales manager (I suppose direct manager) / 4. 1 on 1 with sales lead,Tiktok,155,screening hr second screening hr senior sale manager suppose direct manager sale lead
" I was asked to disclose insider information (revenue, metrics, etc.) about the companies I've worked at.   ",No Offer,0,Average Interview,The first 3 interviews were great and hiring managers + professionals working at the company were nice and professional. That's until it came down to the last interview. He was late for the first call by 10+ minutes and then ended up postponing the interview for an entire week through a hiring manager having never apologised. He also made an inappropriate borderline sexist comment during the interview and tried to fish for insider information constantly typing at the same time. Extremely unprofessional and unethical to use the status of an interviewer to fish for information like that. I had already heard all about this through someone who interviewed there before but now I experienced it myself. Had they made an offer I would've rejected it.,Tiktok,752,first great hiring manager professional working company nice professional came last late first call minute ended postponing entire week hiring manager never apologised also made inappropriate borderline sexist comment tried fish insider information constantly typing time extremely unprofessional unethical use status fish information like already heard someone interviewed experienced made offer would rejected
 How do you use data in hiring?   ,No Offer,0,Average Interview,"One of the worst interview experiences ever! As a TA Partner myself, I withdrew myself from the process due to the horrible experience received. I would not want to be associated with a company that offers such bad experience.",Tiktok,226,worst experience ever ta partner withdrew due horrible experience received would not want associated company offer bad experience
 Why do you want to work for TikTok   ,No Offer,0,Average Interview,"Horrible! I first applied in April 2020 and got contacted by someone in Bytedance HR (from China) a couple of weeks after. The person invited me for an zoom interview but I had no idea who I was going to meet and what the person's function was. As the job description I applied for was very generic I asked for a more details on the position but I was given just a copy-paste of the role I applied for (which looked like a google translate English from Mandarin). The person I interviewed for was actually very competent and helpful and explained me they were growing very fast and so the role I applied for was likely to evolve. She also mentioned I'd need to meet 3 other colleagues before the end of the process. After a MONTH I was notified by HR about a second interview with another colleague (again, they didn't share any job title) who seemed shocked by the lack of information I was provided by HR prior of my interview. He also confirmed I'd have to talk with a couple more people and HR will be in touch to schedule the upcoming interviews. Instead after an additional month I received an automated email saying that my application was unsuccessful. No feedback, no explanation even after I followed up. I know other people who are now in the company and had a good experience so I guess it depends on the department but if the Chinese team is managing the process just STAY AWAY",Tiktok,1390,horrible first applied april got contacted someone bytedance hr china couple week person invited zoom idea going meet person function job description applied generic asked detail position given copy paste role applied looked like translate english mandarin person interviewed actually competent helpful explained growing fast role applied likely evolve also mentioned need meet colleague end month notified hr second another colleague share job title seemed shocked lack information provided hr prior also confirmed talk couple people hr touch schedule upcoming instead additional month received automated email saying application unsuccessful feedback explanation even followed know people company good experience guess depends department chinese team managing stay away
,No Offer,1,Average Interview,"Very conversational. Starting with both HR and then with 2 team members (line manager and a peer), it has been following the same conversational style all along. Not too many competency-based questions.",Tiktok,202,conversational starting hr team member line manager peer following conversational style along not many competency based
,No Offer,0,Average Interview,"One of the worst experience of my life, I worked for serious tech company and I've never seen a confusion and disorganization as I've seen in TIKTOK. Recruiters are unprepared, they aren't interested to your profile but just to ask you question for lead a market analysis and use people for have feedbacks about the products etc. Lots of vacancies but most of them are not real. They replied to emails in the same way to everyone, I've found also very rude chinese recruiter with no interest and preparation. Please be careful of them and you precious time. Don't waste time with them. After 2 months of interviews they are disappeared, I tried to call them and send email and inbox, no replies, no respect for the effort. An awful chinese company!!",Tiktok,749,worst experience life worked serious tech company never seen confusion disorganization seen tiktok unprepared interested profile lead market analysis use people feedback product etc lot vacancy not real replied email way everyone found also rude chinese interest preparation please careful precious time waste time month disappeared tried call send email inbox reply respect effort awful chinese company
" CBQ questions, general managerial experience   ",Accepted Offer,1,Difficult Interview,"It was great, all super well organized. I have 5 stages of interviews with managers in Dublin and Chine, and everything was great. My recruiter was super kind, and supportive and was very much needed for this kind of process. I would recommend anybody to come and join us!",Tiktok,272,great super well organized stage manager dublin chine everything great super kind supportive much needed kind would recommend anybody come join
 Talk me through your CV in terms of experience that you have relevant to the role.   ,No Offer,1,Average Interview,"Fluid intervoew process, Interviews were professional but informal in style - impressed with the hiring manager and style plus recruiter was good also. Getting feedback from the final stage took just over 2 weeks however all in all was a decent process.",Tiktok,253,fluid intervoew professional informal style impressed hiring manager style plus good also getting feedback final stage took week however decent
 Tell me about yourself   ,Accepted Offer,1,Average Interview,"The first round went smoothly and I got a chance to meet the one who is in the same position I applied to. It's more like sharing experience, and discuss about the role, friendly interviewer",Tiktok,190,first went smoothly got chance meet position applied like sharing experience discus role friendly
 What were your main responsibilities in your main job?   ,No Offer,0,Average Interview,"One or two days after my application, one of the recruiters reached out to set a call the next day. I informed them about availability and asked a few questions (e.g., how to prepare, who will be the interviewer) but I did not get a reply until the week after to reschedule. After the new date was set, I still did not get any details about the time or interviewer. Very time consuming for both parties.",Tiktok,403,two day application reached set call next day informed availability asked prepare not get reply week reschedule new date set still not get detail time time consuming party
,No Offer,0,Easy Interview,"I applied for 3 positions and only got contacted after an employee referral. I did 3 interviews, 2 with the same recruiter and one with the manager. The manager asked questions very related to the position even though the HR was not able to explain the position in the previous interview. My last interview the recruiter told me about salary and benefits and asked if they were ok for me and I confirmed they were. I waited 6 days until I send and e-mail asking for a follow-up to receive after an e-mail saying that I did not get the position with a very general and automated feedback. I wen through all the interviews for the position and they were not even able to give me a proper feedback. Not to mention, the offer was the same as my current job, the only reason why I would accept was the opportunity to grow. In my experience they only contact referrals and the benefits are the same as every other average company.",Tiktok,924,applied position got contacted employee referral manager manager asked related position even though hr not able explain position previous last told salary benefit asked ok confirmed waited day send mail asking follow receive mail saying not get position general automated feedback wen position not even able give proper feedback not mention offer current job reason would accept opportunity grow experience contact referral benefit every average company
 Why do you want join TikTok?   ,Accepted Offer,1,Difficult Interview,"Applied online on the website. The process took 3 months and it was a very positive experience. First screening interview with the Talent Acquisitions Manager, then in order one with a team Lead, one with HRBP, one with the Head of Europe.",Tiktok,239,applied online website took month positive experience first screening talent acquisition manager order team lead hrbp head europe
 Q; Tell me about quality experience in your current project?   ,No Offer,0,Easy Interview,"The interview process had two stages. At first stage I had to prepare topic work for one hour and send it back to the recruiter. One week after I had my interview with a Global QA Lead from China. The interview lasted 45 minutes and I had never received any feedback about the position since then. I contacted a recruiter multiple times and she has never answered me, so as other recruiters that were working with her. They basically ghosted me. Three months passed and I haven't received anything from them. Terrible experience.",Tiktok,529,two stage first stage prepare topic work hour send back week global qa lead china lasted minute never received feedback position since contacted multiple time never answered working basically ghosted three month passed received anything terrible experience
" Why are you interested? Could you name any TikTok Advertising Products ? (really, do you ask those questions during an interview for a senior role?? BTW I answered the question).   ",No Offer,0,Average Interview,"Very poor interview process with TikTok. Typical example of a recruiter who doesn't check candidate's resume nor even asked any specific question, just standard questions. also she was very distracted during the call. Needless to say that I have reached out but noone replied to my email.",Tiktok,288,poor tiktok typical example check candidate resume even asked specific standard also distracted call needle say reached noone replied email
 How do you use Tiktok?   ,No Offer,0,Average Interview,After four interviews which started in April and it took them almost 2 months to decide. I was in the final round and received an automated notification via e-mail that they decided for another candidate. No word from the recruiter.,Tiktok,232,four started april took almost month decide final received automated notification via mail decided another candidate word
,No Offer,0,Easy Interview,"I initially applied for the Client Solutions Manager role in April 2020. The initial interviews and calls went well, with ByteDance and the team at TikTok. All calls were virtually using Microsoft Teams. After 1 month and 2 video interviews they fed back that the role was no longer available. Potentially due to COVID-19 or they already offered someone the role. I was in hold in the system for about 2 months and they asked for another 30 min video interview in July 2020. After this they stated that the Performance version of the role is different and I would no longer be suitable to proceed. Overall a standard interview process and feedback forms at each stage but the business operations looks like it doesn’t support the hiring of potential talent.",Tiktok,757,initially applied client solution manager role april initial call went well bytedance team tiktok call virtually using team month video fed back role longer available potentially due covid already offered someone role hold system month asked another min video july stated performance version role different would longer suitable proceed overall standard feedback form stage business operation look like support hiring potential talent
" Confidential so won't share the questions on here but mostly product/market based, pretty standard big tech questions with a TikTok twist.   ",Accepted Offer,1,Average Interview,"The process took about a month. HR team was great - very responsive and helpful in anyway they could. Initial screen with a recruiter and I agreed to move forward. Everyone that I spoke to at each round (5 in total) were friendly and transparent about their expectations from the role. Each round seemed to focus on a certain area e.g. tech, strategy, product design etc. followed by behavioural questions that require on the spot thinking. They wanted to understand how I think about things innovatively with industry challenges in mind.",Tiktok,538,took month hr team great responsive helpful anyway could initial screen agreed move forward everyone spoke total friendly transparent expectation role seemed focus certain area tech strategy product design etc followed behavioural require spot thinking wanted understand think thing innovatively industry challenge mind
" The usual. Tell me about yourself, tell me about your contacts, what types of deals have you secured before and so on   ",No Offer,0,Average Interview,"Initially applied via recruiter, who was lovely and asked a lot of questions, and gave some great coaching. However... that was where the good part of the whole process ended. I was told the interview would be done in 2 parts - the first a “peer review” which was conducted by someone in the same role, an informal chat to see if I was a good culture fit, and then a second which would be with hiring manager and cover experience and knowledge and go in to more detail. I had the first part, which was fine, we had a good conversation and got on well. After it ended I waited 15 mins for the hiring manager to join call, but they never did. Ended up speaking to HR (not the recruiter) who explained they were running late and couldn’t make it, so would rearrange. A bit annoying after I’d prepped but these things happen. Several days passed with no response, despite a chase. Ended up getting a call from recruiter to say they weren’t taking me to next stage, and the feedback was I wasn’t concise enough. Excuse me? How is that fair, or proper feedback, when I did my bit and was all prepped to be concise when it came to second part covering experience given that the initial chat was meant to be a friendly conversation. Ive over decade of experience so I certainly know what I am doing and I feel it is unfair, rude and unprofessional to dismiss me when they don’t even really know me or my experience as they literally could not be bothered to do the interview properly. Probably one of the worst interviews I’ve ever had! Either recruiter didn’t coach me well enough (but I think they did) or TikTok are too rushed when doing interviews as they know they’ll have a lot of applicants. Either way, it says a lot about a company and how it treats its staff if they are like this at interview stage so feels like a good thing to me, even though I was massively disappointed at the time.",Tiktok,1889,initially applied via lovely asked lot gave great coaching however good part whole ended told would done part first peer review conducted someone role informal chat see good culture fit second would hiring manager cover experience knowledge go detail first part fine good conversation got well ended waited min hiring manager join call never ended speaking hr not explained running late make would rearrange bit annoying prepped thing happen several day passed response despite chase ended getting call say taking next stage feedback concise enough excuse fair proper feedback bit prepped concise came second part covering experience given initial chat meant friendly conversation ive decade experience certainly know feel unfair rude unprofessional dismiss even really know experience literally could not bothered properly probably worst ever either coach well enough think tiktok rushed know lot applicant either way say lot company treat staff like stage feel like good thing even though massively disappointed time
" What do you think of our platform, is there anything you would do differently.   ",No Offer,0,Average Interview,"Intro call, followed by two interviews, one with internal recruiter, next with senior member from creative department. Interviews seemingly very positive. Left waiting two weeks for a response, when poked, I was informed that on-boarding of line manager was required prior to final stage. Recruiter twice failed to follow up on his word. Finally received blanket decline email with no personalisation or feedback. A courteous ask for feedback met with radio silence.",Tiktok,466,intro call followed two internal next senior member creative department seemingly positive left waiting two week response poked informed boarding line manager required prior final stage twice failed follow word finally received blanket decline email personalisation feedback courteous feedback met radio silence
,Accepted Offer,1,Easy Interview,"I personally had a very good interview experience. The interviewers are nice and they asked many questions regarding past experiences. The response time was fast, and definitely keep you posted.",Tiktok,194,personally good experience nice asked many regarding past experience response time fast definitely keep posted
 Did not get the chance to get that far in the process!   ,No Offer,0,Easy Interview,"Got an InMail from a recruiter who was really enthusiastic about my profile and wanted to set-up a call. I thought I'd give it a go as the role looked very interesting. I submitted my resume as requested, but never heard back from the recruiter. I messaged the recruiter a dozen times and never got an answer back. That is really frustrating!",Tiktok,342,got inmail really enthusiastic profile wanted set call thought give go role looked interesting submitted resume requested never heard back messaged dozen time never got answer back really frustrating
 Describe about yourself   ,Accepted Offer,1,Average Interview,The interview process was fast and mostly to know about me there were 4 interviews first one with hr company then team manager then area manager and lastly hr manager,Tiktok,166,fast mostly know first hr company team manager area manager lastly hr manager
 Tell me about a time you made a mistake   ,No Offer,0,Average Interview,"I have never gone through such a chaotic interview process. I was never told who I would be interviewing with (which is semi-normal), every interviewer asked me the same script of questions, most of them were late, and I waited over 2 months to hear a response if I was chosen for the role while messaging my recruiter weekly with no response. I worked at a competitor and had the feeling they were more interested in getting information from me on how the company worked than having any interest in me, which was stressful as I needed a job after a COVID layoff. I've since applied to other roles with them (only because there is NOTHING else out there right now job wise) and it has been more of the same. Hugely disorganized, long wait times, no one making any effort in an interview process.",Tiktok,795,never gone chaotic never told would interviewing semi normal every asked script late waited month hear response chosen role messaging weekly response worked competitor feeling interested getting information company worked interest stressful needed job covid layoff since applied role nothing else right job wise hugely disorganized long wait time making effort
" What interests you in TikTok, other than the name?   ",No Offer,0,Average Interview,"I interviewed for the ‘Media Manager’ position and had a first round screening call with The talent acquisition which went well and went over my experience and interest in the role/company. This role was a brand new role part of a new team at TikTok so there were ‘unknown’ elements of the job as the company is growing very rapidly. And building out new teams. My second round interview was an in-person interview with the hiring manager which went over the role and responsibilities in more depth, although the interviewer was very new to TikTok and had only just started work there a week prior so this felt very conversational and relaxed. I was told by the talent acquisition team I had passed this round and the third round interview was with a cross-functional team member in a different office, and a video call was arranged to accommodate this. The interview focused more on general skills and competencies which I felt went positive. I followed up numerous times with the talent acquisition team for feedback and was disappointed to receive an automated rejection email for the position 2 weeks after my third round interview. I at least would have appreciated a call or email highlighting some level of detailed feedback as to why I was unsuitable for the position. Personally, I think it is very unprofessional of TikTok not to provide appropriate feedback, especially as I had been in attendance of 3 interviews and was very invested in this process (even attending an in person interview at their offices in Holborn). Judging from their LinkedIn job advertisements I understand they are in the process of growing very rapidly and probably churning through interviews and candidates. However, this lack of communication has left a bad taste in my mouth, and I would reconsider applying for any future roles that appealed to me. Candidate constructive feedback should be a bare minimum requirement, even more so if you have invited a candidate no less then 3 occasions to interview for a role in your company.",Tiktok,2021,interviewed medium manager position first screening call talent acquisition went well went experience interest role company role brand new role part new team tiktok unknown element job company growing rapidly building new team second person hiring manager went role responsibility depth although new tiktok started work week prior felt conversational relaxed told talent acquisition team passed third cross functional team member different office video call arranged accommodate focused general skill competency felt went positive followed numerous time talent acquisition team feedback disappointed receive automated rejection email position week third least would appreciated call email highlighting level detailed feedback unsuitable position personally think unprofessional tiktok not provide appropriate feedback especially attendance invested even attending person office holborn judging linkedin job advertisement understand growing rapidly probably churning candidate however lack communication left bad taste mouth would reconsider applying future role appealed candidate constructive feedback bare minimum requirement even invited candidate le occasion role company
 Paid MKTg strategies   ,No Offer,0,Average Interview,Many interviews and in the end they just ghosted me. I'm surprised with such a lack of respect. The guys really don't care and treat candidates not approved like nothing.,Tiktok,170,many end ghosted surprised lack respect guy really care treat candidate not approved like nothing
,Declined Offer,0,Average Interview,"Quick result after each round ( next day) - 1 call with HR, 1 with line manager ,2 more rounds with regional head. Smooth process overall, interviewer was friendly and ask general questions about relevant experience",Tiktok,215,quick result next day call hr line manager regional head smooth overall friendly general relevant experience
 Have you worked for a start up before?   ,No Offer,0,Easy Interview,"Interview process took place via CV screening, interview scheduled and then cancelled at the interview time (never have I seen this) and rescheduled,. Once the interview took place, received a generic email stating they won't be progressing further.",Tiktok,249,took place via cv screening scheduled cancelled time never seen rescheduled took place received generic email stating progressing
,No Offer,0,Average Interview,Initial call with HR followed by call with China and final call with HR. I didn't feel the questions were that professional or good enough to show my best. I was told I would be a great fit for the job and really got my hopes up only for them to drag it on finally saying I was unsuccessful. Hard to know what they really want.,Tiktok,327,initial call hr followed call china final call hr feel professional good enough show best told would great fit job really got hope drag finally saying unsuccessful hard know really want
,Accepted Offer,1,Average Interview,"Understandably, the process for interviewing with TikTok was a very long and intense process taking in total nearly 2.5 months. 3 rounds of interviews, background check, several rounds of negotiations but all that made me want the position even more. The things in life that are easy to get are not worth as much as the things that take more work to accomplish.",Tiktok,361,understandably interviewing tiktok long intense taking total nearly month background check several negotiation made want position even thing life easy get not worth much thing take work accomplish
,No Offer,0,Average Interview,"I have been through the hiring process twice and the experience has been terrible for both. First time, applied online, did the phone screening and got scheduled for the first stage interview on the very next day at 9am. Not nearly enough time to prepare. Passing this stage, got into the second round in which the person barely spoke any English and she had zero interest on listening to me, she was even checking the phone and chewing gun. Extremely rude passive/aggressive behavior. After 2 weeks waiting, got a whatsapp message (yes, whatsapp... not email, not a call) with a generic rejection message without any feedback. After a while, a friend of mine working there referred me for the same position and the experience was absurdly similar, only that I made to the final stage, did the last interview with the manager and after 2 weeks a whatsapp message with a generic rejection again. Their HR is a joke.",Tiktok,914,hiring twice experience terrible first time applied online screening got scheduled first stage next day not nearly enough time prepare passing stage got second person barely spoke english zero interest listening even checking chewing gun extremely rude passive aggressive behavior week waiting got whatsapp message yes whatsapp not email not call generic rejection message without feedback friend mine working referred position experience absurdly similar made final stage last manager week whatsapp message generic rejection hr joke
 Describe your leadership skills?   ,Accepted Offer,1,Average Interview,Got a message from recruiter on my linkedin profile and they explained the interview process and the different stages involved. They also coached me through every stage and they were available if I needed further clarification,Tiktok,226,got message linkedin profile explained different stage involved also coached every stage available needed clarification
 How did you deal with a difficult situation?   ,No Offer,1,Average Interview,"The interviewing process consisted of a phone call, then video call and finally interview in person. It was pleasant and I was in constant contact with the HR manager via phone as well as mail.",Tiktok,193,interviewing consisted call video call finally person pleasant constant contact hr manager via well mail
" They asked my current situation (working or studying), and then if a case study of how I can help my client to advertise their learning English services   ",No Offer,1,Average Interview,"There are normally three rounds but it depends! I have only one round of phone call interview with HR and it is super casual. They found me on LinkedIn and we arranged for calls. I was almost in, but then decided to turn down because the location was in another city",Tiktok,266,normally three depends call hr super casual found linkedin arranged call almost decided turn location another city
 General Knowledge questions   ,Declined Offer,0,Average Interview,"They were very quick initially when I set them the resume & a telephonic round was immediately arranged the very next week. But the hiring process went slow later on, been 2 months, have received offer on whatsapp, still awaiting email confirmation",Tiktok,248,quick initially set resume telephonic immediately arranged next week hiring went slow later month received offer whatsapp still awaiting email confirmation
 Tell me about your content strategy.   ,No Offer,0,,"Terrible experience. I've got a contact from a recruiter selling the company as an incredible place to be. I started the process and was interviewed by 3 junior people that barely speak English. I noticed they didn't understand anything that I was saying and I thought this was ridiculous. Next, another round of interviews with more than 6 senior people at the company. On average, one interview to the other took 20 days do happen, without any feedback, letting me know what happened with the process. After 10 interviews, and 3 months they never gave me any return at all. I've prepared my self for over 6 months for all of the interviews, it was time-consuming all the research that I had to do and I believe this company is extremely disrespectful with candidates for ignoring them after all. Their recruiters are junior and don't have any idea on how to manage it. My advice: before losing your time with them, remember they are far behind the tech company recruiting standards and probably this horrible culture is also true for those that work there.",Tiktok,1058,terrible experience got contact selling company incredible place started interviewed junior people barely speak english noticed understand anything saying thought ridiculous next another senior people company average took day happen without feedback letting know happened month never gave return prepared self month time consuming research believe company extremely disrespectful candidate ignoring junior idea manage advice losing time remember far behind tech company recruiting standard probably horrible culture also true work
