interview,question,offer,target_variable,difficulty,source,length
"All interview questions are basic ""tell me about a time when..."". Management is told not to stray from the printed questions. All questions are asking for you to tell about a time you actually had to lead people or come up with a solition. Don't answer with what you would do... They want to know what you have done.", Tell me about a challenging request   ,Accepted Offer,0,Easy Interview,walmart,316
I interviewed for the cashier position at Walmart. I told them I want a full-time 9-5 kind of job. They said that's fine. I got hired and during orientation they wouldn't accommodate and told me to leave. Hey later sent me my paper work saying I was terminated for changing my hours on them., Why do you want to work for Walmart?   ,Accepted Offer,0,Easy Interview,walmart,291
"Underwent 2 interviews first one was great because I previously worked there before for almost 4 years and left on good standings thought second one was just a formality, after second one I received the dreaded I have a couple more to interview before I make my decision. You know that is auto no said I would be contacted either way the next day no call", Why should we hire you   ,No Offer,0,Easy Interview,walmart,354
Very briefs they ask you a few questions such as: name a time you diffused a customer issue with simple yet thorough customer service these questions generally take only a few moment and are asked buy a junior member of management such as a department manager or customer service manager after this part they will ask you what can you bring to the company if hired. They are not really interested in any skills you have they puppy mill people in and out in an attempt to find a few good associates, What skills can you add to the company   ,Accepted Offer,0,Easy Interview,walmart,497
"submitted an application got called in for an interview the next morning I got there just in time the manager made me feel very uncomfortable like I was interrogated the hold time , I still answered all questions asked but the most unprofessional thing I ever experience was that after the manager one on one interviewed me she ask me to sit back at the waiting room and wait for a second interview which sounded great I thought I had it in the bag 10 minutes later she called me back and said the second manager is busy with other things so she will be giving you a call ???? wow ok what ever !", why do you choose Walmart?   ,No Offer,0,Average Interview,walmart,595
"Responsible for receiving merchandise, unloading or unpacking it, marking it with codes to be identified, stocking shelves, and helping customers place orders. Works in stores, warehouses, stockrooms, and other storage facilities. May involve heavy lifting. You have to be able to work in a fast paced environment and strive to be accurate.", Tell me a time you have to go above and beyond to serve a customer   ,Accepted Offer,0,Easy Interview,walmart,340
"After being called, you usually schedule an interview within 2 days. Once there, you're asked 5 questions by 2 department managers, then the same 5, simple questions by a co-manager, then you re-schedule for a job offer.", Name one time when you were required to do something in a timely manner.   ,Accepted Offer,0,Easy Interview,walmart,220
I was called in for an interview. I waited a while before being welcomed to the backk. The gentleman interviewing me asked about how i handled certain situations in the past. He asked me questions like how I work group settings., Give an example of how you have worked as a team.   ,Accepted Offer,0,Easy Interview,walmart,228
"Walk in and apply, or apply online. You get called in and sit down for the short interview. Then you get hired on the spot like everyone else that comes in through the door."," Are you breathing? Are you willing to work like a dog for below minimum wage? If yes, then you're hired!!!!   ",Accepted Offer,0,Easy Interview,walmart,173
It was mostly customer oriented questions to see how well I reacted to difficult customer situations. They also asked questions to see how well I reacted when under pressure and to see how I managed my time when it came to deadlines. Another set of questions was to determine how well I work in groups with other people., Tell me about a time you went above and beyond for a customer.   ,Accepted Offer,0,Average Interview,walmart,320
"It was a fairly easy interview, i mean come on its walmart. If you can get hired on there then you cant get a job anywhere. They basically just ask the typical interview questions.", Tell me about yourself   ,Accepted Offer,0,Easy Interview,walmart,180
"I applied online. they called within the week. I had an interview with a daytime manager, the questions were simple. He hired me on the spot and gave me the papers for the drug screen that you had to take within 24hrs. Alot of training modules to take and go over. Its hard staying awake watching the ""welcome to walmart video"".", Name a time when you had to go above and beyond for the customer etc...   ,Accepted Offer,0,Average Interview,walmart,328
They called 3 times the day after I applied. I called back and the woman who answered was blatantly not interested in her own job. 'How can I help you?' in the most bored voice ever. I went on the interview out of curiosity. No wonder their employees look miserable. They are., What makes you a good fit for Walmart?   ,Declined Offer,0,Easy Interview,walmart,276
"Three step interview; each step was with a different person of management, first starting with a customer service manager (CSM). Not difficult at all. Too much waiting in-between. The CSM I was with forgot to inform the next manager I was there. The ""offices"" were busted up rooms with cheap tables/chairs. Was hired on the spot.", Explain one situation where you encountered a difficult problem (with customer service) and how you solved it.   ,Accepted Offer,0,Easy Interview,walmart,329
"Unattentive and rushed through. They didn't care whether I got hired or not, gave me the run around about pay and hours. Was very unclear on when benefits and everything would be taken care of.", When I could start.   ,Declined Offer,0,Easy Interview,walmart,193
"They ask you questions about previous job experience and essentially want you to say that whenever something went wrong, you brought it to the attention of the supervisor. Most other questions are ones relating to your availability and criminal record. The interviewer will probably show little interest in the process. Nothing challenging or tricky."," When was a time when a coworker created a hazardous work environment, and what did you do?   ",Accepted Offer,0,Easy Interview,walmart,350
There were three different interviews in the same day. The first round of managers were on lunch when I was scheduled so I had to leave and come back an hour later. The second one I waited for 45 minutes. The last interview was with the store manager, How have you helped a customer?   ,Accepted Offer,0,Easy Interview,walmart,250
They call you to schedule an interview. If they really need you and you pass the online test they will call you the same day that you applied. Then they will interview you twice in the same day. Then the next day is CBL training., Tell me about a time you used your leadership skills. Tell me about a time when you worked in a team stetting.   ,Accepted Offer,0,Easy Interview,walmart,229
Very relaxed and friendly. It seemed like more of a technicallity than something that determined if I got the job. Once I walked through the door I was pretty much hired pending a drug test.," Describe a time when you worked out a problem you had with a (coworker, group member eat.)   ",Accepted Offer,0,Easy Interview,walmart,190
Easy. Questions were pretty basic and easy to understand. Interviewer was personable and answered all my questions. Second interview was held with the co-manager. She was also personable and wanted to know what I wanted out of the job. She then explained the job opportunities that could happen if I excelled at my position., Explain a situation when you've had to set goals and achieve them.   ,Accepted Offer,0,Easy Interview,walmart,324
Waited 20 minutes in the HR office/orientation room. Lot of people in & out. Very nerve racking environment to have an interview. If you pass the first interview they will give you another with a different higher up manger & ask more interview questions., They read the questions off of a paper & check off the ones you did good on. There are about 10 questions.   ,Accepted Offer,0,Difficult Interview,walmart,254
had 2 face to face interviews with several employees who decided if I should work there once all that was done I was given an offer then sent for a drug test once it came back that I passed I was set up for the next orientation, they gave a lot of scenarios and asked the same questions in different ways but they never ask the same questions to the people they interview   ,Accepted Offer,0,Difficult Interview,walmart,227
"Extremely easy, mostly questions like ""tell me about a time when you had to deal with a difficult customer"". I answered a couple of those, went over my pay rate and they said okay time to take your drug test and gave me this paper and i had 24 hours to take the test. I took the test and passed, they also ran a background check on me so that whole process took about a week later got a phone call to come in for orientation and I was set.", Tell me about a time when you were faced with a problem at work.   ,Accepted Offer,0,Easy Interview,walmart,439
Interview was ok but intimidating because you have two people interviewing which kind of feels like you are being investigated. No hard questions just pressure to answer quick like a game show. You are told before interview ends if they want you., Name a stressful work situation and how you managed the stress.   ,Accepted Offer,0,Average Interview,walmart,246
Show up and sign in and wait for your name to be called . Once you are called to a back area of the store two managers sit down with you and ask you situational questions .,,No Offer,0,Difficult Interview,walmart,172
"It was nothing like I envisioned. Comes to find out, when I went in for the interview, others had an interview as well and they were not professionally dressed and they too were given a job. Also, the interview was supposed to start at 9 a.m. but it started at 10 a.m. This was truly an experience.", Have you ever been put in a situation where you had a different opinion from someone else and there was a disagreement because you were right and they were wrong?   ,Accepted Offer,0,Average Interview,walmart,298
"I was invited to this interview by prospective manager by phone on Sunday who told me on the spot hourly rate $9.00 and no benefits and/or promotion. Before that I've attended Walmart Hiring Event in Maricopa Workforce Connection (Gilbert, AZ) where I've filled out my profile. When I came to Walmart for Interview I've found that it was cancelled because I've entered in my profile ""only office positions"". They did not have for me any workstation on Walmart premises that I could fix my profile on the spot. They told that I have to go home, correct my Walmart profile on my home laptop and to come again. Floor manager that I was talking looked absolutely unfriendly. Also I got impression that there is no need to come for interview in white shirt with necktie. All other interviewees were dressed much more casual. My overall impression: ABSOLUTELY HORRIBLE.",,No Offer,0,Easy Interview,walmart,863
"Very long. Walmart doesn't offer set interviews. An open interview is established. When arriving there are an abundance of other individuals waiting to be interviewed. Only two interviewers for over nearly two hundred people. The wait is extremely long, so if you are crunched for time this is not an interview to be on time for. No sitting area standing for a maximum of 3-5 is expected. Once the process starts there is a kne on one session, then a group interview, followed by a routine drug test. Schedules take a very long time to receive.", How would you handle an unhappy customer?   ,Accepted Offer,0,Easy Interview,walmart,544
easy breezy. sat down with a woman and it was more of a getting to know you type interview. She asked about previous employment and was very nice. made an offer and i took it, what makes you a good fit?   ,Accepted Offer,0,Average Interview,walmart,174
"Very bad interview. Panel Interview members were rude, and did not seem interested in learning more about my experience. Read questions out of a print out that was given to them by HR. I was told that college degrees were not importan to do the job. Overall, a very bad experience.", Tell me something about yourself. Why are you applying to Walmart? Tell me about a challenge that you had with your supervisor?   ,No Offer,0,Average Interview,walmart,281
Horrible! Asked questions which were almost impossible to answer!! The person doing the interview made up questions as we went along. She was not prepared and so the questions were ridiculous!,,Accepted Offer,0,Average Interview,walmart,192
"Relatively simple; they ask where you've worked before, what you did, how did you problem-solve issues, what can you do for them. Be prepared to say what you've done in the past, whether at school, in class, as long as you can prove/say you're a problem-solver and can acquire skills needed for the job you're applying for.", What are some problems you've encountered in your previous work place and how did you solve them   ,Accepted Offer,0,Easy Interview,walmart,323
"Extremely brief and not thorough. For a programmer role, I got asked some VERY basic questions about for loops on a video interview, and that was it. I got a call back a week later and got the job.", What is wrong with this code? I was shown an example   ,Accepted Offer,0,Easy Interview,walmart,197
"Even though I am an employee I had to submit a formal application. I was then screened by the hiring manager. He then set up a phone interview with a panel of himself, another pharmacy manager, a pharmacy technician, and a HR person. After an hour of irrelevant behavior questions it was finally over. The demeanor of the panelists and the attitude they exhibited was very exhausting. It felt more like an interrogation than an interview. When I was hired originally I had another manager and he asked actual questions about my background in pharmacy and how I would react to or handle different situations. About six weeks later I received an email saying that they had decided not to fill the position at this time. Another pharmacy manager is now managing both pharmacies. As you can tell I am not a fan of psycho babble bs. All they prove is that you are a good bs'r and can memorize the ""correct "" answers.", Give me a situation when there was a conflict in the workplace and how did you improve the situation?   ,No Offer,0,Difficult Interview,walmart,911
The interview process had many steps and I was interviewed by about three people in the span of an hour. Each interviewer represented a different department within the company in the event I worked in a department different to the one I started., They asked if I was flexible to work any hours they needed.   ,Accepted Offer,0,Average Interview,walmart,245
"Quick, nonpersonal and brief series of questions. Follow up with an ASM immediately with no interaction and canned questions without thought to my answers. The environment was loud and distracting. The entire personnel office had about 10 interviews going simultaneously.", Describe a Difficult Customer Experience that you have had?   ,Accepted Offer,0,Easy Interview,walmart,271
"it was great, they ask very good questions that you actually experience at work, customers do treat you like crap, and they will also treat you and reward you. They will speak good about you and your services as a sales person", when can I start   ,Accepted Offer,0,Average Interview,walmart,226
"One interview, drug test, and background check. Three days I was hired. My mistake totally. Within my first six months I passed the management exam twice with no promotion and I know these morons coulld tell I know retail from the day I walked in thee store.", No interview questions. Lousy HR.   ,Accepted Offer,0,Easy Interview,walmart,258
"Job Interview consisted of two parts with two different interviewers; both were managers. Both parts contained five questions involving generic situations, usually in the the form of ""described a time when you..."". Many of those questions where similar to each other and were very difficult to answer. Though you were allowed to use school as an example, I think the questions expected that you used work experience as an example. Second part had a section where you were allowed to ask questions to the manager. The entire interview process took about 45 minutes."," Describe a time where you had to go above your duties to assist a customer. What was the problem with the customer, what action did you take to solve the problem, and what was the result?   ",No Offer,0,Difficult Interview,walmart,564
"Three rounds, very easy basic, gave info, was asked questions, showed could lift things, was asked about walmary, Then was taken and given a test did the test then got the job", Why do you want to work for walmart   ,Accepted Offer,0,Easy Interview,walmart,175
"Panel interview, two people, operations manager and store manager from another location. You will be asked a series of behavioral questions and then their are sub parts to each question...tell me about a time you solved a problem/ what were the steps? What was the outcome? Would you have done anything different?", Tell me about yourself   ,Accepted Offer,0,Easy Interview,walmart,313
"FELT like a pack rat and a herd of cattle, they didnt even look at my application set me up for drug test said I had the job and then said OPPS< we over hired", Why do you want to work for walmart   ,Declined Offer,0,Easy Interview,walmart,158
"To Long, interview with 4 to five people before I was hired. then you have to wait outside for long periods of time while they was lunch. Then they would call you back in to finish the interview process"," Why I wanted to work for Wal-Mart, have work in retail prior, How will can I handle situation with a customer.   ",No Offer,0,Easy Interview,walmart,202
It was terrible never work for walmart they asked me for my moms age and if she was single the guy was trying to get my mom by giveing me a job and that's was just messed up so I got up in the middle of the interview and left, How old is ur mom   ,No Offer,0,Easy Interview,walmart,225
"group interview, where a certain number were selected from the resumes sent in. they looked over resumes and them ask what position everyone was applying for, I said any. Then the interviews decided who they wanted to hire. the ones not picked (one other girl and myself) were called out in the hall and told that we were not selected and we left, and that was it. pretty sad since I have experience.", only question was - what position are you applying fore.   ,No Offer,0,Easy Interview,walmart,400
Long and tedious! I am still waiting for someone to call and tell me when to come in for orientation! When I arrived for the interview there were multiple applicants and all had been waiting for hours!!! I had to wait for over an hour! Now I took the drug test and guess what? Waiting for days!!!!!!, Would you be willing to work in produce?   ,Accepted Offer,0,Easy Interview,walmart,299
Pretty lame i was not impressed with the organization. I did not like the questions they ask. It was a waste of time talking to the silly people and it was pretty lame I was not impressed with the organization I did not like the questions they ask it was a waste of time talking to the silly people, What my favorite color was   ,No Offer,0,Easy Interview,walmart,298
Very unsatisfying and unorganized. I had an interview with 2 different people. I waiting for over an hour. The first one didnt know what he was doing. The second person was not saying much at all., How do you overcome stress?   ,Accepted Offer,0,Easy Interview,walmart,196
Short and to the point. Basic questions asked and normal answers given. They are looking for employees who will do what they want when they want it done., Education Level   ,No Offer,0,Easy Interview,walmart,153
"At first there was a department manager to do the first interview. If you were alright then you got a second interview that same day with an assistant manager, but someone else had to be in the room with you as well.", The only thing they were concerned about was a gap I had in my employment history.   ,Accepted Offer,0,Easy Interview,walmart,216
"Uhh the assistant manager asked basic generic interview questions, basically if you can pass a drug test you can get the job. Basically my advice for anyone considering working at Walmart would be to accept ANYTHING else other than maybe fast food. Trust the 9$ an hour doesn't justify the crap you have to put up with and the fact that the management could care less about you as a person.", Can you spell your name? What's 4+4? what color is the sky?   ,Accepted Offer,0,Easy Interview,walmart,390
It was so easy the unlock g department needed people so bad they basically instantly hired me and they are not hire some won with absolutely no experience but will if you had any job before, Customer service questions   ,Accepted Offer,0,Easy Interview,walmart,189
"I put an application in to a different store in the same city. It had been over a month, kind of forgot about it until this store called me at 8:30am and asked me to come in for an interview at 10:00am. I found that to be extremely unprofessional and it stressed me out leaving me completely unprepared. It didn't end up being that big of a deal because the interview was so simple, still stressful at the time though. I spoke to two managers, a department manager and an assistant manager. They basically just asked my interests and typical interview questions.", Describe a time where you had trouble finding a solution to a problem. What did you do.   ,Accepted Offer,0,Easy Interview,walmart,562
"The interview took less then five minutes. I was then offered the job,given paperwork for drug test sent on my way. I was later called back and said to start Orientation the following Monday.", Describe a time where you did not like an answer given to you by an authority figure? What did you do to change the answer? What steps would you do again if the need a raised?   ,Accepted Offer,0,Easy Interview,walmart,191
It was absolutely dumb. He asked me about my experience with ham... and salami... Then he told me i would be making 11.50 and I ended up getting paid atleast 9.50. Alls they do really is tell you about there 10 ft rule., What is your experience with ham?   ,Accepted Offer,0,Easy Interview,walmart,219
It was great I was a good listener and everything he asked me I was on point about Im seeking for employment I plan to make a good impression and even better performance, what made you apply to walmart   ,Accepted Offer,0,Easy Interview,walmart,169
Very scripted interview. Interviewer appeared yo have already made her mind up when entering the room. She had difficulty reading the scripted interview questions. This was a new store opening in the locust grove georgia area., What was the most difficult decision you have ever had to make.   ,No Offer,0,Average Interview,walmart,226
"I applied at the Kiosk and passed the assessment, that took almost 2 hours. I was called a month later to come in for an interview the next day. I arrived at 11am for an 11:15 interview, after about 30 mins a man came out took the person before me and said he'd ""be back in a few minutes to take me back to the interview."" A half hour later, an associate checked what was going on and said ""someone would be right out to do my interview."" After yet another hour(I've now been there for 2 full hours!!!) I told an associate behind the walmart.com services counter to cross my name off the list and that I was leaving because any company that would treat prospective employees that badly, I don't want to work for. Between the application, assessment, and the non-interview, it was a complete waste of almost five and a half hours out of my time to get absolutely nowhere. It makes me not want to even shop there if that's how they're going to treat there employees/interviewees."," None/ never got passed the two hour+ waiting time after I was told the entire process would take ""less than an hour"".   ",No Offer,0,Easy Interview,walmart,977
Call for interview from walmart schedule date and time went in for a one on one interview after interview was told a background check needed to be done and within a week called for job offer, One question explain a situation that you went above and beyond for a customer   ,Accepted Offer,0,Easy Interview,walmart,190
"Interview was very casual and not incredibly informative. General interview questions. Asked back to the HR office and sat at some cheap plastic break room tables and got a rudimentary rundown of what was to be expected and some insight into the ""walmart culture"".", Can you think of a time when you had to resolve a conflict between coworkers?   ,Accepted Offer,0,Easy Interview,walmart,264
"Phone interview, then in person interview. You then get drug tested. Then you fill out internet quizzes. They ask you behavioral questions mostly geared towards what would you do if someone stole something.", Whats your strength and weaknesses   ,Accepted Offer,0,Easy Interview,walmart,206
"Got the call to come in. I had to speak with 3 different interviewers who asked me simple questions about my actions and reactions. Though a bit lengthy, it went smoothly. Left, got a call to come in for drug test. Started work as a PT Sales Associate 1 1/2 weeks later."," Describe a situation where you had a problem, and how did you resolve it?   ",Accepted Offer,0,Easy Interview,walmart,270
There was no interview. You basically show up and you got the job. It would be really hard for you to mess up a walmart 'interview'. I think now they don't even interview people., When can you start   ,Accepted Offer,0,Easy Interview,walmart,178
"It was a two step interview process. First, they call and ask you several questions about you and your availability. Then they ask if you are available to come in for another interview. The second is a group setting basically getting a tour of the store and meet managers. Then the review policies and make it mandatory for everyone to get drug tested within 48 hours. If you make it pass the second interview and drug test you basically have the job", What could you contribute to our company?   ,Accepted Offer,0,Average Interview,walmart,450
I turned in a resume. I was called back within the week. Short interview with manager that was just basic questions. After the interview I filled out some paper work. Was called back within a week with an offer., They asked questions about availability and how I handle conflicts with people.   ,Accepted Offer,0,Easy Interview,walmart,211
"Very easy, they did not ask me many questions and it was a group interview. The interviewer was not very professional at all. I did not have a good time and did not accept the job", What's your strength   ,Accepted Offer,0,Easy Interview,walmart,179
Annoying felt like they were rushing it and had been asking a series of questions off of a piece of paper. Honestly didn't feel very professional at all. Was honestly starting to regret applying and didn't feel very welcomed or appreciated at all. If you have the choice don't even apply there., How have you reacted when it came to dealing with someone who was upset and starting to get out of control? Please explain what you did and why.   ,Accepted Offer,0,Average Interview,walmart,294
Non sense questions.. Constantly interrupted seems to be all the manager cared about was the profit of him and his bonuses i will not recommend wal mart managment y to anyone hourly jobs are slightly better but they still don't really care about their employees, How still me hiring you benefit me?   ,No Offer,0,Difficult Interview,walmart,261
It was really brief and they use the same questions over and over along with is it gets a bit confusing because they'll the first person who interviewed you leave and you wait for a bit which is a bit nerve racking and then a second person comes and you repeat yourself to them all over again.,,Accepted Offer,0,Easy Interview,walmart,293
Basic questions. It was easy. She asked several questions about my retail experience. She asked me if I wanted to work day shift or overnights. Then I was offered certain day time positions., How did you deal with a bad situation with a customer   ,Accepted Offer,0,Easy Interview,walmart,190
Waited outside for 3 hours to get through the 3 interview I was given. First with a department manager who took 30 minutes past my scheduled interview time to show up. Then they had to track down a salaried manager another 45 minute wait. Then they were going to find another manager but ended up sending me the same one from the second interview back out to do the third., How I interacted with the customer?   ,Accepted Offer,0,Easy Interview,walmart,372
"very short, drug screening a set of two interviews using the same questions and very irratible people also the areas were cramped and the interviewers didn't have much feedback after they also failed to give much of a effort into the interview.", have you ever had to work with someone who didn&#039;t speak the same language as you?   ,Accepted Offer,0,Easy Interview,walmart,244
I applied and got a call that evening. Went in for first interview and it was a typical behavioral questions in the interview. Never discussed salary but they knew from my application that I was asking def more than min wage. Got a call back for a second and final interview just to be offered a job for a little above min wage. Waste of my time and theirs., How did you deal with an irate customer and what was the outcome   ,Declined Offer,0,Average Interview,walmart,357
The interviewing process was a panel interview of 3 Store managers. Thirty mins with one group then moved to another group of 3. Great experience. Questions were all STAR format., Tell me what contributions you can immediately add to our company.   ,Declined Offer,0,Average Interview,walmart,178
"It took forever to finally get a interview after calling millions of time..Finally got a interview, was told it went great, but never got a call back..waste of time. Never heard back and was lied too when i called to check on status of interview", How u handled a upset customer   ,No Offer,0,Average Interview,walmart,245
It was pretty simple got a call come in for interview I was asked some questions from person be my department manager then assistant manager asked me why I want work for wal-mart and went over job description, If a customer is needing a product and we don't have it out on floor how you handle it   ,Accepted Offer,0,Average Interview,walmart,208
"interview process is straight forward,but they like to take their time contacting you and dragging you along,if your expecting a cal in a few days or a week,id forget it,unless they really really need people like that day."," If you were in a managerial position and had to handle a dispute between your co-workers and a confrontation from a shopper about your co-workers,how would you handle it.   ",Accepted Offer,0,Average Interview,walmart,222
Just answer all questions and use past experiences. The questions seem overwhelming at first but just take your time and listen carefully and answer every part of the question. It took them about a week to hire me after the interview., All the questions just run together and seem jumbled I don't think even the managers follow them very well when asking them.   ,No Offer,0,Easy Interview,walmart,234
I drove 2 hours for an interview and that was a waste of time. Interviewed with an LPM and shift manager. Interview went well. Had a phone interview also. The recruiter said I made it past the 1st round. But was not selected. Whatever. Thanks for wasting my gas and mileage driving out to Akron., Questions were about customer service problem solving time management and other management situations   ,No Offer,0,Easy Interview,walmart,295
"Applied online, interviewer called, went in, store manager/current manager interviewed me. It was a huge waste of time because the job didn't really exist. They pretty much said that they were trying to fill a corporate quota of looking into outside professionals.", Show me a copy of your degree   ,No Offer,0,Easy Interview,walmart,264
"There are three interviews, first was basic questions, second was hardly an interview, was told they were very impressed with my resume and just asked casual questions to pass time, third interview was with a stricter gentleman with tough questions."," Why should we hire you, what is something you have to offer for us?   ",Accepted Offer,0,Easy Interview,walmart,249
Very easy. Interview over the phone. Then they call you to schedule interview with 2 different managers. You will be required to wait till a personnel member assists you. They will get you in and ask some info before sending you to the managers., How would you calm down an angry customer   ,Accepted Offer,0,Average Interview,walmart,245
10 mins of easy questions. It was quick and short and it didn’t really feel like an interview. Management was kind of sketchy and seem liked they just wanted to hire someone to fill in the spot, How good are you at getting along with others   ,Accepted Offer,0,Easy Interview,walmart,193
tell me about yourself type of question education and other relevant experience how your past experience are relevant to the position you are applying for. some behavioral questions too what have you done when you encounter a situation where you to manage your time and so on, experience from other jobs   ,Accepted Offer,0,Easy Interview,walmart,275
"Interviewed by four different people. Crowded, unprofessional environment. Waited long periods between interviewers who asked same questions. Then drug testing site to wait for phone call afterwards. Background testing has to be completed as well. So it depend on your eagerness to work long hours after that step. The pay is low", What position do you see yourself within the company long term   ,Accepted Offer,0,Easy Interview,walmart,329
The interview process is extremely simple. All they do is have an assistant manager bring you into a room and ask you questions about your job experience and/or asking for your best option when providing you with an problem in the workplace., If a customer has a complaint how would you handle the situation?   ,Accepted Offer,0,Easy Interview,walmart,241
you have to apply online and wait for them to call you for an interview and go dress as nice as you can because show them that you are serious about the job, why would you be right for this job   ,Accepted Offer,0,Easy Interview,walmart,156
They had 3 people sit down in front of me and 1 was lawn and garden 1 was electronics and I have no clue what the other was. They were not prepared. I was asked questions about my personal life not pertaining to the job. It was absolutely terrible., They asked me if I had an extra application they could look at?   ,Accepted Offer,0,Difficult Interview,walmart,248
"Frist is getting a phone call from personal management to be scheduled for an interview, there would be a waiting process to be seen by personal and then once called we shared greetings with each other.", What do I believe in working at Walmart?   ,Accepted Offer,0,Easy Interview,walmart,202
The interview was brief. Manager Hana was there and she asked me some general questions about me being able to work hard and do closing. She was also very concerned about my availability which I had to increase and work sat and Sunday to get the job., Any previous deli experience?   ,Accepted Offer,0,Easy Interview,walmart,250
I had 2 interviews and a third which was the actual hire day. During the first and second interviews I was asked a series of pretty basic scripted questions. The third was just to discuss pay rate and sign papers. Just be ready to answer some basic employment and experience questions and you should be fine.," Describe a scenario where you were in conflict with a superior, what did you do to resolve it?   ",Accepted Offer,0,Easy Interview,walmart,308
Got a phone call for an I terview I went n did a great job the process was easy I got the job the manger was alright I was a little nervous, Can you provide good service   ,Accepted Offer,0,Easy Interview,walmart,139
interviewing for this company is a joke had two interviews and was later turned down for the excuse that I did not have stocker experience. How hard it is to open a box and put on a shelf., no difficult questions nor none were unexpected   ,No Offer,0,Average Interview,walmart,188
Was brought in for an interview & asked all sorts of questions I wasn't trying to have. Also they made me come in before 9 which is definitely not kosher. Regardless they liked what they heard and told me to go pee in the cup. This is when things got iffy, Would you be able to pass a drug test if offered the position today?   ,No Offer,0,Difficult Interview,walmart,255
"Met a recruiter at a conference, who followed up the next week. Basic phone interview covering background and skills, then on site interview. The onsite interview lasted all day and required meeting with approximately 12 people as well as an afternoon tour of the distribution center. Interestingly enough, at the interview site, two other candidates for what I assumed was the position were there. We were each assigned to a room, and the panels then rotated to each different room."," Nothing out of the ordinary, just the typical, describe a time when... The overall length and format at the interview made the process difficult. Every hour or so you met another 4 people who all asked you different questions.   ",No Offer,0,Difficult Interview,walmart,483
Long and boring weeding out thieves and people that would fight with other employees look for the desperate people that will work for immune wage. Treated like crap and not say anything or complain., would you ever take something without asking?   ,Accepted Offer,0,Easy Interview,walmart,198
Quick easy interview . Simple questions . Not hard at all . Anybody can get a job here. Background check and drug test . Orientation in a week . Blah blah blah blah blah blah blah ., Why do you want to work for walmart   ,Accepted Offer,0,Easy Interview,walmart,181
Three interviews one with a store manager then one with a market Manager and the a panel Interview. They were all situation based interviews (S.T.A.R) and none of the questions where difficult. They will paint a much brighter picture of walmart the what it actually is., None of questions where difficult or unexpected.   ,Accepted Offer,0,Average Interview,walmart,269
"Interview process went well, they wanted me to work for them overnight, background check came back AFTER over a month of waiting saying i couldn't work for them when i do not even have any convictions!", Why do you want to work at walmart. . . because i need a job..really who wants to make $7.95/hr slaving?   ,Accepted Offer,0,Easy Interview,walmart,201
My first interview was with a co-manager who asked questions about how I would handle certain situations in the workplace. My second interview was with the manager that hired me for the position. The manager asked basically the same questions as the co-manager., How would I assist a customer that was looking for a certain item and did not know where the item was located.   ,Accepted Offer,0,Easy Interview,walmart,261
You go through 3 interviews after filling out the application. Like you really need to do 3 interviews. You are applying to work at Walmart! Not for some highly classified government job or something. Very tedious and its basically all the same questions with different wording. Come on Walmart., Why do you want to work at Walmart?   ,Accepted Offer,0,Average Interview,walmart,295
"Went in for first interview, got a second interview, and then a week later they called me for a third interview. What a waste of time for a $9.30 an hour job. I put down a higher number, and they called me in for the interview. The third interview was a waste of my time, I drove a hour + to get there, and the manager took 5 minutes with me, and I was so mad, I wouldn't take a position if they did offer it to me. The application said $13 or more, there offer was $9.30. I don't think so!"," They were not any harder than other interview questions. They are usually really easy, and take a few seconds to answer. The interviews were easy, just don't let them blow smoke.   ",No Offer,0,Easy Interview,walmart,490
"I was called in for an interview for a temporary grocery stock person. I was told unless I have retail experience, I would not be able to handle the job because it is challenging and you have to help customers. I told her I had retail experience from several years ago and have run my own jewelry business.The girl barely asked my any questions and did not mark any of them down. The questions were your typical store questions."," None, all questions were easy.   ",No Offer,0,Easy Interview,walmart,428
Waited around for an hour and a half to finally get in there. The girl that interviewed me worked there for 5 years (at my now current position) but didn't know what she was talking about. Had to go through 2 of these and both were equally as miserable, What can you bring to the company?   ,Accepted Offer,0,Easy Interview,walmart,252
"3 Interviews. 1st Interview is with a Customer Service Manager. They asked basic questions like ""What would you do in such and such situation"" and the 1st interview was very easy going. 2nd Interview is with an assistant manager. Same type of questions, only more unclear. A lot of ""Name a time where you...."" questions. Also pretty easy. Final interview is your job offer, they'll tell you your base pay and ask you to take a drug test. If you pass, they'll call you to come in for orientation. However, during the final interview, the last assistant manager literally just got up and left to go out for lunch mid interview."," ""Name a time where you had to convince someone to let you make an offer. How did you convince them? Did you do the job you wanted to do? How was that person's satisfaction?""   ",Accepted Offer,0,Easy Interview,walmart,625
Honestly we were in a room for 2 hrs just waiting because they were giving the ones that were extremely late a chance. Then it was the video interview then computer it was extremely long. The training is horrible. Luckily i already knew what i was doing,,No Offer,0,Easy Interview,walmart,253
"Was a panel interview by my future ""peers"", none of which are still with the company. They all knew me, so they just asked me how my personal life was. Failed to ask many work related questions.", Do you follow AP-09   ,Accepted Offer,0,Easy Interview,walmart,194
"2 interview process, don't wear jeans, plenty of people got turned away for that reason. They read basic interview off papers, ex. Name a situation were you a had to help a co worker.", What was a problem you faced and how did fix it?   ,Accepted Offer,0,Easy Interview,walmart,183
