question,offer,target_variable,interview,difficulty,source,length,text
 Past experience   ,Declined Offer,1,Systematic and streamlined interview process. Overall speaking is a very pleasant experience. The interviewer was very cheerful and experienced. The hiring process was also quite fast and effective to me.,Average Interview,Shopee,204,systematic streamlined overall speaking pleasant experience cheerful experienced hiring also quite fast effective
 String manipulations   ,Accepted Offer,1,"Overall process takes 5 rounds. First one is coding test (1 hour), then HR screening (basically talking about what is the next technical interviews will be). Last 3 rounds are technical interviews with Hiring Managers and future team lead.",Average Interview,Shopee,239,overall take first coding test hour hr screening basically talking next technical last technical hiring manager future team lead
,No Offer,0,"Phone interview was short and sweet. A formality to inform you about the coding quiz. However, coding quiz was extremely horrendous. The platform used, Glider.ai, is very privacy intruding as it would record your face, voice and screen activities. For the coding questions, you are expected to handle input and output unlike Leetcode where you only have to implement the method in the template. If you are unlikely, the session might abruptly end.",Average Interview,Shopee,447,short sweet formality inform coding quiz however coding quiz extremely horrendous platform used glider ai privacy intruding would record face voice screen activity coding expected handle input output unlike leetcode implement method template unlikely session might abruptly end
 SQL test   ,Accepted Offer,1,Logic and SQL online test via email that is delivered by the HR department. The test are given after I submit my application via online website with my CV attached.,Difficult Interview,Shopee,164,logic sql online test via email delivered hr department test given submit application via online website cv attached
 How do you analyze a messy data from e-com website?   ,Declined Offer,1,"Fun and less towards technical, more about personal sharing and soft-skills showcase. The HR was able to point out that the true balance between working hour and life balance and how people cope with it.",Average Interview,Shopee,203,fun le towards technical personal sharing soft skill showcase hr able point true balance working hour life balance people cope
,Declined Offer,1,"An intern called me and asked me a few questions. It was really quick. If I proceed, I'll be interviewed by a manager in the department I preferred or was fit for based on experience.",Easy Interview,Shopee,183,intern called asked really quick proceed interviewed manager department preferred fit based experience
,Accepted Offer,1,"I was interviewed online by Zoom Meeting for business development - seller incubation role. The interview was really chill, HR & user both were really friendly. I was interviewed with 13 others candidates (HR) & 5 other candidates (User).",Easy Interview,Shopee,238,interviewed online zoom meeting business development seller incubation role really chill hr user really friendly interviewed others candidate hr candidate user
,Accepted Offer,1,"The process quite quick. At first, you have to follow the math test, you will have 20 minutes to finish the test. If you pass the math test, they will send you an email for the next step which is The user Interview. The interview will be attended by the other candidates (around 4 people)",Average Interview,Shopee,288,quite quick first follow math test minute finish test pas math test send email next step user attended candidate around people
,No Offer,1,"I was contacted through the employee referral program around 3 months after I applied. The first stage is a math test which is quite difficult, similar to GMAT, and after you passed the math test, the next stage is a phone interview with HR on the next day. After you passed the HR interview, the next step is the user interview, which is the category assistant manager. Unfortunately, I do not pass this stage :(",Difficult Interview,Shopee,413,contacted employee referral program around month applied first stage math test quite difficult similar gmat passed math test next stage hr next day passed hr next step user category assistant manager unfortunately not pas stage
 What if customers complain a lot about their deliveries?   ,No Offer,0,"It was a good but challenging interview. The questions are very specific because they want to make sure they hire the right person. If they don't get the answer they're looking for, the interview is practically over.",Average Interview,Shopee,216,good challenging specific want make sure hire right person get answer looking practically
,No Offer,0,"HR approached me and asked if I was interested in the job. It wasn’t a generalist role. But a specialist role. Went through 2 rounds of interviews - HR and a representative from the hiring team. In the first round of interview, HR went through my resume and was very delightful. However in the 2nd round, the hiring team went through my resume and asked questions that weren’t related to the job. The person even questioned my current company’s project management ways and compared it with Shopee’s even though it’s a totally different industry. It’s like comparing Apple and Orange and expecting both to taste and look the same. Felt like the person was asking me questions for the sake of asking and wasn’t keen on knowing my competencies. Furthermore, having only 1 person to interview candidate could result in bias.",Easy Interview,Shopee,820,hr approached asked interested job generalist role specialist role went hr representative hiring team first hr went resume delightful however nd hiring team went resume asked related job person even questioned current company project management way compared shopee even though totally different industry like comparing orange expecting taste look felt like person asking sake asking keen knowing competency furthermore person candidate could result bias
,Declined Offer,1,"There were 3 rounds of interviews in total, with HR, Hiring Manager and Department Manager respectively. The process was well organised and fast. Everyone I have spoken with in Shopee is very genuine, knows their stuff very well and down to the earth. Special thanks to my HR contact Jia Yu, although the whole process was arranged online, she has been very prompt to follow up on each step, and also very pleasant to talk with!",Average Interview,Shopee,428,total hr hiring manager department manager respectively well organised fast everyone spoken shopee genuine know stuff well earth special thanks hr contact jia yu although whole arranged online prompt follow step also pleasant talk
,Accepted Offer,1,"My interview process was fully virtual (due to COVID 19). The first step is an online technical assessment which comprises both algorithmic questions and general CS knowledge (multiprocessor architecture, multithreading, memory caches, complexity, networking, etc). Next comes a short non-technical call with a recruiter, followed by a 1-hour technical interview (again, mostly coding but also general CS knowledge questions). The last stage is one 1 1/2 hour technical interview similar to the first one and if you pass it, directly a final 1 hour interview with a team manager. This latter has no coding involved, but is oriented towards system design and explaining your own projects.",Average Interview,Shopee,687,fully virtual due covid first step online technical assessment comprises algorithmic general knowledge multiprocessor architecture multithreading memory cache complexity networking etc next come short non technical call followed hour technical mostly coding also general knowledge last stage hour technical similar first pas directly final hour team manager latter coding involved oriented towards system design explaining project
 The time when you are most frustrated and how did you overcome?   ,No Offer,0,"Had a video interview with hiring managers, they were very informal and irrespective. They even complained the company that everyone would be expected to work over time. I didn’t hear back after this final interview until I emailed them to ask for the outcome.",Average Interview,Shopee,260,video hiring manager informal irrespective even complained company everyone would expected work time hear back final emailed outcome
 Introduce yourself. Talking about previous experiences.   ,No Offer,1,"They have two interviews first one is phone call with HR. Then second one is with team lead. The process is quite fast, which take around 2 weeks to done everything.",Average Interview,Shopee,165,two first call hr second team lead quite fast take around week done everything
,No Offer,0,"The interview process starts from HR interview, GMAT, User Interview, Case, Final Interview. The process was long, but quite straight forward. It is quite annoying to have to do a case and present it because it took a lot of time and effort to make.",Average Interview,Shopee,249,start hr gmat user case final long quite straight forward quite annoying case present took lot time effort make
,Accepted Offer,1,"This role is for a BD Intern. Someone from my university shared in a group of alumni that there was an opening for the position and gave us an email to send our CVs to if we want to apply. I got an invitation to do Math Test the next day (around 12PM), I don't recall if I did well, I think not too well, but I got through to the next step. I was asked to join a group interview with HR at 3.30 PM. It was simple, we were asked questions and answered 1 by 1 as instructed by the HR rep. In the end, we were told about our salary and we were asked if we still want to go through with the application process. At 4 PM, I got another invitation email for an interview with my Reporting Manager the next day at 5 PM. I got my offer at 7 PM the same day.",Easy Interview,Shopee,749,role bd intern someone university shared group alumnus opening position gave email send cv want apply got invitation math test next day around pm recall well think not well got next step asked join group hr pm simple asked answered instructed hr rep end told salary asked still want go application pm got another invitation email reporting manager next day pm got offer pm day
,Accepted Offer,0,"There were 5 stages for my hiring process. First, I received a HR call after submitting my application on their career page. Then, I was asked to complete an online logic and data test. Afterwards, I had an video interview with a senior PM. Soon, I was told to complete a case test within 3 days. In less than a week after submitting the case test, the HR arranged an video interview with a PM lead. Phew, it was sure a long process. The entire process took about a month. The HR was very helpful throughout the process and very willing to share about Shopee. Same goes for my interviewers. Overall a rather challenging hiring process,",Difficult Interview,Shopee,635,stage hiring first received hr call submitting application career page asked complete online logic data test afterwards video senior pm soon told complete case test within day le week submitting case test hr arranged video pm lead phew sure long entire took month hr helpful throughout willing share shopee go overall rather challenging hiring
,No Offer,1,"Good interview process, first they have a telephone interview, then they will trigger a resume screening process. If you pass it, you will have a 1-1 coding interview. In case you can advance in the hiring process, there will be 1-1 technical interview with the team leader. The hiring process will be explained clearly in the email.",Average Interview,Shopee,333,good first telephone trigger resume screening pas coding case advance hiring technical team leader hiring explained clearly email
,No Offer,0,"4 rounds in total: (1) coding test, (2) HR interview, (3) case interview with associate, (4) case interview with team lead. Coding test was done on an online platform, HR interview was a phone interview, and case interviews were done on Zoom. Last round was handled unprofessionally, interviewer was snobbish and downplayed the role as unattractive.",Difficult Interview,Shopee,349,total coding test hr case associate case team lead coding test done online platform hr case done zoom last handled unprofessionally snobbish downplayed role unattractive
 What can we improve on our current site now?   ,No Offer,0,"There is 4 part to this interview process. The first one being a phone call, then a few tests including one GMAT one. Do expect to say you agree to work long hours with the company.",Average Interview,Shopee,181,part first call test including gmat expect say agree work long hour company
 Why Shopee?   ,Accepted Offer,1,"I applied for Shopee through email since I was unable to pass the GLP exam. The process was fairly simple (and fast) and the recruitment officers respond really quickly. The first part was an initial phone call from a recruitment officer. He suggested a role I'd be a good fit for, before emailing a take-home exam. The exam was checked by the head of the team I applied for. Upon passing the exam, I went through 2 more rounds of interviews before I got the result.",Average Interview,Shopee,466,applied shopee email since unable pas glp exam fairly simple fast recruitment officer respond really quickly first part initial call recruitment officer suggested role good fit emailing take home exam exam checked head team applied upon passing exam went got result
 Create UI sample to help sellers manage stock   ,No Offer,0,"After speaking with the recruiter I was given a take home quiz which what I understand was to show a basic understanding of UI and UX. Questions were pretty generic, but apparently what I did was too simple. Tbh wasn’t too keen on HR expecting me to make some detailed prototype just for the sake of getting my foot into the first interview, if they indeed intended it to be that way.",Easy Interview,Shopee,384,speaking given take home quiz understand show basic understanding ui ux pretty generic apparently simple tbh keen hr expecting make detailed prototype sake getting foot first indeed intended way
,No Offer,1,"I just passed the HR interview, HR is very good, very patient, if you do not understand, she will explain in detail. After passing the HR interview, a written question will be issued, which requires completion within two days.",Easy Interview,Shopee,226,passed hr hr good patient not understand explain detail passing hr written issued requires completion within two day
 Find the most common element in an array   ,No Offer,1,"Online test with mcq, short answer questions and coding question, followed by HR phone screen explaining the next steps. Finally 3 rounds of technical interviews with senior software engineers up to the team lead.",Easy Interview,Shopee,213,online test mcq short answer coding followed hr screen explaining next step finally technical senior software engineer team lead
 Pick feature to improve on   ,No Offer,1,Hiring and interview process starts with initial chat with HR for 30-45 mins. After which HR will forward profile to team. HR will get back to you within 1 week.,,Shopee,161,hiring start initial chat hr min hr forward profile team hr get back within week
,No Offer,1,"There were 3 phases of recruitment process, online math test, Human Resources interview and then user interview. The HR interview conducted in english, they just want to know about yourself. There was a mini role-play in the user interview.",Average Interview,Shopee,240,phase recruitment online math test human resource user hr conducted english want know mini role play user
,Declined Offer,1,"Interview was very chill. There were 2 rounds of Interview. First, a phone interview, where they will ask about availability dates and they will schedule another date for the interview if they find that you are suitable. Then, an online one interview will be scheduled a week later. The whole process took about 3 weeks in total.",Average Interview,Shopee,329,chill first availability date schedule another date find suitable online scheduled week later whole took week total
,No Offer,1,Early announcement -> interview appointment -> final sceduling -> Explain about yourself and also about your detail -> enough work experience -> expected salary -> if you have any good question for the job just ask -> final announcement,Average Interview,Shopee,236,early announcement appointment final sceduling explain also detail enough work experience expected salary good job final announcement
,Accepted Offer,1,"If qualified, you will be asked to take a test. Followed by an interview with HR if you passed the test. They will contact you again if you are qualified for the next rounds of interview. The process takes a while. It depends on your performance and the HR.",Average Interview,Shopee,257,qualified asked take test followed hr passed test contact qualified next take depends performance hr
,Accepted Offer,0,"I was found on Linkedin by Shopee's HR. 1st round with HR, 2nd round with line manager, 3rd round with head of the team, 4th round with another team manager.",Easy Interview,Shopee,157,found linkedin shopee hr st hr nd line manager rd head team th another team manager
 Why do you wish to work in Shopee?   ,No Offer,0,"Have to undergo 3 interview stage, a phone appointment, a take home test and a Skype interview. The test has something to do with production support. Did not manage to advance the last level. HR was responsive to my doubts and clarification. Would appreciate if they get back to me on my shortcomings so that I can better prepare myself for future interview!",Average Interview,Shopee,358,undergo stage appointment take home test skype test something production support not manage advance last level hr responsive doubt clarification would appreciate get back shortcoming better prepare future
 why shopee?   ,Accepted Offer,0,"3 rounds. 2 technical and a final round with head of DS. not a promising firm. Think they just hire massively and blindly. I chose not to join. They ask very basic questions, a fresh grad with no ds knowledge would also pass. Although the title is DS, but according to the interviewers, many ppl end up doing dashboard or tediouls data pipelines",Easy Interview,Shopee,345,technical final head not promising firm think hire massively blindly chose not join basic fresh grad knowledge would also pas although title according many ppl end dashboard tediouls data pipeline
 Why do you want to work in Shopee   ,No Offer,1,"The interview was conducted through a phone call. The interviewer was friendly and easy-going, questions about school projects and the challenges met were asked. The whole process took about 30 minutes.",Average Interview,Shopee,202,conducted call friendly easy going school project challenge met asked whole took minute
" For group interviews, you are presented with a case study (usually) eCommerce based. What should the company do in that scenario and why.   ",No Offer,1,The hiring process had 4 evaluation stages. The first was online assessments testing IQ and logical skills. The second was a group case interview where you are presented with a business scenario. The third was 2 back to back individual interviews with managers. The last stage was another group case interview with the senior management.,Difficult Interview,Shopee,337,hiring evaluation stage first online assessment testing iq logical skill second group case presented business scenario third back back individual manager last stage another group case senior management
" Operating systems fundamentals, networking fundamentals   ",No Offer,0,"Interview started with a normal chit chat with the interviewer to get to know the interviewee, then it proceeded on to some technical questions. Also, during the interview, the interviewer mentioned that being able to speak mandarin would be a plus as they work with Chinese engineers too.",Average Interview,Shopee,289,started normal chit chat get know interviewee proceeded technical also mentioned able speak mandarin would plus work chinese engineer
,No Offer,0,"It started with a screening phone interview with the HR followed by a series of interviews with the department manager and team leader. After my interview with the department manager, I was told that I was more suited for another role within the department, so I was directed to that role which I did not apply for. However, after another round of interview with that new team's leaders, I was told that I was not selected and that I was more suitable for the role which I initially applied for... so I had another round of interview with the team leader of the initial department I applied for. It took me a total of 4 interviews (including initial phone) over a period close to 2 months. While I appreciated the HR's prompt responses and feedback, the process felt a little disorganised, with me being directed to another team for another role to only be directed back to the initial role that I applied for.",Average Interview,Shopee,910,started screening hr followed series department manager team leader department manager told suited another role within department directed role not apply however another new team leader told not selected suitable role initially applied another team leader initial department applied took total including initial period close month appreciated hr prompt response feedback felt little disorganised directed another team another role directed back initial role applied
" Given an array of N length with N distinct positive integers, determine an integer that is missing from [1,N]. If there's no such element, return N+1. O(1) auxiliary space.   ",No Offer,0,"5 rounds of test/interview. HR says you get to skip round 3 and 4 if you have CAP 4.0 and above. Round 1 easy online test. Very basic CS concepts but could be domain specific like networking and databse reading issues. Other than that are basic stuff like tree traversal. MCQ with 1 or 2 simple coding challenge. Round 2 HR asks you about career goal, expected salary, etc. Round 3/4 technical interview, leet code style. 90 mins each. The interviewer is a developer at Shopee. Maybe I'm unlucky, but the interviewers are more of an invigilator than a mentor. They never give hint or discuss or guide, just sit and watch you get stuck. I have one told me to dump my original solution and go the suboptimal way - failed the interview as a result. Round 5 talk with lead/manager If you applied for more than 1 position and failed somewhere in between, another HR will approach you and you start all over again for second position.",Easy Interview,Shopee,928,test hr say get skip cap easy online test basic concept could domain specific like networking databse reading issue basic stuff like tree traversal mcq simple coding challenge hr asks career goal expected salary etc technical leet code style min developer shopee maybe unlucky invigilator mentor never give hint discus guide sit watch get stuck told dump original solution go suboptimal way failed result talk lead manager applied position failed somewhere another hr approach start second position
,No Offer,0,"I interviewed at Shopee in May 2020. I was contacted by HR to explain the position and run the GMAT test. The GMAT test was difficult but I got passed. After 4 days, I got the interview by the HR, she used English for the interview and the result of the interview is on the night after the interview itself. After 1 week from the HR interview, I have interviewed by the manager of BD, she used Bahasa for the interview process, she gave the case study about some problem and explain the job detail and told me that if I passed the interview, i should have the last interview with the head of BD. I lost hope when there is no other invitation after 2 weeks, but fortunately, the HR contact me again to have the interview with the Head of BD. The interview itself was fun, and she said that I will hear any further information in the 2 weeks. But, I lose hope again, because after 4 weeks from the last interview I don't receive any offering or rejection email. I hope, HR will contact me to give me any further information so I can decide should I wait or just leave the chance to join with my dreamy company.",Average Interview,Shopee,1108,interviewed shopee may contacted hr explain position run gmat test gmat test difficult got passed day got hr used english result night week hr interviewed manager bd used bahasa gave case study problem explain job detail told passed last head bd lost hope invitation week fortunately hr contact head bd fun said hear information week lose hope week last receive offering rejection email hope hr contact give information decide wait leave chance join dreamy company
 Tell me about yourself.   ,No Offer,1,"Seamless process that took about 3 weeks. HR prompt in replying to email queries. It was the usual introductory interview with HR, more of a self-introduction and getting to know more about the role. HR was very keen to know about internship experience. Scenario based questions were also asked.",Average Interview,Shopee,295,seamless took week hr prompt replying email query usual introductory hr self introduction getting know role hr keen know internship experience scenario based also asked
 Why do you want to join shopee?   ,No Offer,0,It was a phonecall with a recruiter for their product management team. The phonecall was to introduce myself to them and discuss the past job experiences that i had.,Easy Interview,Shopee,165,phonecall product management team phonecall introduce discus past job experience
,Declined Offer,1,"Short interview with recruiter, then excel exam (pivot tables, vlookup, etc), then final interview with team lead (more of you asking them questions about the team/work than them asking you questions).",Easy Interview,Shopee,201,short excel exam pivot table vlookup etc final team lead asking team work asking
 Leetcode medium questions   ,No Offer,1,"I applied online. Waited for 3 weeks to get a response. First-round is the HR phone screen, and then three technical interviews. The whole process took around 5 weeks. The HRs are friendly and responsive. Interviewers are nice.",Average Interview,Shopee,227,applied online waited week get response first hr screen three technical whole took around week hr friendly responsive nice
 Please calculate the rising demand for pampers through both offline and online questions   ,Accepted Offer,1,The hiring was overall a good experience. Two times interview and 1 HR interview. The overall recruitment process was quite pleasing. HR should get back to you within a max of 1 week for every step.,Average Interview,Shopee,198,hiring overall good experience two time hr overall recruitment quite pleasing hr get back within max week every step
 Can you introduce yourself?   ,Declined Offer,1,"The process takes two weeks and the recruiter is friendly. It includes three phases interview. First of all, HR will want to know your background, and then you have to do some coding questions. Finally, the director will interview with you.",Average Interview,Shopee,240,take two week friendly includes three phase first hr want know background coding finally director
 Tell me about yourself.   ,No Offer,1,"I applied online through Shopee's Career Page. It process was simple and straightforward. After my online application, they'll arrange a HR interview via phone. Following that call, there'll be a coding test. The test will determine if you go to the next stage which is an interview with the department's Supervisor and then the Manager.",Average Interview,Shopee,337,applied online shopee career page simple straightforward online application arrange hr via following call coding test test determine go next stage department supervisor manager
 What are your expectations in the team as a newcomer.   ,Accepted Offer,1,"Had a coding test in Python and SQL, phone call with HR. Then 3 rounds of case study interviews with managers , manager's manager and peer, which started with introductions then questions regarding the job & expectations.",Difficult Interview,Shopee,221,coding test python sql call hr case study manager manager manager peer started introduction regarding job expectation
,Declined Offer,0,It wasn't too bad. Began with a call regarding my background - education + work. Requested I try out for another role as it was more fitting to my background. This was followed by a written test.,Average Interview,Shopee,195,bad began call regarding background education work requested try another role fitting background followed written test
 Tell me about yourself.   ,Accepted Offer,1,"It was very detailed. It has 6 levels - HR, Exam, Manager 1, Exam, Manager 2, Manager 3. It took an interval of 1 week after each interview with the manager.",Average Interview,Shopee,157,detailed level hr exam manager exam manager manager took interval week manager
 How do you think you can contribute to the team?   ,No Offer,0,"Interviews were very candid and straight to the point. Interviewers wanted to get a sense of tactical abilities. However, could tell they were also distracted during the interview. Interviewers also spoke quickly, seemingly urgent to end the interview.",Average Interview,Shopee,252,candid straight point wanted get sense tactical ability however could tell also distracted also spoke quickly seemingly urgent end
,No Offer,0,"I have been invited to complete accounting test and english test, after submitted the test result, I've been invited for HR interview and they said will inform me whether I pass or not, but they not informed me anything",Average Interview,Shopee,219,invited complete accounting test english test submitted test result invited hr said inform whether pas not not informed anything
 Case study regarding sales trends.   ,No Offer,0,"Group interview through zoom. The interview was mostly focused on solving case study questions in a group setting. At the end of the interview, the groups were told to prepare a 20-minute flash presentation.",Average Interview,Shopee,207,group zoom mostly focused solving case study group setting end group told prepare minute flash presentation
 Solid knowledge of JavaScript   ,No Offer,1,"I applied online, if you pass the coding test you will be interviewed by HR. After that, you will be faced with technical interview. If you pass, there will be next technical interview and interview with team leader.",Average Interview,Shopee,216,applied online pas coding test interviewed hr faced technical pas next technical team leader
,No Offer,1,It took almost a week to get the interview schedule. Interview was by video conferencing. Interview process was smooth. HR will provide timely updates. But felt the process is bit long.. 2 hours.,Average Interview,Shopee,195,took almost week get schedule video conferencing smooth hr provide timely update felt bit long hour
 How do i deal with repetitive/robotic tasks   ,Accepted Offer,1,"Applied through linked in, which they contacted me right away which was quite a pleasant surprise. First you have to take a test which you have to study your basic financial knowledge along with some accounting. Afterwhich youll be interviewed by 2 managers to see if you will be fit.",Average Interview,Shopee,284,applied linked contacted right away quite pleasant surprise first take test study basic financial knowledge along accounting afterwhich youll interviewed manager see fit
,Declined Offer,0,"Was given a company referral by a contact, and was reached out to by a recruiter. She scheduled an interview with me. After scheduling the interview, I was told that I would need to take a Python test before the interview.",Average Interview,Shopee,222,given company referral contact reached scheduled scheduling told would need take python test
 Describe your experience in the e-commerce field.   ,Accepted Offer,1,"Insane speed when it comes to the entire hiring process which i appreciate. #3 rounds in total - 1 with HR, then 1 with Hiring Manager and 1 with Team Lead which took only 2 weeks for the offer to arrive. Overall much easier than the MA programmes that i have interviewed for.",Easy Interview,Shopee,276,insane speed come entire hiring appreciate total hr hiring manager team lead took week offer arrive overall much easier programme interviewed
 What are your strengths?   ,No Offer,0,"I personally found the interview with the HR was very unprofessional. When I asked for the clarification of the question since I couldn't hear it clearly, she ignored me that made me to repeat a question the second time. She then asked the question one more time and was not happy about that. At the end of the interview, she got a phone call and picked it up while hasn't finished the interview yet. She then asked me to end the meeting myself and that's it for today.",Average Interview,Shopee,469,personally found hr unprofessional asked clarification since hear clearly ignored made repeat second time asked time not happy end got call picked finished yet asked end meeting today
 Why did you apply for Shopee   ,Declined Offer,0,The interview took 20 minutes via phone call. They were not strict or prompt with their schedule because I received the phone call about 20 mins. later than the scheduled time. The interviewer was very easy to talk to so it felt casual.,Difficult Interview,Shopee,236,took minute via call not strict prompt schedule received call min later scheduled time easy talk felt casual
 Please go through your resume.   ,Accepted Offer,1,first HR phone interview. About a week later got the face to face interview in HQ. And another week later got the offer. It's pretty efficient and fast. The interviewers are both nice and didn't ask anything strange.,Easy Interview,Shopee,216,first hr week later got face face hq another week later got offer pretty efficient fast nice anything strange
 tell me about yourself   ,Accepted Offer,0,I was referred by my senior. The response was really fast. I was contacted by the hr in two days by email and she asked for a phone interview. The interviewer was really nice.,Average Interview,Shopee,175,referred senior response really fast contacted hr two day email asked really nice
 what you will bring to our company   ,No Offer,0,interview with HR. talk about my experience. why I choose to study in ** university. difference bt bachelor and master. just a friendly talk. don't know why i got rejected.,Average Interview,Shopee,172,hr talk experience choose study university difference bt bachelor master friendly talk know got rejected
 Tell me about the time you worked with others.   ,No Offer,1,It was a phone call and the interviewer was very friendly in acknowledging my replies. He was from HR and I made the mistake of bringing up technical terms to him.,Easy Interview,Shopee,163,call friendly acknowledging reply hr made mistake bringing technical term
,No Offer,1,"This was an interview with HR. There was only one interviewer but I was interviewed with four other candidates. Relatively easy and simple questions, about yourself, the role that you applied, and the company. I did not get the offer after I failed to pass the further process (long after this interview).",Easy Interview,Shopee,305,hr interviewed four candidate relatively easy simple role applied company not get offer failed pas long
 Why do you want to work for Shopee?   ,No Offer,0,"Attended a short phone session with one of the HR recruiter and the recruiter was pretty friendly. After which, attended a Skype interview with one of the rudest interviewer I’ve ever met. First, the interviewer told me he haven’t view my resume yet and actually only start to go through my resume at the start of the interview. After which, he kept harping on my age during the interview, saying that I would be the oldest in the team if I join and the fact I’m even older than their boss. Woah I’m sorry but I can’t turn back time to make myself younger to suit you guys. If age is such a critical factor here, then please kindly state so before the interview so that I can stop wasting your interviewer’s time and my time. I don’t think I will be selected and I definitely won’t try to apply for any more other jobs here.",Average Interview,Shopee,824,attended short session hr pretty friendly attended skype rudest ever met first told view resume yet actually start go resume start kept harping age saying would oldest team join fact even older bos woah sorry turn back time make younger suit guy age critical factor please kindly state stop wasting time time think selected definitely try apply job
" The typical questions, tell me about yourself, why are you applying to Shopee, why do you think you are a suitable candidate for this role, what are your greatest strengths and weaknesses   ",Accepted Offer,1,"Applied online on their company website job portal. Received email within a week, asking to setup a call interview. Call interview was with a HR personnel, for first round screening. Interview was kind and patient. Positive experience.",Average Interview,Shopee,235,applied online company website job portal received email within week asking setup call call hr personnel first screening kind patient positive experience
 Why do you feel you are a good fit for this role?   ,Accepted Offer,0,"HR phone interview, manager interview: only two rounds. Overall, easy to go through HR but they called me 5-6 minutes after the interview timing so I was initially worried that they had cancelled/rescheduled. I think company is ok, work culture very Chinese, but the HR there is the main issue: not so professional, seems like they look down on the interviewees.",Average Interview,Shopee,362,hr manager two overall easy go hr called minute timing initially worried cancelled rescheduled think company ok work culture chinese hr main issue not professional seems like look interviewee
 What are Shopee's strengths and weaknesses in the ecommerce industry   ,No Offer,1,"Was relatively straighforward. Started with a HR interview where they asked you about your current role and past experiences, along with what you are looking for. You then interview with the hiring manager to see if you're a good fit",Average Interview,Shopee,233,relatively straighforward started hr asked current role past experience along looking hiring manager see good fit
,Accepted Offer,1,"Had three interviews with HR, Team Lead and Department Lead. All interviews were done via phone call and skyle and were relatively easy if you’ve been active in college and have contributed to your previous work experiences. Interviewers were very kind and encouraged you to ask questions.",Average Interview,Shopee,289,three hr team lead department lead done via call skyle relatively easy active college contributed previous work experience kind encouraged
 Tell about yourself   ,No Offer,1,The hiring process was great and enjoyable. The questions were also not really difficult for first round. But they will take a long time before you got your first interview round.,Average Interview,Shopee,179,hiring great enjoyable also not really difficult first take long time got first
 How's your experience in QA   ,No Offer,0,"After all the recruitment process, HR said I was OK and will be got the offering email in next weeks. But the only email that comes in next week is rejection email. They reject me only because there is another candidate that willing to join earlier than me. Shopee even did not ask me whether I could manage the join date becoe earlier or not. Wow.",Easy Interview,Shopee,348,recruitment hr said ok got offering email next week email come next week rejection email reject another candidate willing join earlier shopee even not whether could manage join date becoe earlier not wow
 Q: why do you choose shopee?   ,No Offer,1,"The first round was phone interview and it was quite ok. just some basic questions related to your CV and some insight about shopee , about the job you are applying.",Average Interview,Shopee,165,first quite ok basic related cv insight shopee job applying
 Experience in what was in my resume   ,No Offer,1,Interview went so well but was surprised i wasn’t picked for the next stage even thlugh i answered with grace. However the caller was nice and professional with the phone call.,Average Interview,Shopee,176,went well surprised picked next stage even thlugh answered grace however caller nice professional call
 What are some relevant experience you have for this role?   ,No Offer,0,Im an experienced hire and I had a phone interview with HR. Basic questions and career aspirations were asked.HR did not seem to be able to describe the role clearly when asked for clarifications and specifics.,Easy Interview,Shopee,210,im experienced hire hr basic career aspiration asked hr not seem able describe role clearly asked clarification specific
 Basic leetcode questions.   ,No Offer,0,"Applied through the career site. After around 1 week, there would be an HR phone interview. The next week, they schedule the first round of technical interview. I didn’t make it after this process, but there should be another round of technical interview and an interview with the VP.",Average Interview,Shopee,284,applied career site around week would hr next week schedule first technical make another technical vp
 They will ask you to take a section of the GRE   ,No Offer,0,"I had a phone interview and then was asked to take a section of the GMAT, without any prior preparation. Thought this was bizarre and odd and when I confronted HR, I was told it was ""just part of the interview process"". Luckily I got a section I had taken before, and hence definitely got a full score however they chose not to proceed with my application.",Average Interview,Shopee,356,asked take section gmat without prior preparation thought bizarre odd confronted hr told part luckily got section taken hence definitely got full score however chose not proceed application
 Why Shopee?   ,Declined Offer,0,Was quite disappointed with the interview process because HR postponed it twice on the morning of the interview. I had to wait three entire weeks for the interview to happen.,Average Interview,Shopee,174,quite disappointed hr postponed twice morning wait three entire week happen
,No Offer,0,I was contacted by a HR on linkedin. The HR set up an initial call and asked about my work experience and tech stack. I was then given an online test and also asked about my salary expectations. Let's see how this goes,Easy Interview,Shopee,218,contacted hr linkedin hr set initial call asked work experience tech stack given online test also asked salary expectation let see go
,No Offer,0,"Applied for the advertising product manager on shopee recruiting website and HR contacted me a few days after that and HR asked about my backgroud and work experiences and the screeming was primarily in Chinese, but he asked a few questions in English to check my proficiency. A week later, i recevied the second round interview invitation and interveiwed by the team leader using Skype, and then the third round. After that no respond from shopee.",Average Interview,Shopee,448,applied advertising product manager shopee recruiting website hr contacted day hr asked backgroud work experience screeming primarily chinese asked english check proficiency week later recevied second invitation interveiwed team leader using skype third respond shopee
,No Offer,0,"In the first round of the interview, I had the Software Engineer - Server Test which is an hour long. The questions given on the test (concept-wise) are easy for most people, but i didn't have much time to finish implementing them. The online console given for customize input is bad.",Easy Interview,Shopee,284,first software engineer server test hour long given test concept wise easy people much time finish implementing online console given customize input bad
,No Offer,0,One-hour case study followed by face-to-face interview with 2 hiring managers. One of the interviewers was not paying attention and was playing with the phone most of the time. Lack of respect for the candidate. Case study was very tough as there is not enough time to complete the tasks given.,Difficult Interview,Shopee,294,hour case study followed face face hiring manager not paying attention playing time lack respect candidate case study tough not enough time complete task given
